GeneID	Length	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2WT_INP_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2HS_INP_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2.J2.1_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2.J2.2_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2.J2.3_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2HS_J2A_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2HS_J2B_.bam
WBGene00021407	786	33	49	4	8	4	12	10
WBGene00021408	2373	47	24	35	39	40	26	13
WBGene00021405	720	27	29	59	61	45	5	19
WBGene00021409	720	27	29	59	61	45	5	19
WBGene00021404	2373	47	24	35	41	40	26	13
WBGene00001492	5206	996	1875	598	514	476	1657	1864
WBGene00021403	786	33	49	4	8	4	12	10
WBGene00195502	150	0	0	1	0	0	0	0
WBGene00235257	174	3	0	0	0	0	1	0
WBGene00235258	156	0	1	0	0	0	1	0
WBGene00166500	21	0	0	1	0	1	0	0
WBGene00235260	117	4	3	3	3	4	6	3
WBGene00235259	271	7	15	8	2	2	6	9
WBGene00023131	71	4784	66972	43	34	25	232	70
WBGene00235261	162	9	3	2	4	2	4	1
WBGene00235262	105	0	0	3	0	2	1	0
WBGene00201447	52	1	2	3	5	3	0	2
WBGene00015246	1058	25	9	8	7	5	4	3
WBGene00006599	2890	478	184	230	206	202	361	446
WBGene00015247	900	51	35	17	20	3	30	38
WBGene00017927	250	0	1	0	2	1	3	3
WBGene00001111	1865	2	10	8	1	5	6	8
WBGene00023277	2820	12	21	1	7	10	19	11
WBGene00017928	1265	488	1293	174	164	138	777	1018
WBGene00017929	2004	716	1199	378	289	295	1568	1580
WBGene00196821	129	0	0	0	0	0	0	0
WBGene00017926	400	817	1378	194	180	187	1184	1459
WBGene00000897	2500	418	567	278	218	231	1144	1141
WBGene00000674	2588	127	275	47	47	40	158	162
WBGene00198932	127	0	0	6	5	4	1	2
WBGene00202431	95	1	7	1	2	0	0	1
WBGene00023019	73	46	15	0	3	5	45	11
WBGene00197291	117	0	1	0	0	0	2	2
WBGene00198551	70	1	0	0	0	0	0	0
WBGene00199863	70	0	0	0	0	0	0	0
WBGene00021400	604	26	21	4	1	5	8	8
WBGene00021398	600	163	7	65	76	78	20	17
WBGene00219750	450	1	0	0	0	0	0	0
WBGene00021397	1243	37	12	23	11	22	28	30
WBGene00021396	2022	55	62	45	38	39	61	65
WBGene00198224	141	0	1	0	1	0	0	0
WBGene00006561	1731	167	213	146	136	128	215	328
WBGene00021395	1257	328	409	121	90	109	317	396
WBGene00196851	88	0	0	1	1	0	0	0
WBGene00021402	1819	411	866	340	269	286	855	974
WBGene00000815	1684	1204	2470	576	514	423	2194	2374
WBGene00044736	849	64	61	72	55	71	77	116
WBGene00195063	541	272	1310	103	105	73	334	517
WBGene00021394	2069	595	305	290	246	242	1368	1433
WBGene00021401	797	140	148	50	39	39	505	393
WBGene00019821	1641	669	937	235	214	187	880	1011
WBGene00019822	2472	975	973	395	363	355	2138	2331
WBGene00019823	1367	557	926	181	154	119	1850	1991
WBGene00019820	2595	1067	3428	484	411	340	2034	2340
WBGene00019819	3149	1500	452	378	306	325	1202	802
WBGene00001728	494	0	3	1	0	0	1	0
WBGene00019824	1567	894	1579	510	436	443	2419	2725
WBGene00019825	902	379	493	96	97	99	693	806
WBGene00001071	1068	25	15	11	18	8	20	20
WBGene00020647	1076	740	2558	252	218	198	1237	1613
WBGene00003932	1259	272	283	112	85	90	852	717
WBGene00020651	606	213	28	23	21	23	153	137
WBGene00020650	2130	8	89	4	3	1	13	7
WBGene00005487	807	2	5	6	5	7	15	5
WBGene00003362	94	0	0	0	0	2	0	1
WBGene00020649	2891	639	86	595	508	529	306	421
WBGene00206487	1893	135	405	49	54	40	185	234
WBGene00045177	411	4	1	0	1	1	3	2
WBGene00020648	2017	11	46	6	5	5	35	49
WBGene00019298	1182	1113	432	341	296	226	752	1014
WBGene00019300	1233	139	118	32	34	39	273	231
WBGene00019299	622	10	8	0	1	1	10	7
WBGene00198707	102	4	4	0	0	0	0	0
WBGene00001099	2877	737	659	355	371	293	596	869
WBGene00001735	704	23	14	2	7	1	13	17
WBGene00200120	89	0	0	0	0	0	1	0
WBGene00023092	72	21	0	0	0	0	8	5
WBGene00017578	1965	154	205	56	54	39	63	82
WBGene00000675	1106	2385	8416	1142	1192	910	14071	13887
WBGene00017577	1860	3	10	2	5	0	7	3
WBGene00017574	731	113	31	38	34	44	59	56
WBGene00017576	5328	84	244	55	66	58	197	191
WBGene00197593	58	0	0	0	0	0	0	0
WBGene00022048	8104	12991	12381	6705	5846	5538	20413	21661
WBGene00220192	83	0	0	0	2	3	1	2
WBGene00004981	1785	570	431	123	105	110	1220	1147
WBGene00020295	718	292	628	141	117	100	448	635
WBGene00004493	469	8570	20178	2170	2037	1690	27021	33429
WBGene00044789	958	1483	1998	1012	938	871	1464	2084
WBGene00020300	560	450	2889	117	87	105	416	565
WBGene00001338	1573	269	140	91	99	86	362	419
WBGene00020298	1903	521	397	237	170	162	1238	1286
WBGene00045249	339	71	122	14	11	13	160	202
WBGene00020297	2341	3692	2135	2230	1940	1760	6031	7031
WBGene00020296	1207	512	328	273	180	214	1058	1069
WBGene00001666	1982	11	6	10	5	9	56	34
WBGene00002187	1587	257	177	118	88	80	356	393
WBGene00219270	111	3	0	7	6	7	2	3
WBGene00165558	21	1	0	1	0	2	1	0
WBGene00020299	723	18	8	10	7	11	45	40
WBGene00001332	2202	628	1404	451	423	353	1607	2029
WBGene00000913	3410	6638	14965	3410	2958	2668	17648	22151
WBGene00022046	1185	1579	4188	621	466	499	1961	2316
WBGene00022047	960	58	5	45	28	35	120	127
WBGene00002041	3913	628	592	312	270	274	249	297
WBGene00022045	465	109	245	23	16	20	224	234
WBGene00022044	920	387	743	138	109	108	989	1097
WBGene00235263	171	6	3	0	3	1	6	8
WBGene00235264	228	0	0	1	1	0	0	1
WBGene00019772	851	23	15	5	10	6	24	32
WBGene00019773	1798	12	8	5	3	1	9	5
WBGene00019774	1678	48	48	20	26	25	60	58
WBGene00220031	82	0	0	0	0	0	0	0
WBGene00235265	270	3	1	0	0	1	1	2
WBGene00021011	1532	62	137	28	29	26	114	124
WBGene00021012	2521	857	1153	329	284	303	1849	2099
WBGene00000213	1912	292	371	109	102	94	178	323
WBGene00201763	150	0	0	0	0	0	0	0
WBGene00021010	1189	13	8	8	5	8	7	0
WBGene00021013	645	1	0	1	2	1	5	2
WBGene00001625	1641	17	5	5	2	3	7	13
WBGene00017276	456	0	0	0	0	0	2	1
WBGene00199193	88	0	0	0	0	0	0	0
WBGene00018924	1302	12	16	10	6	4	9	2
WBGene00200779	173	0	1	0	0	0	1	4
WBGene00201760	138	0	0	0	0	0	0	0
WBGene00198589	191	1	0	0	0	2	1	2
WBGene00195964	118	0	4	0	0	0	0	0
WBGene00001165	1281	148	592	56	51	49	225	284
WBGene00197598	138	2	4	0	1	0	0	1
WBGene00197815	122	0	0	0	0	0	0	2
WBGene00018927	381	9	59	2	2	7	18	14
WBGene00219978	93	0	10	2	0	1	2	4
WBGene00018925	1172	519	1204	212	211	200	1056	1098
WBGene00001579	4068	1194	2791	888	791	732	2323	2446
WBGene00018926	1388	113	46	32	35	18	5	4
WBGene00189987	1570	6	11	2	1	2	6	1
WBGene00015995	330	0	0	0	0	0	0	0
WBGene00015996	1723	65	10	10	7	6	153	30
WBGene00015994	1341	53	12	17	13	11	5	11
WBGene00199836	150	0	0	0	0	0	0	0
WBGene00015997	572	10	3	1	1	0	0	0
WBGene00044457	1295	18	2	10	4	3	15	23
WBGene00015998	989	3	4	1	3	0	3	1
WBGene00015999	435	1	6	1	1	0	7	3
WBGene00000676	1383	71	40	8	7	9	99	48
WBGene00199072	105	0	0	0	0	2	0	0
WBGene00002140	1656	12	21	9	9	5	19	19
WBGene00015993	1531	41	24	10	10	6	43	54
WBGene00022911	73	701	197	6	10	3	175	48
WBGene00200850	74	1	0	0	1	0	2	1
WBGene00200054	207	20	1	4	11	7	15	7
WBGene00194995	186	2331	59	317	281	245	464	460
WBGene00015497	1566	98	34	59	53	66	142	174
WBGene00019665	1340	42	29	16	11	20	81	87
WBGene00196668	62	0	0	0	0	0	0	1
WBGene00019658	463	81	31	16	8	11	133	115
WBGene00004427	722	7010	13736	2882	2614	2366	27213	28902
WBGene00044948	129	324	9	81	93	111	1116	502
WBGene00045051	133	353	6	148	136	203	1007	828
WBGene00019664	1262	610	939	101	94	80	1039	990
WBGene00023106	86	57	8	0	3	5	27	11
WBGene00019663	694	145	43	45	50	33	213	244
WBGene00019662	468	0	2	2	1	0	9	15
WBGene00044723	1267	2	9	1	4	1	8	5
WBGene00019659	1122	1	1	1	0	0	2	6
WBGene00019660	1292	5	3	2	4	1	13	8
WBGene00044458	563	0	0	2	1	0	2	2
WBGene00019661	873	18	12	12	10	8	58	75
WBGene00195864	90	0	2	0	0	0	1	0
WBGene00023038	72	9	1	1	0	0	9	4
WBGene00018256	2292	53	189	31	18	16	94	77
WBGene00235287	9962	18	46	2	11	2	23	30
WBGene00021950	1566	44	69	40	40	37	89	85
WBGene00021949	810	1	5	1	1	1	2	0
WBGene00044460	1056	6	1	4	6	5	4	2
WBGene00044459	2332	71	40	41	37	37	44	54
WBGene00021951	1074	2	23	0	2	0	11	6
WBGene00168241	21	0	0	0	0	0	1	3
WBGene00219763	484	0	0	1	0	0	2	1
WBGene00197624	95	0	17	1	1	0	29	7
WBGene00021948	2777	105	87	35	38	32	136	139
WBGene00196878	300	0	0	0	0	0	0	0
WBGene00194844	642	3	21	0	1	1	18	14
WBGene00021947	1071	5	4	3	1	1	3	5
WBGene00001788	706	7	10	0	4	2	11	14
WBGene00000677	1169	5009	6049	747	879	662	5678	4896
WBGene00018928	1576	90	40	36	19	19	141	126
WBGene00018929	973	18	4	18	13	6	58	73
WBGene00018933	510	3	9	1	1	1	5	11
WBGene00018932	1087	424	552	97	81	85	1230	1188
WBGene00018931	1687	259	16	20	13	18	35	31
WBGene00199691	95	0	0	0	0	1	0	0
WBGene00004824	2042	284	618	123	101	89	736	714
WBGene00197041	64	0	0	0	0	1	2	0
WBGene00200616	63	0	2	0	0	0	0	0
WBGene00018930	789	18	6	10	4	6	7	10
WBGene00018935	713	384	218	91	70	70	704	722
WBGene00018934	766	353	761	82	63	65	763	926
WBGene00001154	1467	531	707	253	242	285	1895	2148
WBGene00220182	140	50	41	60	48	58	471	480
WBGene00021935	1075	290	384	139	129	113	770	810
WBGene00185088	828	64	79	39	38	41	150	192
WBGene00235283	168	0	0	0	1	1	2	2
WBGene00021936	2490	752	753	533	417	483	2892	3131
WBGene00220183	126	1	3	9	8	7	1	0
WBGene00199601	95	0	0	0	1	0	1	1
WBGene00202216	95	0	0	3	0	0	1	0
WBGene00021942	805	28	41	10	8	9	77	87
WBGene00044742	897	63	56	36	22	31	96	122
WBGene00021943	1700	454	403	437	359	366	1453	1764
WBGene00201199	87	0	1	0	0	0	0	1
WBGene00023184	72	38	0	0	0	0	3	10
WBGene00021941	1206	31	1	11	6	8	23	11
WBGene00021945	2032	408	272	149	119	129	782	731
WBGene00044757	441	28	1	6	5	6	10	7
WBGene00021939	4893	208	256	111	88	84	271	297
WBGene00195533	223	0	0	0	1	0	0	0
WBGene00023183	78	7270	5926	4182	3736	4105	8994	6356
WBGene00201671	136	5	871	6	11	4	5	5
WBGene00021938	2453	567	2179	229	211	195	1235	1379
WBGene00196995	70	0	0	0	0	0	0	0
WBGene00196058	53	0	0	0	1	0	0	0
WBGene00007007	1604	341	875	190	155	127	676	797
WBGene00016649	1128	171	409	108	102	71	312	492
WBGene00045301	1413	84	203	66	64	54	88	161
WBGene00016648	1128	180	442	110	111	69	320	520
WBGene00045300	1413	87	205	68	66	55	89	163
WBGene00016647	1128	180	442	110	111	69	320	520
WBGene00045299	1413	86	204	67	66	55	89	163
WBGene00016646	1128	172	411	109	103	73	313	497
WBGene00045298	1413	81	253	67	68	54	82	155
WBGene00019073	1128	179	440	110	110	67	319	516
WBGene00019072	2347	96	226	76	74	59	101	185
WBGene00019070	819	9	66	12	4	4	20	25
WBGene00019069	1695	31	62	18	21	10	57	54
WBGene00196404	91	0	0	0	1	2	1	0
WBGene00199590	91	0	0	0	0	0	4	0
WBGene00019067	1824	12	4	6	7	3	3	6
WBGene00019068	1821	193	278	76	73	72	250	267
WBGene00004047	6623	1541	1197	1001	860	779	4173	4171
WBGene00043705	1286	156	190	91	71	70	259	335
WBGene00220181	143	14	30	12	7	10	45	61
WBGene00021924	2050	690	394	523	357	467	2992	3150
WBGene00021923	1255	74	75	68	39	36	240	214
WBGene00021925	524	52	91	17	12	15	108	125
WBGene00021926	1451	453	1135	157	161	136	1260	1417
WBGene00021922	1447	421	641	118	103	89	922	1092
WBGene00021921	2265	837	883	502	481	376	2628	2487
WBGene00194825	63	0	0	0	0	0	0	0
WBGene00194822	61	0	0	0	0	0	0	0
WBGene00194823	61	0	0	0	1	0	0	0
WBGene00194824	64	0	0	0	0	0	0	0
WBGene00194826	64	0	0	0	0	0	0	0
WBGene00021927	910	23	6	13	10	8	45	36
WBGene00219762	988	0	0	4	1	1	0	1
WBGene00021928	1054	22	75	12	13	6	62	76
WBGene00005903	1250	84	1	2	1	1	5	3
WBGene00219399	896	30	49	12	14	16	60	50
WBGene00021929	1452	833	924	318	280	272	2167	2708
WBGene00021930	1139	408	1031	109	91	74	1163	1100
WBGene00021920	634	309	527	87	80	65	369	494
WBGene00021931	2192	22	61	5	7	7	79	105
WBGene00000816	1697	548	391	197	180	146	1640	1775
WBGene00021934	2371	2517	7622	1119	882	979	12049	12699
WBGene00196098	123	0	0	0	0	0	0	1
WBGene00021933	995	240	165	71	78	54	974	854
WBGene00021932	1073	240	153	51	31	52	365	395
WBGene00044462	297	2	16	0	2	1	10	11
WBGene00016637	261	1	140	2	0	1	495	559
WBGene00003893	1143	4052	13382	1472	1447	1233	8315	11871
WBGene00005905	957	0	0	1	1	0	2	5
WBGene00005904	960	9	3	2	3	1	4	1
WBGene00202064	112	0	0	0	0	0	0	0
WBGene00016638	1143	3215	2573	996	832	847	13189	16446
WBGene00016636	719	1254	317	621	594	595	13255	16962
WBGene00016639	1029	1	3	2	5	0	9	10
WBGene00199664	112	0	0	0	0	0	0	0
WBGene00200465	112	0	0	0	0	0	1	0
WBGene00023256	73	4	0	1	0	0	3	0
WBGene00016797	1051	25	2	8	9	4	33	17
WBGene00023257	72	0	0	0	0	1	1	0
WBGene00016798	481	1	1	0	0	0	1	4
WBGene00219437	429	1	0	0	0	2	2	1
WBGene00016796	2844	448	217	314	256	343	1567	1726
WBGene00198147	57	0	0	0	0	0	0	0
WBGene00198949	57	3	0	4	1	1	0	2
WBGene00022426	1048	323	501	161	132	109	801	959
WBGene00022428	940	127	82	54	55	35	445	468
WBGene00198533	107	0	0	0	0	1	1	0
WBGene00197287	75	0	0	0	0	0	0	0
WBGene00007020	684	199	82	58	53	69	487	443
WBGene00196875	53	0	0	0	0	0	0	0
WBGene00022427	2229	794	1555	554	585	578	1667	1788
WBGene00196976	59	0	0	0	1	0	0	1
WBGene00202019	59	0	1	0	0	0	0	0
WBGene00001104	1024	90	23	26	21	34	54	57
WBGene00023163	440	5	2	0	0	3	9	10
WBGene00001103	793	29	13	7	12	12	7	13
WBGene00021123	708	21	19	26	22	17	85	102
WBGene00044463	572	1	62	1	1	2	22	16
WBGene00021122	1014	5	0	2	0	0	6	1
WBGene00021121	1365	38	119	15	11	20	40	48
WBGene00021120	537	3	1	0	2	1	3	2
WBGene00009521	2606	1028	846	585	493	492	2675	2996
WBGene00044908	1283	12	2	2	1	2	3	5
WBGene00009522	631	12	8	11	13	10	19	16
WBGene00009523	842	19	4	20	14	14	41	33
WBGene00009524	900	13	0	0	1	1	6	1
WBGene00009518	1654	74	16	23	24	16	55	65
WBGene00009519	467	4	1	2	2	0	0	0
WBGene00045003	114	0	0	0	0	0	0	0
WBGene00009517	1467	10	6	9	3	3	11	6
WBGene00009520	1527	1	3	6	5	4	3	3
WBGene00045037	266	1	0	0	0	0	1	0
WBGene00009526	1528	21	25	10	16	9	66	140
WBGene00009525	312	1	2	0	0	3	0	1
WBGene00009515	1634	59	23	20	28	22	48	31
WBGene00007476	927	126	262	37	35	21	332	347
WBGene00022425	2347	1131	1106	505	469	448	3053	3182
WBGene00018776	3100	2627	10231	1330	1289	1067	3397	4236
WBGene00018778	4500	3402	10741	1753	1629	1377	5355	6500
WBGene00018777	1892	357	494	161	133	147	880	1025
WBGene00023291	534	12	4	11	6	9	22	31
WBGene00019054	996	1	0	2	1	1	1	0
WBGene00019053	713	0	0	1	0	2	0	0
WBGene00004338	1101	383	423	78	73	73	1393	1351
WBGene00000678	921	148	220	32	40	28	266	259
WBGene00023304	73	1	0	0	0	0	1	1
WBGene00166535	21	2	4	0	0	0	15	4
WBGene00000679	873	10	32	4	2	0	17	14
WBGene00200943	57	0	0	0	0	0	1	0
WBGene00023305	72	3	0	0	1	0	0	1
WBGene00199889	115	0	7	0	0	0	0	0
WBGene00019052	513	2	9	1	0	0	3	1
WBGene00219265	110	3	0	0	0	0	18	7
WBGene00023397	73	6	4	0	0	0	43	28
WBGene00022423	2527	191	156	180	151	123	433	565
WBGene00023202	72	94	0	1	0	0	16	4
WBGene00198926	56	0	0	0	0	0	2	1
WBGene00022314	580	21	1	9	9	8	9	12
WBGene00023392	71	0	0	0	0	0	3	0
WBGene00022309	442	66	2	7	5	5	70	69
WBGene00022310	2181	1056	546	622	574	491	2276	2621
WBGene00199927	52	0	0	0	0	0	0	0
WBGene00002180	685	226	265	44	55	55	360	411
WBGene00022311	1053	12	7	3	4	2	11	11
WBGene00022312	891	15	8	9	7	7	15	9
WBGene00235266	869	7	1	5	2	0	8	5
WBGene00235267	1053	24	10	13	5	15	27	43
WBGene00000546	1987	64	37	29	26	22	40	29
WBGene00000547	2715	1267	2451	574	602	445	2168	2605
WBGene00022308	390	3	1	2	0	2	6	3
WBGene00022307	1280	277	775	135	151	138	514	746
WBGene00000680	921	10054	11714	1229	1145	940	8570	7776
WBGene00022313	2191	35	75	21	22	30	37	49
WBGene00023393	73	0	1	0	0	0	1	0
WBGene00220213	94	7	14	4	0	0	154	134
WBGene00023394	72	2	0	0	1	0	0	0
WBGene00044464	1179	5	3	1	1	1	2	1
WBGene00199030	46	0	0	0	0	0	0	0
WBGene00003806	1142	514	678	136	132	106	1179	1213
WBGene00022306	1714	1096	2072	456	418	385	1528	2056
WBGene00198503	225	0	0	0	0	0	0	0
WBGene00019368	1120	878	206	326	307	257	438	617
WBGene00023094	72	474	0	2	1	1	9	2
WBGene00197920	300	0	0	0	0	2	3	0
WBGene00195475	150	1	0	0	0	0	0	0
WBGene00044719	533	25	5	5	10	8	9	10
WBGene00019369	945	5	6	0	1	1	1	2
WBGene00019367	1362	7	4	1	3	0	13	8
WBGene00019370	1313	12	144	14	12	13	23	32
WBGene00195474	150	0	0	0	0	0	0	1
WBGene00201161	150	0	0	0	0	0	0	0
WBGene00016427	1401	123	50	66	53	60	245	270
WBGene00000681	938	114	423	35	53	42	562	520
WBGene00044073	1490	36	21	28	29	25	46	59
WBGene00016425	1523	41	43	21	19	13	83	65
WBGene00016424	1230	31	16	13	14	9	52	43
WBGene00021520	1362	8	25	12	13	16	21	21
WBGene00021519	1411	7	3	1	1	2	14	13
WBGene00021518	1483	96	52	21	21	19	110	157
WBGene00021517	1190	7	4	2	2	1	8	3
WBGene00003794	4633	3114	4089	2085	1817	1656	8630	9452
WBGene00220152	93	52	20	34	26	17	210	204
WBGene00220153	143	198	477	106	86	105	583	763
WBGene00021516	573	35	20	11	6	8	8	20
WBGene00000416	1095	549	566	311	233	277	1727	2031
WBGene00021515	786	147	124	53	51	39	180	240
WBGene00021514	1137	1459	4850	596	630	493	1091	1604
WBGene00001105	938	41	93	16	20	19	39	58
WBGene00003712	1161	96	60	49	35	46	117	98
WBGene00021521	712	9	2	6	9	10	15	30
WBGene00003682	1182	23	5	22	20	20	43	55
WBGene00003677	1103	70	139	39	56	29	62	73
WBGene00045255	1392	22	12	20	20	17	47	40
WBGene00202209	95	1	0	0	1	0	1	3
WBGene00199574	62	0	0	0	0	0	0	0
WBGene00219752	209	0	0	0	0	0	1	0
WBGene00021525	685	35	54	15	16	11	27	24
WBGene00021513	1225	15	18	3	2	3	25	37
WBGene00021522	2020	466	466	318	244	255	1289	1427
WBGene00003297	21	1	0	3	2	4	2	0
WBGene00220154	56	4	0	8	4	9	1	1
WBGene00004497	266	1348	545	275	241	209	4797	4614
WBGene00021512	2201	975	4661	420	360	278	2345	2667
WBGene00220155	133	1	0	1	0	0	23	5
WBGene00021511	963	5	8	2	1	2	7	16
WBGene00021524	1227	6	5	3	5	4	15	3
WBGene00200640	80	0	0	0	0	0	0	0
WBGene00197111	150	0	1	0	0	0	1	0
WBGene00044618	1067	7	8	2	1	1	7	13
WBGene00019538	545	5	5	2	2	2	9	18
WBGene00003947	832	914	470	369	333	351	5262	6710
WBGene00019537	863	1974	1925	499	547	437	3353	3387
WBGene00019536	1026	9	13	6	2	3	30	27
WBGene00019540	2227	14182	810	17448	16792	15130	10303	10818
WBGene00044293	378	1	12	1	0	0	10	6
WBGene00195004	389	2	1	4	0	1	4	2
WBGene00021507	2133	1229	773	720	685	560	2833	3158
WBGene00021508	1624	244	183	97	81	81	560	558
WBGene00021506	2368	1109	4864	672	534	502	3658	3901
WBGene00021509	1388	37	35	45	41	28	78	66
WBGene00021505	1222	66	66	34	32	35	25	42
WBGene00000682	915	19	49	12	11	10	41	11
WBGene00021504	794	7	0	0	1	1	6	1
WBGene00021510	1611	102	102	66	74	56	237	239
WBGene00198094	148	5	0	2	4	4	2	1
WBGene00021410	848	62	84	34	34	41	97	99
WBGene00004913	1564	14	40	16	11	3	43	36
WBGene00000683	1226	113	155	25	23	23	259	293
WBGene00195012	204	0	1	0	0	0	1	0
WBGene00000553	1524	60	24	37	27	27	26	33
WBGene00019462	1035	44	68	27	21	27	62	67
WBGene00197160	55	1	0	2	1	2	0	0
WBGene00198204	55	0	0	0	0	0	0	1
WBGene00001173	4070	4431	6483	2234	1929	1817	7271	9269
WBGene00201394	149	1	7	0	2	0	6	8
WBGene00001186	1678	436	385	276	217	223	956	1356
WBGene00198086	59	3	7	0	0	0	2	2
WBGene00195510	198	1	8	0	1	0	1	1
WBGene00196527	117	0	10	0	0	0	2	2
WBGene00001253	1529	55	40	36	24	26	56	78
WBGene00018681	5440	1378	1893	792	703	745	3401	3585
WBGene00018680	1236	88	44	25	25	30	197	157
WBGene00018679	993	611	2826	207	200	127	831	1053
WBGene00138717	817	320	160	96	88	80	358	418
WBGene00018678	1476	409	440	135	139	142	899	1046
WBGene00006738	684	103	32	28	11	15	127	135
WBGene00021655	1471	360	252	205	180	194	1081	1415
WBGene00044466	416	50	31	11	8	11	74	89
WBGene00022298	889	35	155	14	12	8	31	39
WBGene00022297	602	255	218	69	60	62	648	790
WBGene00022302	320	39	74	1	7	4	21	26
WBGene00022300	2445	1085	2115	514	489	417	2897	3343
WBGene00220211	135	165	65	51	67	58	333	524
WBGene00022296	4463	2394	7369	1318	1055	1008	5226	6073
WBGene00022301	4487	1588	5515	982	897	823	2724	3008
WBGene00022303	656	9	6	1	2	0	7	3
WBGene00022295	2553	7	15	1	3	2	14	9
WBGene00201141	118	0	0	0	0	1	1	5
WBGene00044467	968	31	20	21	18	11	44	45
WBGene00019874	1140	2	6	1	1	0	1	1
WBGene00019873	1131	20	41	17	24	31	218	51
WBGene00255572	74	2	42	3	3	2	4	3
WBGene00202224	150	0	0	0	0	0	1	0
WBGene00019875	4010	1131	2001	410	428	339	1148	1269
