,GeneID,gene_biotype_name,TYPE,chr,strand,DOG_length,DOG_start_local,DOG_end_local,DOG_start_meta,DOG_end_meta,DOG_from_downstream_gene,DOG_from_upstream_gene,DOG_into_downstream_gene,POG_into_upstream_gene,padj,baseMean,pvalue,log2FoldChange,lfcSE,stat,source,length,left_int_length,right_int_length,sample_name,start,end,type
140,WBGene00017659,protein_coding,DOG,V,+,1300,9097233,9098533,9097233,9098533,0,True,False,0,0.0256514518623647,82.28571428571429,0.00103059684827204,3.23404891684115,0.9662567810667659,10.7717739843985,WormBase,1226,0.0,11352.0,N2HS_J2A_split,9096007,9097233,gene
142,WBGene00000766,protein_coding,DOG,V,+,1200,9338858,9340058,9338858,9340058,0,False,False,0,0.0317934594724241,258.285714285714,0.00135399155576026,1.3734094810450101,0.42990767267696395,10.2674317156826,WormBase,2096,0.0,6914.0,N2HS_J2A_split,9336762,9338858,gene
143,WBGene00012977,protein_coding,DOG,III,+,1100,11126890,11127990,11126890,11127990,0,False,False,0,1.0517560377461401e-11,224.14285714285703,7.185762043357842e-14,4.455975071393469,0.599628131547292,56.0167116057471,WormBase,7087,0.0,4885.0,N2HS_J2A_split,11119803,11126890,gene
146,WBGene00016002,protein_coding,DOG,II,+,900,6691841,6691986,6691841,6692741,0,False,True,0,1.7885672980129502e-06,119.57142857142901,3.17714072523366e-08,4.11752872240133,0.837904933995168,30.5962081417622,WormBase,7605,0.0,145.0,N2HS_J2A_split,6684236,6691841,gene
147,WBGene00012663,protein_coding,DOG,III,+,900,10854561,10855461,10854561,10855461,0,False,False,0,7.755380378612571e-08,293.571428571429,1.02439549523919e-09,2.3980336912739597,0.39031224376708096,37.27788788922921,WormBase,5339,0.0,2215.0,N2HS_J2A_split,10849222,10854561,gene
149,WBGene00012734,protein_coding,DOG,I,+,900,13358674,13359574,13358674,13359574,0,False,False,0,1.3470227324032e-06,542.428571428571,2.2607915069031e-08,2.61779808916887,0.485222714919796,31.2565865010979,WormBase,9264,0.0,18202.0,N2HS_J2A_split,13349410,13358674,gene
150,WBGene00014115,protein_coding,DOG,I,+,800,9122398,9122524,9122398,9123198,0,False,True,0,2.4673153407517395e-19,1081.0,7.30473683210491e-22,3.8539432178663904,0.40407374264055995,92.3385514867963,WormBase,4283,0.0,126.0,N2HS_J2A_split,9118115,9122398,gene
151,WBGene00007027,protein_coding,DOG,III,+,700,12743929,12744629,12743929,12744629,0,False,False,0,1.9658023385025496e-15,708.428571428571,7.61071276578075e-18,5.38028736635367,0.902940015488577,74.0514548429295,WormBase,29363,0.0,2521.0,N2-J2-3__split,12714566,12743929,gene
152,WBGene00001749,protein_coding,DOG,III,+,700,9060181,9060881,9060181,9060881,0,False,False,0,0.0362146090220149,72.5714285714286,0.00159987338770022,2.7999451529891606,0.855529462257686,9.95989315783009,WormBase,867,0.0,21100.0,N2HS_J2A_split,9059314,9060181,gene
155,WBGene00220163,ncRNA,DOG,III,+,600,11238559,11239159,11238559,11239159,0,True,False,0,1.9512735479368302e-14,285.714285714286,8.44322418829417e-17,4.8832411097636514,0.6841371010535121,69.3032057956912,WormBase,108,0.0,6561.0,N2HS_J2A_split,11238451,11238559,gene
156,WBGene00219826,ncRNA,DOG,II,+,600,6692079,6692679,6692079,6692679,0,True,False,0,1.1087936916201699e-07,439.0,1.51509044630404e-09,2.2598923293074904,0.3712348404759411,36.51483116178311,WormBase,93,0.0,7005.0,N2HS_J2A_split,6691986,6692079,gene
157,WBGene00013024,protein_coding,DOG,V,+,600,14350776,14351207,14350776,14351376,0,False,True,0,2.4749230495803094e-09,242.14285714285703,2.5363593083833692e-11,3.47078938144875,0.536345116684348,44.5055595662959,WormBase,3045,0.0,431.0,N2HS_J2A_split,14347731,14350776,gene
158,WBGene00012718,protein_coding,DOG,III,+,600,13119042,13119642,13119042,13119642,0,False,False,0,1.3855469080057802e-14,158.142857142857,5.67976414122161e-17,6.815783937247598,1.14288573772283,70.0851955209997,WormBase,11435,0.0,778.0,N2HS_J2A_split,13107607,13119042,gene
159,WBGene00014954,pseudogene,DOG,V,+,500,16928999,16929167,16928999,16929499,0,False,True,0,0.0243529433272396,99.2857142857143,0.0009705682264329133,1.8225325650842301,0.55098970379598,10.882887373352599,WormBase,671,0.0,168.0,N2HS_J2A_split,16928328,16928999,gene
160,WBGene00220246,snoRNA,DOG,I,+,500,9122693,9123193,9122693,9123193,0,True,False,0,2.38072469877162e-12,602.571428571429,1.40967529419408e-14,4.113346247342061,0.573937191441793,59.2203628917058,WormBase,169,0.0,1971.0,N2HS_J2A_split,9122524,9122693,gene
161,WBGene00017245,protein_coding,DOG,II,+,500,2793471,2793971,2793471,2793971,0,False,False,0,5.99872244998483e-14,201.14285714285703,3.0055088567448506e-16,5.339764380792389,0.713642332451526,66.7996538974446,WormBase,5990,0.0,14696.0,N2HS_J2A_split,2787481,2793471,gene
162,WBGene00023180,tRNA,DOG,IV,+,500,2805698,2805839,2805698,2806198,0,False,True,0,0.00229833910361796,95.0,6.80446557664165e-05,3.0037136851536803,0.7346023429107981,15.864458637914,WormBase,71,0.0,141.0,N2HS_J2A_split,2805627,2805698,gene
163,WBGene00015800,protein_coding,DOG,X,+,500,6105526,6106026,6105526,6106026,0,False,False,0,0.000111354994025078,46.0,2.40918342800783e-06,4.4650917848788,1.0252319014431401,22.2375299838718,WormBase,4368,0.0,10278.0,N2HS_J2A_split,6101158,6105526,gene
165,WBGene00009277,protein_coding,DOG,I,+,400,7846923,7847323,7846923,7847323,0,False,False,0,5.56422989525895e-06,270.714285714286,1.05176743636186e-07,2.47737020411715,0.462925317339752,28.2762836154883,WormBase,6481,0.0,2052.0,N2-J2-3__split,7840442,7846923,gene
166,WBGene00009052,protein_coding,DOG,I,+,400,7098406,7098649,7098406,7098806,0,False,True,0,0.0217217796569558,35.7142857142857,0.0008310769716166178,3.26697741460356,1.00402793303632,11.1705118203545,WormBase,2920,0.0,243.0,N2-J2-3__split,7095486,7098406,gene
167,WBGene00022167,protein_coding,DOG,III,+,400,2826153,2826553,2826153,2826553,0,False,False,0,6.49905584250057e-07,246.85714285714297,1.0064582038033199e-08,2.88551490009211,0.511437076802256,32.8287393000945,WormBase,6873,0.0,917.0,N2HS_J2A_split,2819280,2826153,gene
169,WBGene00044131,protein_coding,DOG,V,+,300,2531174,2531474,2531174,2531474,0,False,False,0,1.1961174117566198e-09,252.285714285714,1.14408861976265e-11,3.92071153963861,0.621003567764167,46.0647443808873,WormBase,1028,0.0,8910.0,N2HS_J2A_split,2530146,2531174,gene
170,WBGene00009527,tRNA,DOG,X,+,300,12661247,12661547,12661247,12661547,0,False,False,0,2.41095428379314e-26,124.142857142857,3.843470732532909e-29,7.637024245794178,0.663176159302314,125.557215913356,WormBase,83,0.0,3981.0,N2HS_J2A_split,12661164,12661247,gene
171,WBGene00015731,protein_coding,DOG,V,+,300,2422895,2423195,2422895,2423195,0,False,False,0,1.1961174117566198e-09,252.285714285714,1.14408861976265e-11,3.92071153963861,0.621003567764167,46.0647443808873,WormBase,1028,0.0,8910.0,N2HS_J2A_split,2421867,2422895,gene
172,WBGene00010770,protein_coding,DOG,I,+,300,12527906,12528206,12527906,12528206,0,False,False,0,1.3470227324032e-06,140.857142857143,2.3007675912147595e-08,5.642325144207,1.5402201980236299,31.222559457112002,WormBase,9119,0.0,4763.0,N2WT_INP_split,12518787,12527906,gene
173,WBGene00001889,protein_coding,DOG,II,+,300,13818739,13819039,13818739,13819039,0,False,False,0,4.9418620699859597e-23,262.714285714286,1.12545253244955e-25,5.5981203897019025,0.6044030861507161,109.72549026965599,WormBase,368,0.0,808.0,N2HS_J2B_split,13818371,13818739,gene
179,WBGene00014264,tRNA,DOG,III,+,300,11792853,11793153,11792853,11793153,0,False,False,0,1.5403746300383198e-19,113.285714285714,4.20963232987014e-22,7.51763023665262,0.820739834396364,93.4293434140834,WormBase,71,0.0,1722.0,N2HS_J2A_split,11792782,11792853,gene
181,WBGene00009654,protein_coding,DOG,III,+,300,10518391,10518691,10518391,10518691,0,False,False,0,6.86744310110851e-11,513.0,5.31753735909108e-13,3.5080938891938698,0.5189621573651121,52.084040109666994,WormBase,11333,0.0,2285.0,N2HS_J2A_split,10507058,10518391,gene
187,WBGene00007637,protein_coding,DOG,I,+,300,11616244,11616544,11616244,11616544,0,False,False,0,6.80099002089814e-06,127.142857142857,1.3010320240388201e-07,3.9492879457537504,0.7977124683136261,27.8646797429422,WormBase,4572,0.0,4911.0,N2HS_J2A_split,11611672,11616244,gene
191,WBGene00017499,protein_coding,DOG,V,+,200,2330930,2331130,2330930,2331130,0,False,False,0,2.29262445138201e-27,661.714285714286,2.61059491161696e-30,5.18006078388499,0.444960594175769,130.894973305398,WormBase,501,0.0,986.0,N2HS_J2A_split,2330429,2330930,gene
193,WBGene00015228,protein_coding,DOG,I,+,200,10653043,10653243,10653043,10653243,0,False,False,0,0.0161450556577975,29.142857142857103,0.0005758504368395847,3.486278724212569,1.03601398474178,11.852465870081598,WormBase,2013,0.0,14765.0,N2HS_J2A_split,10651030,10653043,gene
197,WBGene00014309,pseudogene,DOG,II,+,200,8789716,8789916,8789716,8789916,0,False,False,0,2.07579895353387e-11,212.0,1.5600402064818396e-13,3.45021201777614,0.469174555809308,54.4929811862855,WormBase,1946,0.0,842.0,N2HS_J2B_split,8787770,8789716,gene
200,WBGene00009656,pseudogene,DOG,II,+,200,11784086,11784286,11784086,11784286,0,False,False,0,0.000194078757857322,21.4285714285714,4.77503261532599e-06,6.666795047134651,1.77413876668919,20.9254698460722,WormBase,1099,0.0,6673.0,N2WT_INP_split,11782987,11784086,gene
203,WBGene00003229,protein_coding,DOG,I,+,200,134065,134265,134065,134265,0,False,False,0,2.2611773017211702e-14,625.714285714286,1.02991450772998e-16,3.3577666392845,0.3968480200662179,68.9113297198405,WormBase,6768,0.0,272.0,N2WT_INP_split,127297,134065,gene
207,WBGene00001923,protein_coding,DOG,V,+,200,8848353,8848553,8848353,8848553,0,False,False,0,1.66344152156959e-23,326.0,3.40946793307363e-26,8.23028354049344,1.13599266474146,112.092940402488,WormBase,410,0.0,2111.0,N2HS_J2B_split,8847943,8848353,gene
211,WBGene00001901,protein_coding,DOG,V,+,200,8890448,8890648,8890448,8890648,0,True,False,0,1.66344152156959e-23,326.0,3.40946793307363e-26,8.23028354049344,1.13599266474146,112.092940402488,WormBase,410,0.0,1890.0,N2HS_J2B_split,8890038,8890448,gene
214,WBGene00045127,snoRNA,DOG,II,+,200,11960959,11961159,11960959,11961159,0,False,False,0,0.000176312275174402,2188.71428571429,4.21607581264226e-06,3.2132972195993594,0.677948153585757,21.16401122249789,WormBase,61,0.0,1152.0,N2HS_J2A_split,11960898,11960959,gene
223,WBGene00001234,protein_coding,DOG,I,+,200,12970238,12970438,12970238,12970438,0,False,False,0,0.0263770359188542,106.285714285714,0.00108727932163803,2.15155626609417,0.663356474735825,10.672706187891901,WormBase,1317,0.0,882.0,N2-J2-3__split,12968921,12970238,gene
269,WBGene00014843,pseudogene,DOG,X,-,400,13885969,13886369,13885969,13886369,0,False,False,0,0.000230244525923368,51.28571428571429,3.5384505657730004e-06,3.9039744293684797,0.8270159344892719,21.499911154238898,WormBase,72,735.0,0.0,N2HS_J2A_split,13886369,13886441,gene
297,WBGene00012961,protein_coding,DOG,I,-,300,12095477,12095777,12095477,12095777,0,False,False,0,0.0437863315569478,140.0,0.00117927277625985,2.01358701952011,0.636238796348047,10.5225401419213,WormBase,2210,1037.0,0.0,N2WT_INP_split,12095777,12097987,gene
300,WBGene00201669,ncRNA,DOG,I,-,400,15071866,15072266,15071866,15072266,0,True,False,0,3.8476668111713796e-35,563.0,2.92731802432393e-38,7.045821022839731,0.6415146574986059,167.265346211014,WormBase,160,1686.0,0.0,N2HS_J2A_split,15072266,15072426,gene
327,WBGene00220052,snoRNA,DOG,II,-,300,10555044,10555251,10555044,10555251,0,False,True,0,0.00227972985269402,154.142857142857,4.50950822961385e-05,2.67368919755391,0.713613008950994,16.6439006128623,WormBase,120,207.0,0.0,N2HS_J2A_split,10555251,10555371,gene
334,WBGene00195813,ncRNA,DOG,I,-,10800,15068355,15070431,15068355,15070431,0,True,True,0,0.00167758222329942,34900.4285714286,3.16524947792343e-05,2.6620883561174504,0.625955050601133,17.315913990603,WormBase,149,2076.0,0.0,N2HS_J2A_split,15070431,15070580,gene
337,WBGene00011231,protein_coding,DOG,I,-,8900,7860105,7862736,7860105,7862736,0,True,True,0,5.24836966676751e-10,681.285714285714,3.43396067667381e-12,2.72949643068435,0.384095808144827,48.4236819961425,WormBase,817,2631.0,0.0,N2HS_J2A_split,7862736,7863553,gene
339,WBGene00196396,ncRNA,DOG,I,-,7900,15063383,15067668,15063383,15067668,0,True,True,0,1.18732580445926e-26,255304.285714286,1.98730734160862e-29,3.41631923088342,0.292271344303521,126.86619306889901,WormBase,687,4285.0,0.0,N2HS_J2A_split,15067668,15068355,gene
342,WBGene00003308,miRNA,DOG,III,-,7100,8858170,8865270,8858170,8865270,0,False,False,0,1.57194814983888e-21,2292.85714285714,4.06620793476278e-24,3.52097274093658,0.339220438509629,102.617039570985,WormBase,97,14738.0,0.0,N2HS_J2A_split,8865270,8865367,gene
343,WBGene00002015,protein_coding,DOG,V,-,6500,9087021,9087293,9087021,9087293,0,True,True,0,2.62734275980755e-07,360.28571428571405,2.15880263283031e-09,6.651782663719598,0.995820652346989,35.824818646643,WormBase,489,272.0,0.0,N2HS_J2A_split,9087293,9087782,gene
346,WBGene00198814,ncRNA,DOG,I,-,3000,15061159,15063050,15061159,15063050,0,False,True,0,8.124446505414429e-05,24786.1428571429,1.16204803942325e-06,3.48093849555004,0.688696026582308,23.6390575625381,WormBase,333,1891.0,0.0,N2HS_J2A_split,15063050,15063383,gene
349,WBGene00045366,pseudogene,DOG,V,-,1200,18705780,18720589,18705780,18720589,0,False,True,0,0.00306541756308424,1224.85714285714,6.34352995403921e-05,1.72414261048207,0.426137309494347,15.9972279043447,WormBase,3182,645.0,0.0,N2HS_J2A_split,18720589,18723771,gene
351,WBGene00012555,protein_coding,DOG,III,-,1000,12920282,12921282,12920282,12921282,0,False,False,0,0.00145074766050015,453.28571428571405,2.6489610356058802e-05,1.7852322360900004,0.42410797179989895,17.6544404930887,WormBase,4715,2607.0,0.0,N2HS_J2A_split,12921282,12925997,gene
352,WBGene00004765,protein_coding,DOG,III,-,1000,3611951,3612951,3611951,3612951,0,False,False,0,3.85753055597134e-06,1619.57142857143,3.93266200928302e-08,2.2830510866182996,0.427605578677168,30.182379693719398,WormBase,14191,6249.0,0.0,N2-J2-1__split,3612951,3627142,gene
354,WBGene00013732,protein_coding,DOG,III,-,900,12537764,12538664,12537764,12538664,0,False,False,0,8.458890904171217e-20,920.285714285714,2.445510151845e-22,3.89639809258139,0.42357184589029795,94.5043773236001,WormBase,36737,6373.0,0.0,N2HS_J2A_split,12538664,12575401,gene
357,WBGene00007859,protein_coding,DOG,III,-,700,3627286,3627986,3627286,3627986,0,False,False,0,4.16381893351023e-16,221.0,1.64728077101744e-18,6.642855976007639,1.11680302212187,77.073314703562,WormBase,2382,844.0,0.0,N2HS_J2A_split,3627986,3630368,gene
358,WBGene00003834,protein_coding,DOG,V,-,700,14411700,14412400,14411700,14412400,0,False,False,0,1.5268045029721604e-09,206.42857142857102,1.0454382628385199e-11,3.42685407914188,0.50372085741361,46.2414111741662,WormBase,3392,2332.0,0.0,N2HS_J2A_split,14412400,14415792,gene
363,WBGene00201398,ncRNA,DOG,I,-,600,15060261,15060861,15060261,15060861,0,False,False,0,0.00346781364144978,7681.142857142859,7.334541937941559e-05,2.17085251637527,0.540634995930384,15.722527668220101,WormBase,298,1858.0,0.0,N2HS_J2A_split,15060861,15061159,gene
365,WBGene00008968,protein_coding,DOG,IV,-,500,8752860,8753195,8752860,8753195,0,False,True,0,5.923489058247252e-06,642.0,6.48951935778762e-08,2.35755602163892,0.45163646259526596,29.211431643451,WormBase,1628,335.0,0.0,N2-J2-3__split,8753195,8754823,gene
369,WBGene00004905,protein_coding,DOG,III,-,500,1519724,1520224,1519724,1520224,0,False,False,0,8.88425153934438e-07,228.42857142857102,8.381369376739977e-09,3.29463576921457,0.593959048059242,33.1845532218756,WormBase,12544,2231.0,0.0,N2HS_J2A_split,1520224,1532768,gene
377,WBGene00004314,protein_coding,DOG,III,-,400,2511883,2512283,2511883,2512283,0,False,False,0,3.7914538748178795e-07,174.57142857142898,3.40377021628507e-09,3.50803953018722,0.609989303845206,34.937975169201195,WormBase,16345,4311.0,0.0,N2HS_J2A_split,2512283,2528628,gene
378,WBGene00006945,protein_coding,DOG,V,-,400,18852727,18853127,18852727,18853127,0,False,False,0,0.0005505994384159982,67.0,8.79685651760192e-06,5.35209767543966,1.61779257390205,19.7563579247594,WormBase,6094,15913.0,0.0,N2HS_J2A_split,18853127,18859221,gene
379,WBGene00220207,ncRNA,DOG,III,-,400,12122800,12123200,12122800,12123200,0,False,False,0,4.65660005261884e-09,99.8571428571429,3.40104690392125e-11,5.7314592250490906,1.1559674669117201,43.9313090606644,WormBase,56,4730.0,0.0,N2-J2-1__split,12123200,12123256,gene
380,WBGene00021238,protein_coding,DOG,I,-,400,1987846,1988246,1987846,1988246,0,False,False,0,1.3200262223372499e-06,218.0,1.26539336590454e-08,4.1562328376815705,0.8276479233139649,32.3837637464477,WormBase,22279,13255.0,0.0,N2HS_J2A_split,1988246,2010525,gene
382,WBGene00009301,protein_coding,DOG,X,-,400,14869206,14869606,14869206,14869606,0,False,False,0,0.0100433689575268,42.8571428571429,0.00023228729177481402,4.1418967192978196,1.28905578483596,13.550033383730199,WormBase,1069,1306.0,0.0,N2HS_J2A_split,14869606,14870675,gene
384,WBGene00235348,ncRNA,DOG,IV,-,300,2679197,2679497,2679197,2679497,0,False,False,0,3.66967732102653e-11,202.285714285714,2.2335224108499901e-13,5.998103762045639,1.1365875161356,53.78782739704739,WormBase,171,875.0,0.0,N2HS_J2B_split,2679497,2679668,gene
385,WBGene00001918,protein_coding,DOG,II,-,300,13826430,13826730,13826430,13826730,0,False,False,0,4.5598534592587203e-23,262.714285714286,9.713625750094659e-26,5.598120396358321,0.6039134820240301,110.017361445944,WormBase,368,1436.0,0.0,N2HS_J2A_split,13826730,13827098,gene
388,WBGene00004246,pseudogene,DOG,I,-,300,211956,212256,211956,212256,0,False,False,0,5.8168967893212e-27,694.571428571429,8.851029807244677e-30,4.2179917247355005,0.37599907795447796,128.471472621912,WormBase,3235,29484.0,0.0,N2HS_J2B_split,212256,215491,gene
392,WBGene00010713,protein_coding,DOG,IV,-,300,13445519,13445819,13445519,13445819,0,False,False,0,3.94057803086012e-06,303.428571428571,4.07728706784066e-08,4.41679049991594,1.10594462290637,30.112339024100297,WormBase,9135,444.0,0.0,N2-J2-1__split,13445819,13454954,gene
395,WBGene00021317,protein_coding,DOG,III,-,200,5352641,5352841,5352641,5352841,0,False,False,0,0.00162917490162115,53.428571428571395,3.04912527235852e-05,3.46791897284993,0.866068722958816,17.386948615435802,WormBase,348,3440.0,0.0,N2WT_INP_split,5352841,5353189,gene
396,WBGene00012362,protein_coding,DOG,III,-,200,10711527,10711724,10711527,10711724,0,False,True,0,0.000754784169987775,561.0,1.24036351732623e-05,2.08015657169218,0.485770354724365,19.100131327590802,WormBase,4467,197.0,0.0,N2WT_INP_split,10711724,10716191,gene
399,WBGene00001925,protein_coding,DOG,V,-,200,8849588,8849788,8849588,8849788,0,False,False,0,1.3270729643675698e-30,472.142857142857,1.61542661517659e-33,5.11790119464755,0.432354206450845,145.56569660434099,WormBase,383,2084.0,0.0,N2-J2-1__split,8849788,8850171,gene
400,WBGene00009050,protein_coding,DOG,I,-,200,7079668,7079868,7079668,7079868,0,False,False,0,2.90336656024513e-07,209.85714285714297,2.42978029235365e-09,2.91111729317854,0.48574233300835296,35.594456374534296,WormBase,1652,302.0,0.0,N2-J2-1__split,7079868,7081520,gene
404,WBGene00001895,protein_coding,DOG,V,-,200,8891683,8891883,8891683,8891883,0,False,False,0,1.3270729643675698e-30,472.142857142857,1.61542661517659e-33,5.11790119464755,0.432354206450845,145.56569660434099,WormBase,383,2084.0,0.0,N2-J2-1__split,8891883,8892266,gene
406,WBGene00021236,protein_coding,DOG,V,-,200,2321838,2322038,2321838,2322038,0,False,False,0,2.6542457837380496e-28,661.714285714286,3.6348466301951395e-31,5.18006083211294,0.43938590123773796,134.809129073545,WormBase,528,986.0,0.0,N2HS_J2A_split,2322038,2322566,gene
407,WBGene00219803,ncRNA,DOG,II,-,200,10574451,10574651,10574451,10574651,0,False,False,0,5.70144271753416e-06,253.14285714285703,6.15950141425632e-08,3.7075973542274303,0.76500428996492,29.31256444144089,WormBase,189,4216.0,0.0,N2-J2-1__split,10574651,10574840,gene
408,WBGene00014376,tRNA,DOG,III,-,200,13411166,13411366,13411166,13411366,0,False,False,0,9.941127132819301e-09,688.714285714286,7.4119785378598e-11,8.36343036605606,1.10592637283705,42.407118354261996,WormBase,71,9593.0,0.0,N2HS_J2A_split,13411366,13411437,gene
