GeneID	Length	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2WT_INP_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2HS_INP_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2.J2.1_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2.J2.2_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2.J2.3_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2HS_J2A_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2HS_J2B_.bam
WBGene00017276	856	0	0	0	0	0	1	0
WBGene00200779	173	0	0	2	0	0	0	1
WBGene00195964	118	1	0	0	0	1	1	1
WBGene00197598	138	1	2	7	4	1	2	3
WBGene00197815	122	0	2	0	1	0	2	2
WBGene00018925	2504	5	3	4	0	2	9	21
WBGene00018926	1948	15	38	4	8	10	13	13
WBGene00189987	4017	12	12	7	8	2	15	19
WBGene00015996	3456	6	23	3	1	0	3	5
WBGene00015997	698	2	2	1	1	0	1	2
WBGene00015998	2247	2	5	0	0	0	0	2
WBGene00015999	653	5	0	1	0	0	0	0
WBGene00199072	105	6	2	0	1	1	8	4
WBGene00194995	186	0	1	0	3	1	10	7
WBGene00019658	1292	2	2	0	0	2	7	5
WBGene00004427	1141	17	17	13	6	11	150	207
WBGene00044723	1594	1	42	0	1	0	4	4
WBGene00019659	1847	3	11	0	2	0	5	10
WBGene00019660	1848	3	32	1	1	0	12	7
WBGene00195864	90	9	1	1	0	0	11	4
WBGene00235287	10028	1	2	1	0	0	0	1
WBGene00021950	8959	387	751	170	128	129	202	207
WBGene00044460	1527	5	22	1	1	1	7	6
WBGene00044459	7716	19	179	76	131	91	46	28
WBGene00021951	2538	0	1	0	0	4	2	0
WBGene00197624	95	0	0	1	0	0	1	0
WBGene00196878	300	1	13	2	4	2	0	0
WBGene00194844	1938	8	3	7	0	0	3	5
WBGene00018928	4507	5	28	3	2	2	25	15
WBGene00018929	2349	6	88	2	4	4	38	29
WBGene00199691	95	0	0	0	2	0	2	0
WBGene00004824	8093	47	31	74	63	92	41	27
WBGene00018935	1058	2	0	1	0	1	4	4
WBGene00018934	813	8	1	2	1	2	24	16
WBGene00235283	605	1	2	1	0	0	2	0
WBGene00021936	17516	38	23	191	199	200	78	69
WBGene00220183	126	0	0	0	0	0	0	0
WBGene00202216	95	0	0	0	1	0	1	1
WBGene00021942	1538	3	14	8	4	11	13	16
WBGene00021945	5512	15	7	72	68	72	60	16
WBGene00196995	70	0	0	3	0	1	0	3
WBGene00196058	53	0	0	0	0	0	2	0
WBGene00196404	91	0	0	0	0	0	4	0
WBGene00019067	5208	7	14	31	26	18	47	29
WBGene00019068	5637	10	25	8	11	5	16	9
WBGene00021925	2265	3	0	1	1	1	8	4
WBGene00021926	3652	4	36	2	1	0	23	14
WBGene00194825	63	0	1	0	0	0	0	0
WBGene00021927	2238	3	5	1	2	5	10	6
WBGene00219762	1988	0	9	3	1	1	7	3
WBGene00021928	2338	3	31	1	1	0	9	2
WBGene00219399	2079	3	0	1	6	1	3	0
WBGene00021929	2271	12	7	6	4	5	42	16
WBGene00021930	1291	2	1	0	1	0	9	8
WBGene00021931	8831	40	19	11	10	6	55	21
WBGene00000816	9551	16	3	31	36	55	26	22
WBGene00021934	6826	13	15	4	6	5	48	49
WBGene00044462	1069	6	94	5	1	4	901	1115
WBGene00005905	3359	3	51	2	3	1	44	36
WBGene00005904	3698	10	25	2	1	1	15	26
WBGene00016639	7984	10	13	10	9	8	31	40
WBGene00199664	112	0	0	0	0	0	1	0
WBGene00023256	73	1	1	0	0	0	0	0
WBGene00016797	12348	18	35	13	10	8	58	40
WBGene00016798	848	0	0	0	1	1	1	1
WBGene00198147	57	3	0	4	1	1	0	2
WBGene00198533	107	0	0	4	3	2	5	6
WBGene00197287	75	0	1	4	5	2	8	7
WBGene00196875	53	0	0	0	1	1	1	0
WBGene00202019	59	0	0	0	1	0	0	1
WBGene00001104	2320	14	45	33	33	55	31	31
WBGene00023163	510	6	20	2	3	4	4	5
WBGene00001103	848	4	6	3	1	7	10	5
WBGene00044463	1955	3	2	1	1	0	4	0
WBGene00009521	6981	15	24	8	13	8	43	28
WBGene00044908	2071	2	5	1	2	1	7	0
WBGene00009522	1098	6	2	1	4	1	1	3
WBGene00009523	1488	0	2	0	3	3	6	3
WBGene00009518	2349	7	5	3	0	2	5	2
WBGene00009517	2596	1	2	2	0	1	2	3
WBGene00045037	313	0	0	0	0	0	1	1
WBGene00018776	12431	40	23	32	31	31	47	33
WBGene00000678	1670	11	3	3	1	0	8	8
WBGene00023304	73	1	0	0	0	0	0	1
WBGene00000679	1410	110	3	2	7	6	9	7
WBGene00200943	57	0	0	0	0	0	0	0
WBGene00199889	115	1	1	2	0	2	1	3
WBGene00019052	1195	5	0	7	6	6	12	8
WBGene00219265	110	0	1	2	3	0	10	8
WBGene00023397	73	7	0	3	4	3	17	44
WBGene00023202	72	1	0	0	1	0	0	0
WBGene00022309	1460	1	2	0	0	0	3	2
WBGene00022310	9062	8	8	5	9	4	21	18
WBGene00022311	1968	7	79	4	2	2	420	439
WBGene00022312	1406	3	108	4	3	6	288	312
WBGene00235267	1327	3	107	0	1	1	41	51
WBGene00000546	3768	25	32	1	6	6	112	104
WBGene00000547	10718	25	102	71	64	58	214	198
WBGene00022313	13211	62	118	11	15	8	311	213
WBGene00199030	46	0	0	0	0	0	0	0
WBGene00003806	5370	5	2	12	7	12	14	11
WBGene00198503	225	0	0	0	0	0	0	0
WBGene00197920	300	3	0	1	0	1	1	0
WBGene00044719	1118	553	2	0	0	0	13	5
WBGene00019369	3356	7	3	4	14	3	11	8
WBGene00019370	9178	9	9	15	20	32	24	17
WBGene00201161	150	0	0	0	0	0	0	1
WBGene00003794	27904	144	97	485	458	498	409	302
WBGene00021521	1870	4	43	5	10	7	21	25
WBGene00199574	62	1	0	0	1	0	1	0
WBGene00219752	209	1	0	0	1	1	1	1
WBGene00021522	7337	25	18	191	189	171	47	34
WBGene00003297	21	0	0	0	0	1	0	0
WBGene00220154	56	0	0	0	0	0	2	0
WBGene00021524	5440	6	96	4	7	3	36	22
WBGene00197111	150	0	0	0	0	0	0	0
WBGene00044293	945	3	6	2	4	2	12	11
WBGene00021507	10447	137	128	514	515	544	299	289
WBGene00021508	4667	12	2	29	23	29	44	21
WBGene00021510	6286	14	8	71	60	80	35	28
WBGene00198094	148	0	0	0	1	0	0	0
WBGene00021410	1957	2	1	7	7	3	7	2
WBGene00004913	10063	8	16	16	10	15	19	12
WBGene00000683	2943	10	475	5	7	3	22	7
WBGene00198204	55	1	0	2	1	2	0	0
WBGene00201394	149	1	5	1	7	3	2	4
WBGene00198086	59	0	0	2	1	1	0	0
WBGene00195510	198	5	1	3	2	1	1	2
WBGene00196527	117	1	1	1	3	1	1	2
WBGene00022298	2244	9	28	23	22	23	55	46
WBGene00022301	23961	37	39	124	160	116	92	83
WBGene00022303	1005	23	15	2	5	1	22	1
WBGene00019874	1234	3	1	1	1	3	5	1
WBGene00202224	150	1	2	1	0	0	0	0
WBGene00044649	7962	58	34	410	360	449	95	111
WBGene00219423	2654	7	2	7	13	13	12	0
WBGene00000487	7550	9	11	9	13	3	29	14
WBGene00016027	1529	1	17	1	1	0	3	2
WBGene00001729	2708	4	19	7	8	5	5	2
WBGene00235274	2381	11	18	23	34	29	17	15
WBGene00016920	2626	6	5	1	2	2	9	1
WBGene00001557	8513	7	6	5	0	9	14	8
WBGene00219665	580	0	0	0	1	0	1	0
WBGene00016919	7375	6	44	6	8	4	23	6
WBGene00195956	78	0	0	1	0	0	0	0
WBGene00202203	82	0	0	0	0	0	1	0
WBGene00235277	226	4	0	3	3	5	4	1
WBGene00202285	54	4	0	6	6	3	0	2
WBGene00019785	4787	8	6	3	3	3	24	4
WBGene00019786	10701	22	31	17	11	15	43	19
WBGene00019787	11314	14	14	2	6	3	11	6
WBGene00002990	24488	38	296	19	28	17	195	145
WBGene00199100	65	0	0	0	0	0	0	0
WBGene00021416	2095	7	1	0	3	1	3	4
WBGene00006920	6749	194	93	97	151	37	23	19
WBGene00006912	1402	16	5	1	3	5	33	47
WBGene00198080	99	0	1	0	0	0	0	2
WBGene00165356	21	3	3	3	0	1	4	8
WBGene00021417	2515	4	3	4	3	4	7	5
WBGene00021418	817	2	2	1	0	0	5	3
WBGene00021425	15076	20	11	20	27	20	30	26
WBGene00021427	481	3	0	1	0	0	12	8
WBGene00197069	149	1	1	0	0	0	0	0
WBGene00200383	63	0	0	0	0	0	2	1
WBGene00199427	63	0	0	0	0	0	2	1
WBGene00021428	3164	136	1239	29	63	41	2128	3724
WBGene00021430	12896	411	105	111	178	88	1861	555
WBGene00197721	58	0	0	0	0	0	2	0
WBGene00000402	26901	48	88	14	19	13	63	24
WBGene00195361	53	0	0	0	0	0	1	1
WBGene00022092	662	4	2	3	0	1	8	13
WBGene00197723	76	0	0	0	0	0	0	0
WBGene00022093	3287	48	21	53	46	67	42	30
WBGene00175009	21	0	0	1	0	0	0	0
WBGene00022094	1772	1	1	1	2	2	1	3
WBGene00235341	419	0	0	1	0	0	0	0
WBGene00022095	292	1	3	0	0	0	0	0
WBGene00165490	21	0	0	0	0	0	0	0
WBGene00022096	2548	9	7	8	12	15	24	10
WBGene00022097	2652	2	12	0	1	2	3	5
WBGene00022099	630	2	4	1	2	1	4	7
WBGene00003595	2140	14	3	2	0	2	5	0
WBGene00003161	4890	10	12	23	30	22	31	26
WBGene00022100	13620	33	34	9	7	8	66	51
WBGene00195990	221	1	0	0	0	0	6	4
WBGene00022377	1918	7	21	3	3	2	15	8
WBGene00235346	392	2	9	1	3	5	2	4
WBGene00235348	172	0	2	0	0	0	1	0
WBGene00044651	8711	17	18	19	22	12	82	58
WBGene00022378	15031	17	16	58	55	40	48	44
WBGene00006705	2539	2	4	3	4	2	11	8
WBGene00022382	1433	3	19	1	4	2	49	47
WBGene00050885	1097	1	1	0	2	0	10	10
WBGene00220216	61	0	0	0	0	0	2	0
WBGene00022379	2668	35	8	9	9	14	44	11
WBGene00022380	3174	7	2	9	3	10	16	20
WBGene00022381	5536	47	20	12	5	11	109	98
WBGene00021876	6072	12	11	6	11	6	29	40
WBGene00021877	5612	27	56	41	47	40	62	72
WBGene00045397	1513	0	4	0	2	1	7	3
WBGene00023182	72	0	0	0	0	0	0	0
WBGene00021878	5166	43	31	3	12	7	71	50
WBGene00171446	21	0	0	1	0	0	1	1
WBGene00044491	1211	1	2	1	0	1	0	0
WBGene00021879	2060	2	51	1	3	2	10	12
WBGene00021880	784	28	9	17	18	14	6	12
WBGene00044492	2603	3	8	4	3	4	2	6
WBGene00021881	9237	9	24	7	8	8	43	23
WBGene00021882	18400	527	53	155	216	168	117	81
WBGene00195623	202	0	0	1	0	0	1	0
WBGene00021883	936	1	5	0	1	2	16	22
WBGene00021884	912	1	4	1	0	0	1	1
WBGene00021885	3671	184	65	128	100	112	123	268
WBGene00021886	12381	117	49	205	215	190	120	108
WBGene00021887	2426	16	15	7	4	8	11	10
WBGene00006708	3101	1	12	2	4	1	8	14
WBGene00021888	907	3	2	1	1	2	22	19
WBGene00021889	1873	4	14	3	1	0	6	1
WBGene00002243	14097	38	21	9	28	19	64	20
WBGene00195988	52	0	0	0	0	0	0	0
WBGene00196817	104	0	0	0	1	0	0	0
WBGene00021890	9470	32	51	28	23	19	55	55
WBGene00200823	149	2	3	0	0	0	0	4
WBGene00021891	609	3	49	0	1	1	18	26
WBGene00021892	2783	7	9	21	25	17	31	19
WBGene00200607	268	0	0	0	0	0	0	0
WBGene00021893	5540	18	12	4	5	5	13	5
WBGene00022069	17525	164	108	183	180	204	578	773
WBGene00235353	603	5	4	1	1	0	9	3
WBGene00022070	843	6	2	3	3	1	3	0
WBGene00022071	1367	1	4	0	2	0	5	2
WBGene00022072	2029	3	14	11	5	11	13	2
WBGene00235279	6174	2850	13	3026	8446	1819	1333	147
WBGene00022073	9458	41	15	7	6	6	35	10
WBGene00198247	150	0	0	0	0	0	0	0
WBGene00003153	29991	78	85	173	162	179	188	138
WBGene00201211	150	3	0	8	14	10	1	5
WBGene00022063	2566	6	7	3	4	6	7	5
WBGene00022062	5483	5	5	3	2	1	12	2
WBGene00219764	2249	17	10	4	6	5	15	3
WBGene00004240	6024	41	5	6	14	15	61	97
WBGene00201731	79	3	1	5	5	5	4	4
WBGene00003363	95	2	0	6	2	7	0	1
WBGene00020832	1522	11	17	3	3	7	12	7
WBGene00044469	1274	2	6	0	0	3	2	6
WBGene00020833	3871	4	25	3	2	4	14	6
WBGene00198565	111	0	2	0	0	0	1	3
WBGene00001548	6453	8	79	8	5	9	25	32
WBGene00021090	900	24	4	14	46	9	58	2
WBGene00018327	966	0	0	0	2	0	0	1
WBGene00018328	2827	1	9	1	0	0	2	3
WBGene00001999	1941	7	5	5	6	2	50	36
WBGene00018329	1162	1	4	1	1	1	4	3
WBGene00018330	7509	23	47	28	38	21	29	24
WBGene00195284	90	0	0	0	0	0	1	1
WBGene00015249	4744	20	6	4	4	2	35	14
WBGene00015250	3822	12	7	2	8	8	22	4
WBGene00015251	1199	7	53	0	2	3	11	1
WBGene00015252	2038	1	40	2	2	0	11	2
WBGene00001119	2543	18	2	5	10	6	7	1
WBGene00015416	2795	15	3	1	3	4	5	1
WBGene00198367	203	0	0	0	0	0	1	0
WBGene00195067	401	0	1	0	0	0	0	0
WBGene00219646	2161	4	1	2	2	0	4	0
WBGene00015417	616	1	2	0	0	0	1	1
WBGene00017281	1899	1	45	1	3	1	12	21
WBGene00023302	1493	5	9	0	0	0	5	5
WBGene00019050	1221	0	3	0	0	1	1	1
WBGene00023481	1841	3	0	0	0	0	6	1
WBGene00023303	903	5	6	2	2	0	3	1
WBGene00023475	1579	12	4	1	0	0	3	0
WBGene00015656	1620	15	7	2	1	1	6	0
WBGene00023474	1850	0	2	0	0	0	1	2
WBGene00023476	454	2	0	0	0	0	0	0
WBGene00044470	1145	4	5	0	0	1	1	1
WBGene00023234	75	0	0	0	0	0	0	0
WBGene00000424	3200	2	0	1	0	2	4	13
WBGene00015658	4527	3	8	3	5	6	13	12
WBGene00015038	3973	17	54	6	12	8	8	8
WBGene00003889	6342	7	15	1	3	2	5	9
WBGene00235357	727	63	27	20	29	15	22	44
WBGene00021376	1940	1	0	1	2	2	3	0
WBGene00006383	9302	122	58	67	61	67	260	284
WBGene00021377	4593	8	97	3	4	4	12	11
WBGene00021378	644	2	0	0	0	1	0	2
WBGene00021379	668	1	1	0	0	0	4	2
WBGene00021380	1667	3	9	2	1	0	6	3
WBGene00021381	2917	2	3	0	1	0	12	0
WBGene00022610	3855	10	19	14	15	9	40	15
WBGene00000481	10764	25	65	16	15	15	40	19
WBGene00006756	6439	13	52	11	14	12	23	11
WBGene00197099	139	0	0	0	0	0	0	2
WBGene00195049	912	2	3	0	0	0	2	0
WBGene00016987	3519	8	23	4	2	2	14	16
WBGene00021362	9827	37	79	6	19	16	74	66
WBGene00198320	132	0	0	0	0	0	2	0
WBGene00006334	72	0	0	0	0	0	0	0
WBGene00003129	3329	4	1	2	4	0	12	18
WBGene00021363	7273	10	6	3	2	7	24	19
WBGene00021364	851	0	223	0	0	0	1	0
WBGene00195010	587	0	3	2	0	0	1	3
WBGene00197370	52	0	0	0	0	0	0	0
WBGene00021367	7009	53	21	52	64	50	26	20
WBGene00021366	2576	14	14	3	10	4	11	19
WBGene00021370	3073	27	7	10	8	9	21	19
WBGene00021371	1353	24	14	7	4	7	9	4
WBGene00021372	2892	2	3	2	1	4	12	4
WBGene00021373	2808	3	20	1	2	0	16	7
WBGene00006869	5635	12	33	4	4	1	19	12
WBGene00003884	4156	16	28	7	14	5	17	8
WBGene00019725	1563	8	5	3	0	0	19	20
WBGene00044690	488	16	0	2	4	2	4	3
WBGene00019726	11459	25	88	10	10	14	108	112
WBGene00000287	5620	273	17	18	33	15	14	4
WBGene00200095	142	0	1	0	1	0	0	0
WBGene00165382	21	0	0	0	0	0	0	0
WBGene00196154	266	1	0	0	0	0	0	0
WBGene00202376	241	8	0	2	0	0	2	0
WBGene00196185	215	2	0	0	1	0	0	3
WBGene00000009	2914	25	11	1	4	2	12	6
WBGene00018145	2588	13	10	7	3	7	53	41
WBGene00018146	2963	2	20	1	1	3	10	18
WBGene00018148	2641	11	255	14	9	24	56	50
WBGene00044292	373	0	1	0	1	0	1	4
WBGene00044473	381	0	1	0	2	0	1	0
WBGene00235359	336	0	0	0	0	1	1	0
WBGene00235285	399	1	3	4	2	0	2	0
WBGene00021580	1444	23	0	2	7	5	2	7
WBGene00168377	21	0	0	0	1	0	0	0
WBGene00021579	2276	11	2	1	2	0	6	3
WBGene00005430	1587	1	3	0	0	2	17	2
WBGene00018549	591	0	15	3	5	2	1	4
WBGene00044691	731	8	19	3	7	4	93	7
WBGene00235115	535	4	2	0	2	2	12	3
WBGene00018550	583	1	3	4	1	4	8	2
WBGene00219377	574	2	4	1	2	2	2	4
WBGene00018551	555	0	0	7	1	0	1	3
WBGene00020929	2372	6	4	7	7	12	10	7
WBGene00020930	13329	74	291	39	103	34	277	118
WBGene00003955	1512	9	29	7	6	6	46	52
WBGene00006951	1591	6	3	1	3	0	4	6
WBGene00020981	1658	20	7	0	1	3	5	5
WBGene00219741	1793	3	6	9	5	4	4	4
WBGene00020982	1107	1	10	5	4	1	6	4
WBGene00020983	1392	2	3	6	5	5	7	3
WBGene00016437	1283	0	0	1	3	1	7	13
WBGene00195006	776	1	5	0	0	0	3	4
WBGene00016435	607	3	0	1	2	2	7	10
WBGene00023249	73	0	0	0	0	0	0	0
WBGene00201546	71	0	0	0	0	0	0	1
WBGene00044477	1944	33	1	1	2	0	6	1
WBGene00235365	164	0	0	0	1	0	2	1
WBGene00235364	159	0	0	0	0	0	0	2
WBGene00235366	111	1	4	0	2	2	46	90
WBGene00018645	940	3	0	0	0	0	4	3
WBGene00018647	2233	6	12	1	2	1	11	6
WBGene00018648	4129	32	172	11	8	8	128	125
WBGene00235367	356	1	92	0	0	1	29	16
WBGene00018649	720	2	70	5	2	0	31	37
WBGene00018650	715	1	9	0	6	3	11	16
WBGene00235368	679	18	52	8	7	4	74	22
WBGene00018651	749	3	3	1	1	1	13	17
WBGene00018652	1286	2	2	2	4	2	12	10
WBGene00195048	794	7	208	7	10	5	462	599
WBGene00019534	650	1	11	3	3	1	6	4
WBGene00044478	523	4	4	0	0	0	4	0
WBGene00003938	4875	12	10	4	3	9	12	3
WBGene00235371	813	0	0	1	0	0	1	1
WBGene00044093	958	1	0	3	0	0	0	2
WBGene00044092	2090	14	13	2	7	4	12	6
WBGene00017935	1160	1	8	0	1	1	3	1
WBGene00017936	2667	6	9	3	1	2	7	2
WBGene00219684	236	0	0	0	0	0	0	0
WBGene00170053	21	0	0	1	0	0	4	0
WBGene00219689	542	0	3	0	0	0	1	0
WBGene00174173	21	0	0	0	0	0	0	0
WBGene00219688	381	0	0	0	0	0	0	0
WBGene00000611	1063	2	2	2	0	1	4	4
WBGene00018086	665	0	2	0	0	0	1	1
WBGene00219497	655	2	5	2	0	1	2	0
WBGene00165376	21	0	0	0	0	0	0	1
WBGene00003668	3535	8	64	5	2	2	17	13
WBGene00017487	5296	16	10	2	7	7	34	14
WBGene00171091	21	0	0	0	0	0	0	0
WBGene00005715	3030	8	20	2	1	2	7	1
WBGene00017488	515	2	0	2	0	0	7	1
WBGene00017489	5464	453	1297	63	62	50	230	439
WBGene00166460	21	0	0	0	0	0	0	0
WBGene00165247	21	0	0	0	0	0	0	0
WBGene00166994	21	0	0	0	0	0	0	0
WBGene00170400	21	0	0	0	0	0	0	0
WBGene00168459	21	0	0	0	0	0	0	0
WBGene00020973	2681	11	10	4	5	1	17	13
WBGene00020977	4202	2	6	1	4	3	7	4
WBGene00020978	4362	36	9	50	37	57	21	13
WBGene00004419	1515	228	36	41	67	63	262	374
WBGene00021284	522	40	27	58	57	57	27	61
WBGene00021285	234	14	4	33	27	30	7	11
WBGene00006228	2070	5	3	5	3	2	7	2
WBGene00019951	1493	3	2	1	0	1	3	0
WBGene00169107	21	0	0	0	0	0	0	0
WBGene00019952	1505	3	7	0	0	0	3	1
WBGene00019956	1362	2	6	0	1	0	4	4
WBGene00197297	225	2	7	5	4	5	2	1
WBGene00196245	70	6	10	1	2	0	3	0
WBGene00019954	165	1	2	1	2	1	2	2
WBGene00201396	61	0	0	0	0	0	0	1
WBGene00019718	1883	6	8	0	8	2	11	9
WBGene00196280	122	2	2	2	0	1	1	1
WBGene00019719	8555	33	180	116	131	98	194	188
WBGene00019720	3072	10	243	6	9	5	238	339
WBGene00196454	102	0	1	0	0	0	7	11
WBGene00022675	17697	62	431	123	122	168	79	77
WBGene00022677	2822	3	48	3	3	2	20	20
WBGene00195011	285	1	0	0	0	0	2	0
WBGene00022678	1424	4	26	1	6	4	40	32
WBGene00022679	2126	4	8	2	1	1	9	19
WBGene00201238	137	1	5	0	1	0	1	3
WBGene00022680	4863	16	60	6	4	6	31	15
WBGene00199956	121	2	2	0	0	0	0	0
WBGene00235278	1407	1	3	1	2	1	5	4
WBGene00022683	1653	131	22	7	5	5	5	3
WBGene00044480	1900	1	6	0	0	0	6	2
WBGene00197195	141	0	0	0	0	0	0	0
WBGene00198405	149	6	1	0	0	0	7	3
WBGene00044481	4150	4	3	0	1	1	2	6
WBGene00195735	150	0	3	0	1	0	0	0
WBGene00017902	1426	9	10	0	2	4	6	1
WBGene00196195	265	0	0	0	0	0	1	0
WBGene00195393	118	1	0	0	2	0	1	1
WBGene00196259	150	4	0	1	3	0	1	1
WBGene00195461	95	0	3	0	1	0	0	0
WBGene00199446	131	0	0	0	0	0	1	0
WBGene00202272	150	0	2	0	0	0	1	0
WBGene00197376	326	4	11	10	1	4	7	9
WBGene00200207	227	1	0	0	0	0	0	0
WBGene00000684	1479	8	0	3	3	5	9	11
WBGene00017597	27520	115	86	35	36	20	45	46
WBGene00000685	2008	14	78	3	1	7	81	66
WBGene00017924	469	0	1	1	0	0	2	6
WBGene00017925	683	6	14	0	5	3	40	41
WBGene00197470	150	0	0	0	0	0	2	1
WBGene00197420	118	0	0	0	0	1	1	2
WBGene00199843	113	1	0	3	5	1	3	2
WBGene00020679	7030	62	22	30	33	39	129	146
WBGene00220012	125	0	0	0	1	1	3	2
WBGene00019543	3979	4	15	1	4	4	43	35
WBGene00006968	1764	6	4	0	1	0	11	14
WBGene00019544	2983	15	14	10	4	8	33	24
WBGene00195021	19	1	0	0	1	1	0	0
WBGene00023323	2000	119	4	12	11	5	6	3
WBGene00169528	21	0	0	0	0	0	0	0
WBGene00001983	4780	6	4	2	4	6	24	22
WBGene00017119	1116	4	2	2	1	0	17	19
WBGene00017120	2008	3	21	7	5	4	26	20
WBGene00017121	1213	8	24	8	2	7	83	91
WBGene00021204	1959	4	6	2	3	5	3	7
WBGene00021205	1662	6	5	1	2	1	9	7
WBGene00003216	1447	1	4	4	1	0	14	12
WBGene00170206	21	0	0	0	0	0	1	0
WBGene00200356	150	4	1	1	2	1	1	0
WBGene00235374	855	2	7	1	1	0	4	3
WBGene00020006	3251	4	22	1	3	0	9	4
WBGene00003694	4460	3	19	4	2	1	23	11
WBGene00166120	21	0	0	0	0	0	1	0
WBGene00168036	21	0	0	0	0	0	1	0
