RUNON	chr	RUNON_strand	RUNON_start	RUNON_end	OPERON	OPERON_strand	OPERON_start	OPERON_end
WBGene00022450	II	-	2896237	2896737	CEOP2072	-	2878729	2900348
WBGene00022117	I	-	2870208	2870608	CEOP1064	+	2870608	2876324
WBGene00008387	I	-	8485694	8485876	CEOP1894	+	8482759	8487043
WBGene00006945	V	-	18852727	18853127	CEOP5525	+	18839310	18852729
WBGene00006945	V	-	18852727	18853127	CEOP5472	+	18853127	18894974
WBGene00002996	II	-	14346477	14346877	CEOP2636	-	14340068	14349406
WBGene00004412	I	-	2875289	2875395	CEOP1064	-	2870608	2876324
WBGene00019466	V	-	9338559	9338859	CEOP5224	+	9334773	9338858
WBGene00006503	I	-	9063288	9063588	CEOP1528	-	9060493	9064403
WBGene00012362	III	-	10711527	10711724	CEOP3796	+	10708484	10716191
WBGene00009050	I	-	7079668	7079868	CEOP1364	+	7075918	7081520
WBGene00009477	I	-	9009060	9009260	CEOP1516	-	9001913	9013885
WBGene00004175	III	-	8437861	8438061	CEOP3524	-	8438061	8446920
WBGene00000201	III	-	12052303	12052424	CEOP3750	+	12031516	12058458
WBGene00013382	IV	-	13408406	13408606	CEOP4601	-	13403769	13412895
WBGene00011062	I	-	7233445	7233645	CEOP1376	-	7229433	7234501
WBGene00006710	II	-	2906342	2906542	CEOP2076	-	2906542	2919314
WBGene00003951	I	-	14718967	14719167	CEOP1752	+	14719167	14721979
WBGene00023366	IV	+	3589335	3589535	CEOP4100	-	3580970	3599299
WBGene00000698	IV	+	10217643	10217843	CEOP4364	+	10206189	10221281
WBGene00021754	III	+	254067	254367	CEOP3020	+	235844	266593
WBGene00019326	III	+	850586	851386	CEOP3040	+	851328	853909
WBGene00185002	III	+	9838311	9838511	CEOP3882	-	9832953	9838311
WBGene00010840	III	+	10415150	10415850	CEOP3670	-	10405070	10421785
WBGene00013040	III	+	12465821	12466521	CEOP3893	+	12457599	12468277
WBGene00013739	III	+	12697546	12699346	CEOP3889	+	12688318	12710888
WBGene00012109	III	+	13508650	13508850	CEOP3804	+	13499199	13508650
WBGene00009850	X	+	13976920	13977120	CEOPX126	+	13975660	13979031
WBGene00022372	I	+	1402975	1403275	CEOP1964	+	1394569	1413100
WBGene00021764	I	+	1973882	1974482	CEOP1987	-	1958707	1973882
WBGene00003258	I	+	3255678	3256078	CEOP1090	+	3229431	3255678
WBGene00220000	I	+	6835631	6836375	CEOP1999	-	6836375	6843343
WBGene00011916	I	+	7941994	7942594	CEOP1436	+	7936223	7945588
WBGene00007602	I	+	12212206	12212606	CEOP1664	+	12207097	12215184
WBGene00006700	I	+	12749318	12749618	CEOP1901	+	12741588	12752087
WBGene00019241	V	+	911214	911514	CEOP5024	-	904950	916315
WBGene00019274	V	+	4209303	4209703	CEOP5048	+	4195577	4209303
WBGene00000879	V	+	15190926	15191226	CEOP5521	-	15189927	15191836
WBGene00013344	V	+	18052323	18052623	CEOP5464	-	18022479	18052323
WBGene00016576	II	+	3002411	3002513	CEOP2080	-	2997021	3007506
WBGene00019218	II	+	4338424	4338624	CEOP2124	+	4323256	4353159
WBGene00023025	II	+	5032844	5033044	CEOP2156	+	5029942	5040681
WBGene00001162	II	+	13411483	13411883	CEOP2606	+	13369607	13428970
WBGene00002275	II	+	14066170	14066770	CEOP2724	-	14063450	14089119
WBGene00012730	II	+	14089119	14089419	CEOP2724	-	14063450	14089119
WBGene00013167	II	+	15109042	15109242	CEOP2660	+	15090172	15116306
WBGene00004836	I	+	4172315	4175319	CEOP1144	+	4172433	4174774
WBGene00001910	V	+	9546838	9547083	CEOP5232	-	9537672	9549836
WBGene00001911	V	+	9547607	9550307	CEOP5232	+	9537672	9549836
WBGene00018611	III	+	5459516	5461316	CEOP3304	+	5450106	5467992
WBGene00012389	I	+	13771773	13772973	CEOP1933	+	13756730	13792165
WBGene00000766	V	+	9338858	9340058	CEOP5224	-	9334773	9338858
WBGene00015686	I	+	6293855	6294955	CEOP1320	+	6284973	6299729
WBGene00012316	V	+	16802004	16802804	CEOP5456	+	16794878	16814563
WBGene00007027	III	+	12743929	12744629	CEOP3824	-	12714566	12747621
WBGene00001749	III	+	9060181	9060881	CEOP3572	-	9055052	9060181
WBGene00021752	III	+	283009	283709	CEOP3851	+	268458	321721
WBGene00019009	I	+	4847336	4847936	CEOP1204	+	4827072	4850717
WBGene00013024	V	+	14350776	14351207	CEOP5412	-	14347731	14355754
WBGene00044392	II	+	5666850	5667350	CEOP2208	+	5666756	5679276
WBGene00009277	I	+	7846923	7847323	CEOP1424	-	7835814	7846923
WBGene00009052	I	+	7098406	7098649	CEOP1909	-	7095486	7099005
WBGene00010923	III	+	10946834	10947234	CEOP3708	+	10931208	10951169
WBGene00022167	III	+	2826153	2826553	CEOP3086	-	2819280	2838453
WBGene00004386	IV	+	4176279	4176388	CEOP4116	+	4172076	4179531
WBGene00008405	II	+	9341394	9341694	CEOP2424	+	9324874	9341394
WBGene00020957	V	+	2646620	2646920	CEOP5531	+	2638843	2662655
WBGene00010770	I	+	12527906	12528206	CEOP1961	-	12508299	12527906
WBGene00013742	III	+	12710888	12711188	CEOP3889	+	12688318	12710888
WBGene00020955	V	+	2662655	2662955	CEOP5531	+	2638843	2662655
WBGene00001092	III	+	13343337	13343574	CEOP3784	+	13341527	13355683
WBGene00022193	III	+	2622709	2623009	CEOP3853	-	2619936	2627771
WBGene00004206	V	+	5950991	5951291	CEOP5092	+	5940024	5950991
WBGene00003827	IV	+	7915184	7915291	CEOP4264	-	7910575	7916711
WBGene00044134	X	+	14519229	14519529	CEOPX168	-	14516860	14522705
WBGene00012104	I	+	12486235	12486435	CEOP1668	+	12483809	12497354
WBGene00219745	III	+	355402	355602	CEOP3023	-	335956	378250
WBGene00015974	I	+	4203303	4203458	CEOP1152	-	4185060	4203303
WBGene00019767	I	+	4771358	4771558	CEOP1970	+	4771348	4788358
WBGene00022629	V	+	8039506	8039706	CEOP5176	+	8029439	8039506
WBGene00013094	II	+	13875423	13875623	CEOP2620	-	13872869	13888031
WBGene00013499	III	+	10244810	10245010	CEOP3821	+	10238672	10244810
WBGene00004443	IV	+	13882620	13882734	CEOP4568	-	13882225	13884177
WBGene00012972	III	+	11068753	11068858	CEOP3716	-	11063479	11072981
WBGene00013544	III	+	12160100	12160300	CEOP3752	+	12152899	12171356
