RUNON	chr	RUNON_strand	RUNON_start	RUNON_end	OPERON	OPERON_strand	OPERON_start	OPERON_end
WBGene00006710	II	-	2906342	2906542	CEOP2076	+	2906542	2919314
WBGene00011980	II	-	9041980	9042180	CEOP2408	+	9035562	9053824
WBGene00011067	II	-	10787906	10788106	CEOP2504	-	10788106	10798479
WBGene00010910	II	-	10843813	10844313	CEOP2715	+	10841386	10855554
WBGene00009740	II	-	13493050	13493181	CEOP2612	+	13485792	13494600
WBGene00012228	II	-	14142749	14142949	CEOP2628	-	14123945	14143874
WBGene00002996	II	-	14346477	14346877	CEOP2636	+	14340068	14349406
WBGene00004175	III	-	8437861	8438061	CEOP3524	+	8438061	8446920
WBGene00021423	IV	+	2382171	2382371	CEOP4060	-	2349271	2388089
WBGene00023366	IV	+	3589335	3589535	CEOP4100	-	3580970	3599299
WBGene00003827	IV	+	7915184	7915291	CEOP4264	-	7910575	7916711
WBGene00007107	IV	+	11315877	11316077	CEOP4436	-	11315142	11319951
WBGene00016219	III	+	124641	124778	CEOP3008	+	120492	126527
WBGene00219745	III	+	355402	355802	CEOP3023	+	335956	378250
WBGene00022167	III	+	2826153	2826553	CEOP3086	+	2819280	2838453
WBGene00007015	III	+	5021910	5022047	CEOP3256	-	5018645	5023200
WBGene00018611	III	+	5459516	5461316	CEOP3304	+	5450106	5467992
WBGene00006911	III	+	9783212	9783325	CEOP3620	+	9781243	9786038
WBGene00185002	III	+	9838311	9838611	CEOP3882	-	9832953	9838311
WBGene00013499	III	+	10244810	10245010	CEOP3821	-	10238672	10244810
WBGene00010840	III	+	10415150	10415850	CEOP3670	+	10405070	10421785
WBGene00012928	III	+	11238252	11245120	CEOP3825	-	11245120	11252281
WBGene00013544	III	+	12160100	12160300	CEOP3752	-	12152899	12171356
WBGene00013739	III	+	12697546	12698546	CEOP3889	-	12688318	12710888
WBGene00013742	III	+	12710888	12711088	CEOP3889	+	12688318	12710888
WBGene00007027	III	+	12743929	12744829	CEOP3824	+	12714566	12747621
WBGene00001092	III	+	13343337	13343574	CEOP3784	-	13341527	13355683
WBGene00012109	III	+	13508650	13508850	CEOP3804	+	13499199	13508650
WBGene00009726	X	+	12491102	12491302	CEOPX108	-	12480948	12491102
WBGene00044134	X	+	14519229	14519529	CEOPX168	+	14516860	14522705
WBGene00021332	I	+	1048329	1048529	CEOP1908	-	1034443	1050727
WBGene00021764	I	+	1973882	1974282	CEOP1987	-	1958707	1973882
WBGene00004920	I	+	2727545	2727745	CEOP1056	-	2727014	2735371
WBGene00003258	I	+	3255678	3256078	CEOP1090	-	3229431	3255678
WBGene00019009	I	+	4847336	4847536	CEOP1204	+	4827072	4850717
WBGene00015686	I	+	6293855	6294155	CEOP1320	-	6284973	6299729
WBGene00220000	I	+	6835631	6836375	CEOP1999	-	6836375	6843343
WBGene00009052	I	+	7098406	7098649	CEOP1909	-	7095486	7099005
WBGene00009277	I	+	7846923	7847323	CEOP1424	+	7835814	7846923
WBGene00011916	I	+	7941994	7942594	CEOP1436	+	7936223	7945588
WBGene00189958	I	+	10380748	10380948	CEOP1600	+	10374809	10382040
WBGene00045434	I	+	10943922	10944210	CEOP1650	+	10936819	10945690
WBGene00007602	I	+	12212206	12212706	CEOP1664	+	12207097	12215184
WBGene00012104	I	+	12486235	12486435	CEOP1668	+	12483809	12497354
WBGene00010770	I	+	12527906	12528306	CEOP1961	+	12508299	12527906
WBGene00006700	I	+	12749318	12749618	CEOP1901	-	12741588	12752087
WBGene00012389	I	+	13771773	13772373	CEOP1933	-	13756730	13792165
WBGene00020957	V	+	2646620	2647020	CEOP5531	-	2638843	2662655
WBGene00004206	V	+	5950991	5951391	CEOP5092	+	5940024	5950991
WBGene00023341	V	+	6418047	6418447	CEOP5108	-	6417495	6433496
WBGene00017016	V	+	8133329	8133432	CEOP5180	-	8130388	8134985
WBGene00000766	V	+	9338858	9339658	CEOP5224	+	9334773	9338858
WBGene00013024	V	+	14350776	14351207	CEOP5412	+	14347731	14355754
WBGene00012316	V	+	16802004	16802704	CEOP5456	-	16794878	16814563
WBGene00013344	V	+	18052323	18052623	CEOP5464	+	18022479	18052323
WBGene00016808	II	+	98961	99361	CEOP2762	+	98404	100480
WBGene00014058	II	+	10450222	10450422	CEOP2488	+	10448266	10452004
WBGene00002275	II	+	14066170	14066770	CEOP2724	+	14063450	14089119
WBGene00013167	II	+	15109042	15109242	CEOP2660	-	15090172	15116306
