GeneID	Length	BAMS.N2WT_INP_.bam	BAMS.OK803.INP__.bam	BAMS.N2.J2.1_.bam	BAMS.N2.J2.2_.bam	BAMS.N2.J2.3_.bam	BAMS.OK803.J2.1_.bam	BAMS.OK803.J2.2_.bam	BAMS.OK803.J2.3_.bam
WBGene00021949	1075	3	1	1	2	1	0	0	0
WBGene00219763	543	0	3	1	0	0	1	0	0
WBGene00021948	16642	139	123	65	61	57	38	14	28
WBGene00021947	2364	6	6	3	1	1	0	0	0
WBGene00001788	1733	9	12	0	6	2	2	1	0
WBGene00018933	1195	4	5	1	3	3	1	0	1
WBGene00018932	3428	429	520	99	83	86	125	92	55
WBGene00018931	5399	263	66	25	14	21	17	18	10
WBGene00197041	64	0	1	0	0	1	0	0	0
WBGene00200616	63	0	0	0	0	0	0	1	0
WBGene00018930	2781	36	27	68	53	88	18	26	20
WBGene00001154	2900	532	622	254	242	285	161	148	89
WBGene00021935	3730	294	540	151	136	128	120	104	58
WBGene00185088	1135	64	60	39	38	41	23	15	16
WBGene00199601	95	0	1	0	1	0	0	0	0
WBGene00044742	968	63	87	36	22	31	30	15	14
WBGene00023184	72	38	3	0	0	0	0	0	0
WBGene00021941	2970	32	10	31	17	22	6	3	1
WBGene00044757	1174	29	17	7	5	6	3	4	5
WBGene00021939	17398	229	278	156	131	130	92	84	38
WBGene00021938	7120	582	825	274	241	240	154	125	116
WBGene00007007	4855	367	484	220	186	154	160	127	108
WBGene00016649	1376	172	265	108	102	72	109	82	40
WBGene00045301	1781	90	125	69	74	56	34	33	19
WBGene00016648	1376	181	292	110	111	70	121	96	52
WBGene00045300	1782	98	126	74	76	59	35	36	20
WBGene00016647	1376	181	292	110	111	70	121	96	52
WBGene00045299	1782	95	125	72	76	59	35	35	20
WBGene00016646	1376	173	269	109	103	74	111	86	41
WBGene00045298	1782	84	128	68	77	56	31	33	21
WBGene00019073	1376	180	290	110	110	68	119	93	51
WBGene00019072	3753	109	144	86	90	64	40	36	25
WBGene00019070	819	9	17	12	4	4	0	3	2
WBGene00019069	14732	49	40	72	58	48	24	30	14
WBGene00004047	24941	1631	2071	1181	1061	951	745	517	410
WBGene00021924	6109	703	1005	603	435	556	414	297	215
WBGene00021923	4426	78	172	88	64	57	55	58	31
WBGene00021922	2449	424	431	118	104	89	73	75	50
WBGene00021921	6935	848	1249	506	484	382	366	260	178
WBGene00194822	61	0	0	0	0	0	0	0	0
WBGene00194823	61	0	2	0	1	0	0	0	0
WBGene00194824	64	0	0	0	0	0	0	0	0
WBGene00194826	64	0	0	0	0	0	0	0	0
WBGene00005903	3524	88	3	3	3	3	0	0	1
WBGene00021920	731	309	295	87	80	65	65	64	40
WBGene00196098	123	0	0	0	0	0	0	0	0
WBGene00021933	2179	246	310	77	82	58	82	49	27
WBGene00021932	5528	248	376	101	80	109	72	78	44
WBGene00016637	314	1	16	2	0	1	1	6	0
WBGene00003893	3461	4067	3635	1485	1456	1239	1240	892	631
WBGene00202064	112	0	0	0	0	0	0	0	0
WBGene00016636	2059	1259	1341	630	600	597	641	540	338
WBGene00200465	112	0	0	0	0	0	0	1	0
WBGene00219437	1321	4	2	3	4	2	0	0	0
WBGene00016796	7105	468	553	345	270	382	228	208	145
WBGene00022426	4816	340	330	190	164	128	167	100	75
WBGene00022428	4013	150	179	125	129	82	73	57	31
WBGene00007020	5179	216	286	155	138	169	115	86	63
WBGene00021123	1938	21	32	29	25	19	24	18	9
WBGene00021122	1487	5	1	2	0	2	1	0	0
WBGene00021121	1710	38	52	15	11	20	18	19	12
WBGene00021120	916	3	1	0	2	1	1	1	0
WBGene00009524	1640	14	2	0	1	1	0	0	0
WBGene00009519	610	4	2	2	2	0	0	0	0
WBGene00045003	114	0	0	0	0	0	0	0	0
WBGene00009520	2389	1	4	8	6	4	0	0	2
WBGene00009526	3351	24	91	11	21	14	22	14	14
WBGene00009525	621	1	0	0	0	3	0	0	0
WBGene00009515	7560	67	129	49	44	46	32	32	19
WBGene00007476	1227	126	158	37	35	21	44	29	19
WBGene00022425	7271	1156	1687	524	486	474	393	323	195
WBGene00018778	18076	3438	3452	1839	1717	1482	1144	877	601
WBGene00018777	10215	405	446	243	198	225	164	140	86
WBGene00019054	1646	3	1	2	1	1	0	0	1
WBGene00019053	1120	0	0	1	0	2	0	0	0
WBGene00004338	5662	395	377	103	98	91	84	77	40
WBGene00166535	21	2	0	0	0	0	1	2	0
WBGene00023305	72	3	1	0	1	0	0	0	0
WBGene00022423	13494	259	279	388	341	353	233	203	166
WBGene00198926	56	0	0	0	0	0	0	0	0
WBGene00022314	1590	22	25	10	9	8	3	1	0
WBGene00199927	52	0	0	0	0	0	0	0	0
WBGene00002180	842	226	282	44	55	55	45	29	13
WBGene00022308	723	3	4	2	0	2	0	0	0
WBGene00022307	2447	282	335	141	153	143	141	93	69
WBGene00023393	73	0	0	0	0	0	0	0	0
WBGene00220213	94	7	0	4	0	0	0	0	0
WBGene00044464	4477	9	4	4	2	1	2	2	0
WBGene00022306	12336	1212	1359	1077	1033	997	635	608	442
WBGene00019368	4706	942	515	372	348	291	269	163	112
WBGene00019367	2882	8	10	3	3	0	0	2	1
WBGene00195474	150	0	0	0	0	0	2	0	0
WBGene00000681	994	114	114	35	53	42	32	19	13
WBGene00044073	2242	37	121	28	29	25	50	37	20
WBGene00016425	1816	41	50	21	19	13	19	11	9
WBGene00016424	1982	32	23	15	15	9	16	6	1
WBGene00021520	1581	8	7	12	13	16	16	8	8
WBGene00021519	1708	7	7	1	1	2	2	1	2
WBGene00021518	1893	106	104	21	21	21	47	25	23
WBGene00021517	3636	9	8	2	3	1	2	1	0
WBGene00021516	1803	35	35	16	7	9	7	9	2
WBGene00000416	4305	580	724	523	411	492	317	259	201
WBGene00021515	2625	155	259	127	111	127	90	89	61
WBGene00021514	3190	1462	1108	616	650	524	458	325	238
WBGene00001105	2680	45	70	18	23	20	7	10	5
WBGene00003712	2870	98	135	50	38	48	46	26	22
WBGene00003682	3646	37	72	43	38	34	24	17	10
WBGene00003677	2603	81	72	56	68	31	24	28	12
WBGene00045255	3784	27	58	22	24	19	21	10	7
WBGene00021525	1307	35	41	15	16	12	8	2	3
WBGene00021513	3596	19	28	4	5	5	2	3	0
WBGene00004497	321	1348	1179	275	241	209	206	155	131
WBGene00021512	9596	1021	948	593	543	502	384	309	214
WBGene00220155	133	1	6	1	0	0	0	0	0
WBGene00021511	3504	7	9	2	5	2	2	1	0
WBGene00200640	80	0	0	0	0	0	0	0	0
WBGene00044618	2922	11	12	3	3	1	4	1	1
WBGene00019538	1396	8	9	3	4	5	1	2	2
WBGene00019537	863	1974	1942	499	547	437	416	335	233
WBGene00019536	2901	10	19	15	5	6	2	13	5
WBGene00019540	2278	14182	3765	17448	16792	15130	7187	4853	3497
WBGene00195004	1836	2	2	8	6	5	0	1	3
WBGene00021506	5759	1121	1410	713	579	574	422	338	223
WBGene00021505	1927	67	76	41	38	44	21	23	11
WBGene00000682	1047	19	2	12	11	10	0	0	0
WBGene00021504	2552	9	3	0	4	2	0	1	0
WBGene00195012	592	0	0	0	0	0	0	0	0
WBGene00000553	9549	134	154	158	155	148	83	90	46
WBGene00019462	12709	111	172	174	149	150	84	67	53
WBGene00001173	32620	4906	5653	3284	2874	2789	2185	1665	1195
WBGene00001186	15519	572	563	429	375	393	273	183	135
WBGene00001253	3791	60	78	43	32	29	25	28	12
WBGene00018681	24102	1597	2021	1131	1033	1098	823	636	443
WBGene00018680	5132	142	210	388	290	352	315	173	127
WBGene00018679	3126	616	602	223	216	141	143	105	65
WBGene00138717	3039	325	336	108	103	83	89	51	44
WBGene00018678	3387	417	354	148	151	152	121	75	56
WBGene00006738	1534	104	293	30	11	15	41	11	11
WBGene00021655	4170	412	461	229	208	215	184	124	82
WBGene00044466	544	51	62	11	8	11	16	4	3
WBGene00022297	1976	260	378	86	83	77	77	70	28
WBGene00022302	376	39	43	1	7	4	5	4	4
WBGene00022300	11561	1167	1436	766	772	672	548	396	258
WBGene00022296	15905	2451	3073	1473	1222	1157	951	773	503
WBGene00022295	6001	19	14	6	11	9	3	3	2
WBGene00201141	118	0	0	0	0	1	0	0	0
WBGene00044467	5580	49	47	38	36	38	26	19	21
WBGene00019873	5542	28	33	54	68	74	28	15	14
WBGene00255572	74	2	0	3	3	2	0	0	1
WBGene00019875	7898	1149	937	418	435	352	275	186	145
WBGene00023241	218	37	70	283	236	314	109	133	105
WBGene00023240	231	1	0	3	1	1	0	0	0
WBGene00022940	356	0	0	0	0	0	0	0	0
WBGene00016025	1000	2	2	0	1	0	0	0	0
WBGene00200043	96	0	1	0	0	0	0	0	0
WBGene00016024	3242	25	16	4	7	8	5	4	3
WBGene00199050	100	0	0	0	0	0	0	0	0
WBGene00016023	2061	14	21	6	9	6	4	3	1
WBGene00077523	1228	5	2	2	1	1	0	0	0
WBGene00016918	9567	511	678	213	185	199	175	160	113
WBGene00201637	78	0	0	1	0	0	0	0	0
WBGene00016917	1974	2	0	3	2	0	0	0	0
WBGene00022134	20972	2816	2929	2749	2556	2441	1481	1261	902
WBGene00044650	10011	733	1165	834	730	749	675	615	444
WBGene00020208	12968	1451	1813	1500	1303	1288	916	696	429
WBGene00019784	640	1	2	1	0	0	0	0	0
WBGene00019783	6497	100	57	51	35	47	10	14	3
WBGene00201529	119	0	2	0	0	0	0	0	0
WBGene00196218	93	0	0	0	1	0	0	0	0
WBGene00198288	54	0	0	0	0	1	0	0	0
WBGene00199490	80	0	0	0	0	0	0	0	0
WBGene00201693	171	0	1	1	0	0	0	0	0
WBGene00200681	99	0	2	0	0	0	0	0	1
WBGene00219413	231	13	11	5	1	3	1	1	0
WBGene00021415	2682	112	100	29	27	28	14	19	14
WBGene00021423	32901	1847	2661	2303	2192	2313	1494	1494	959
WBGene00021421	4077	394	493	214	195	162	143	108	99
WBGene00168399	21	1	0	0	0	0	0	0	0
WBGene00197860	294	2	5	0	0	0	0	0	1
WBGene00021420	942	1335	1278	472	476	462	383	311	219
WBGene00021419	5443	256	259	90	81	68	62	38	44
WBGene00219262	110	0	1	0	0	0	1	0	0
WBGene00200448	139	0	0	0	0	0	0	0	0
WBGene00016671	3480	51	43	35	43	37	14	16	12
WBGene00200790	70	0	0	0	0	0	0	0	0
WBGene00016670	946	22	20	5	6	2	1	3	5
WBGene00016669	1130	11	5	1	2	0	0	1	0
WBGene00016668	1036	1	3	0	1	0	0	0	0
WBGene00001705	3519	8	12	1	1	1	0	0	1
WBGene00044468	1964	176	309	72	74	92	63	40	38
WBGene00235299	209	0	1	0	0	1	0	0	0
WBGene00022090	5516	169	109	84	69	70	27	23	15
WBGene00022089	1949	3330	3714	1920	1662	1470	1455	1210	775
WBGene00022087	32496	1374	1729	1071	1028	936	703	604	422
WBGene00198527	50	0	0	0	0	0	1	1	0
WBGene00022086	6394	20	6	18	13	9	1	2	0
WBGene00022085	5235	20	16	15	25	17	2	3	1
WBGene00235288	373	3	4	5	5	8	0	0	0
WBGene00235342	276	5	0	0	1	1	1	0	0
WBGene00022083	3443	113	69	63	76	70	25	19	21
WBGene00235343	277	5	1	1	5	0	1	1	3
WBGene00022082	2914	7	2	8	4	2	0	1	0
WBGene00022079	4392	81	26	29	38	25	14	13	3
WBGene00235294	397	2	0	1	2	0	1	0	2
WBGene00022078	6431	245	431	294	279	310	206	187	146
WBGene00022077	2150	280	319	183	201	162	120	90	66
WBGene00022101	2028	121	123	42	54	42	43	50	22
WBGene00174384	21	0	0	0	0	0	0	0	0
WBGene00022076	2936	179	224	91	88	85	82	73	51
WBGene00004878	5564	90	134	54	38	37	41	17	16
WBGene00022075	804	115	170	22	26	35	23	7	10
WBGene00004367	7126	531	687	324	267	252	213	184	110
WBGene00202041	150	0	0	0	0	1	0	0	0
WBGene00201684	130	4	13	2	4	3	0	1	0
WBGene00023390	73	0	0	0	0	0	0	0	0
WBGene00195436	587	1	6	0	0	0	0	0	0
WBGene00022074	5153	782	928	333	294	254	318	224	141
WBGene00022376	1651	149	182	31	31	20	26	23	9
WBGene00196975	70	0	0	0	0	0	0	0	0
WBGene00022375	2153	6	11	16	14	15	9	4	8
WBGene00023396	73	0	1	0	2	2	0	0	0
WBGene00022374	4470	13	16	9	13	7	5	9	4
WBGene00044485	1594	49	38	8	15	9	13	14	3
WBGene00043061	2621	3	1	5	3	3	0	1	1
WBGene00235350	2933	9	3	4	1	6	1	0	0
WBGene00219424	431	3	0	4	3	2	0	2	2
WBGene00044486	1556	2	5	3	3	3	0	0	0
WBGene00169683	21	0	0	0	0	0	0	0	0
WBGene00021868	8114	1088	1209	514	464	491	361	311	188
WBGene00021875	1351	112	16	2	10	8	2	2	0
WBGene00044487	1339	194	5	0	8	4	3	1	0
WBGene00021894	1328	68	59	9	8	7	6	1	0
WBGene00023180	72	97	4	5	2	3	0	0	0
WBGene00044488	3666	562	144	22	22	20	44	31	16
WBGene00235268	3439	17	14	9	18	23	11	6	8
WBGene00023484	2812	11	10	6	2	3	1	3	2
WBGene00043062	4324	80	144	25	26	12	28	20	9
WBGene00044489	604	66	43	62	50	59	37	31	18
WBGene00044490	542	35	24	9	5	10	7	2	7
WBGene00021873	2920	46	19	22	29	23	10	9	4
WBGene00043702	815	25	36	8	14	6	13	7	4
WBGene00021895	3131	206	302	125	119	112	129	72	48
WBGene00044495	4807	58	34	29	43	26	18	8	14
WBGene00021872	1118	45	102	10	6	13	37	25	8
WBGene00021871	1997	18	16	2	16	7	3	3	0
WBGene00235102	749	291	329	127	104	93	75	60	38
WBGene00021898	3955	451	332	266	223	200	119	88	83
WBGene00044493	1340	182	152	76	75	59	47	40	29
WBGene00021870	5441	74	76	23	30	22	13	19	8
WBGene00021897	4273	41	20	17	14	9	7	4	8
WBGene00189961	3455	4	1	1	8	3	0	0	0
WBGene00202412	52	0	1	0	0	0	0	0	0
WBGene00197842	142	0	0	0	0	0	0	0	0
WBGene00199274	149	1	5	0	1	1	2	0	3
WBGene00200008	296	0	1	0	2	1	0	0	0
WBGene00201650	149	0	0	0	0	0	0	0	0
WBGene00197276	109	0	0	0	0	1	0	0	0
WBGene00021869	1854	615	590	242	189	198	231	168	117
WBGene00003008	2578	12	3	7	5	6	3	0	2
WBGene00022067	8324	871	1015	589	513	531	386	305	223
WBGene00022066	1620	2843	1	3024	8442	1814	2	0	0
WBGene00201412	150	0	0	0	0	0	0	0	0
WBGene00201376	196	3	0	0	0	0	0	0	0
WBGene00195576	370	1	3	0	0	0	0	0	0
WBGene00197431	115	0	0	0	1	0	1	0	1
WBGene00197636	150	4	0	4	3	3	2	1	0
WBGene00020729	6891	405	413	222	222	196	105	115	82
WBGene00174542	21	0	1	0	0	0	0	0	0
WBGene00020730	1989	5	6	10	3	12	5	7	5
WBGene00020728	4627	21	16	20	14	31	14	8	5
WBGene00199115	119	7	2	8	8	12	8	2	2
WBGene00200723	150	6	3	3	2	6	2	1	1
WBGene00022064	1529	9	8	2	3	3	0	1	2
WBGene00019766	6062	1484	1721	1287	1189	956	807	619	439
WBGene00235356	403	67	60	64	44	39	20	25	8
WBGene00022059	30162	1978	2522	2514	2285	2214	1378	1208	806
WBGene00197555	91	53	57	21	29	14	5	14	6
WBGene00020831	4580	663	602	283	253	258	195	115	80
WBGene00201407	137	2	1	1	0	1	0	0	0
WBGene00196782	150	1	0	0	0	1	0	0	0
WBGene00021089	2514	15	7	15	13	18	3	6	6
WBGene00021088	2091	5410	5328	2974	2715	2431	2150	1577	1046
WBGene00021087	1059	17	10	2	8	4	4	3	4
WBGene00021086	509	7	14	7	3	6	0	1	0
WBGene00021085	616	6	14	8	2	6	0	1	0
WBGene00021084	588	5	3	2	0	2	0	1	1
WBGene00021083	644	0	3	1	1	2	0	0	0
WBGene00021082	1905	63	78	29	32	18	28	12	13
WBGene00018325	4938	1621	1102	1072	1130	827	374	359	193
WBGene00196320	63	0	0	0	0	0	0	0	0
WBGene00018324	470	0	0	1	1	0	0	0	0
WBGene00018323	2495	11	3	5	7	2	0	1	0
WBGene00021953	2527	12	1	3	1	3	0	0	1
WBGene00021952	4271	2342	2513	606	512	514	571	430	311
WBGene00015248	1002	653	641	122	119	106	96	65	45
WBGene00015414	162	13	10	7	9	4	2	3	0
WBGene00219410	672	0	1	0	0	0	0	0	0
WBGene00015413	4233	1461	1681	698	643	567	528	400	296
WBGene00015412	3552	16	9	5	8	7	1	2	1
WBGene00195724	84	0	0	0	0	0	0	0	0
WBGene00197323	139	0	0	0	0	0	0	0	0
WBGene00200140	81	0	0	0	0	0	0	0	0
WBGene00015411	1428	0	0	0	0	0	0	0	0
WBGene00021033	1560	2	1	1	3	1	0	0	0
WBGene00001702	1192	36	16	7	15	15	3	4	3
WBGene00001692	799	236	299	184	167	153	192	133	93
WBGene00001699	716	52	38	20	17	12	12	6	5
WBGene00019049	1615	2	0	0	0	1	1	0	0
WBGene00194843	1137	0	0	1	0	0	0	0	0
WBGene00019051	1181	2	0	1	0	1	0	0	0
WBGene00019048	2710	18	15	8	11	11	6	6	1
WBGene00019047	2399	19	21	31	22	9	13	9	2
WBGene00019046	670	6	0	0	0	0	0	0	0
WBGene00023301	2022	2	0	0	4	2	0	0	0
WBGene00015655	396	2	9	1	0	0	1	0	0
WBGene00023463	1812	3	0	0	1	2	0	0	0
WBGene00023465	1790	14	6	0	2	2	1	0	0
WBGene00015654	1566	3	1	3	5	4	0	0	0
WBGene00023464	1662	0	0	4	0	0	2	1	0
WBGene00015652	1570	2	0	1	1	1	0	0	0
WBGene00015651	5695	22	31	35	29	34	12	12	3
WBGene00023462	1672	2	3	1	7	3	1	1	0
WBGene00199025	150	0	0	0	0	0	0	0	0
WBGene00006769	9784	3085	1430	748	718	684	527	405	277
WBGene00019778	5168	582	541	291	235	265	176	134	90
WBGene00019777	5406	357	350	337	505	298	225	151	92
WBGene00015037	3468	331	401	187	162	133	137	88	56
WBGene00201697	80	0	0	0	0	0	0	0	0
WBGene00200460	225	0	0	0	1	2	0	0	0
WBGene00015036	2614	6	3	0	5	2	0	0	0
WBGene00015035	8652	23	32	26	19	9	7	7	3
WBGene00021375	1117	73	63	27	31	19	16	13	15
WBGene00021374	2084	84	62	46	60	46	21	20	21
WBGene00202239	148	0	0	0	0	0	0	0	0
WBGene00196540	149	0	0	0	0	0	0	0	0
WBGene00023366	73	0	1	5	11	6	1	1	2
WBGene00002188	2446	26	69	21	14	10	28	13	13
WBGene00022609	1854	14	8	4	5	4	4	2	3
WBGene00022608	3187	131	113	170	176	186	123	92	56
WBGene00170259	21	0	0	0	0	0	0	0	0
WBGene00021360	775	2	1	0	1	1	0	0	0
WBGene00198923	100	0	0	0	0	0	0	0	0
WBGene00021359	3532	1320	1465	624	566	514	488	296	229
WBGene00021358	1222	46	24	18	14	15	11	7	1
WBGene00021357	5867	31	18	19	10	3	5	4	3
WBGene00021365	9384	1434	1611	763	772	672	546	451	376
WBGene00165899	21	0	0	0	0	2	0	0	0
WBGene00021369	3608	536	921	266	219	213	276	210	151
WBGene00021368	3669	116	116	22	18	17	15	11	12
WBGene00019546	9687	75	104	41	22	30	22	11	11
WBGene00019545	1501	3	3	3	3	4	4	0	3
WBGene00019724	1369	160	212	29	48	48	40	36	18
WBGene00019723	1227	102	168	39	32	24	32	29	21
WBGene00017907	9024	281	16	22	40	16	5	6	5
WBGene00200865	142	7	0	0	3	2	0	0	0
WBGene00196594	192	0	0	0	1	0	0	0	0
WBGene00195822	122	0	0	0	0	0	0	0	0
WBGene00017906	1909	1	1	6	4	9	0	1	0
WBGene00200814	149	0	0	0	1	0	0	0	0
WBGene00169432	21	0	0	0	0	1	0	0	0
WBGene00196379	219	8	1	2	0	0	0	0	0
WBGene00006970	5710	93	80	52	60	58	44	35	21
WBGene00200340	118	1	0	0	0	1	0	0	0
WBGene00018144	4696	62	56	28	17	18	11	14	3
WBGene00018143	2832	13	9	5	3	2	0	1	0
WBGene00018142	3172	11	9	10	9	8	2	1	0
WBGene00018141	3301	6	3	2	4	5	0	0	0
WBGene00044471	286	0	2	0	0	0	0	0	0
WBGene00044472	437	2	1	1	0	0	0	0	0
WBGene00219307	2035	40	49	30	17	17	19	9	8
WBGene00219304	1329	33	22	28	10	25	5	10	19
WBGene00023478	1756	3	2	4	4	4	1	0	0
WBGene00006488	390	1	0	1	0	0	0	0	0
WBGene00235358	453	2	1	0	0	0	0	0	0
WBGene00044474	403	15	3	5	3	2	1	1	0
WBGene00044475	419	21	24	5	2	2	2	4	1
WBGene00235297	273	1	3	0	0	2	0	0	0
WBGene00235293	296	14	5	1	3	2	1	0	0
WBGene00018973	1292	2	1	0	0	1	0	0	0
WBGene00044476	378	5	3	1	0	0	0	0	0
WBGene00235361	264	4	1	2	2	1	0	0	0
WBGene00018972	1808	1	0	2	1	1	0	0	0
WBGene00018971	2881	122	200	34	41	27	56	45	39
WBGene00018970	2608	4	1	12	13	11	0	1	0
WBGene00044642	2005	12	2	4	7	4	0	0	2
