gene_id_name	annotation	DOG length	tir_repeat_length_in_DOG	tir length / DOG length
WBGene00010966	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00010967	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00014473	"WS258 
 random intergenic"	200	154.0	0.77
WBGene00021406	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00021405	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00021404	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00021403	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00195502	"WS258 
 random intergenic"	200	20.0	0.1
WBGene00166500	"WS258 
 random intergenic"	400	0.0	0.0
WBGene00235260	"WS258 
 random intergenic"	1000	36.0	0.036
WBGene00023131	"WS258 
 random intergenic"	400	37.0	0.0925
WBGene00235261	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00235262	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00201447	"WS258 
 random intergenic"	500	56.0	0.112
WBGene00006599	"WS258 
 random intergenic"	1100	0.0	0.0
WBGene00017927	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00023277	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00196821	"WS258 
 random intergenic"	3500	0.0	0.0
WBGene00017926	"WS258 
 random intergenic"	400	58.0	0.145
WBGene00000897	"WS258 
 random intergenic"	900	28.0	0.03111111111111111
WBGene00023019	"WS258 
 random intergenic"	1200	216.0	0.18
WBGene00197291	"WS258 
 random intergenic"	200	14.0	0.07
WBGene00199863	"WS258 
 random intergenic"	400	0.0	0.0
WBGene00021398	"WS258 
 random intergenic"	600	0.0	0.0
WBGene00219750	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00021397	"WS258 
 random intergenic"	400	0.0	0.0
WBGene00021396	"WS258 
 random intergenic"	3000	266.0	0.08866666666666667
WBGene00198224	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00006561	"WS258 
 random intergenic"	8100	23.0	0.002839506172839506
WBGene00021395	"WS258 
 random intergenic"	600	0.0	0.0
WBGene00021402	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00000815	"WS258 
 random intergenic"	400	71.0	0.1775
WBGene00044736	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00195063	"WS258 
 random intergenic"	600	0.0	0.0
WBGene00021394	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00021401	"WS258 
 random intergenic"	1100	25.0	0.022727272727272728
WBGene00019820	"WS258 
 random intergenic"	500	159.0	0.318
WBGene00019819	"WS258 
 random intergenic"	700	0.0	0.0
WBGene00020651	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00020650	"WS258 
 random intergenic"	400	0.0	0.0
WBGene00003362	"WS258 
 random intergenic"	400	150.0	0.375
WBGene00020649	"WS258 
 random intergenic"	400	0.0	0.0
WBGene00206487	"WS258 
 random intergenic"	600	0.0	0.0
WBGene00019300	"WS258 
 random intergenic"	500	0.0	0.0
WBGene00198707	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00200120	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00017578	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00017577	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00017576	"WS258 
 random intergenic"	10800	700.0	0.06481481481481481
WBGene00004493	"WS258 
 random intergenic"	1600	0.0	0.0
WBGene00044789	"WS258 
 random intergenic"	900	0.0	0.0
WBGene00020300	"WS258 
 random intergenic"	6500	0.0	0.0
WBGene00020298	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00020297	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00020296	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00001666	"WS258 
 random intergenic"	700	0.0	0.0
WBGene00219270	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00020299	"WS258 
 random intergenic"	500	0.0	0.0
WBGene00022046	"WS258 
 random intergenic"	600	69.0	0.115
WBGene00022045	"WS258 
 random intergenic"	300	49.0	0.16333333333333333
WBGene00022044	"WS258 
 random intergenic"	400	24.0	0.06
WBGene00235264	"WS258 
 random intergenic"	3000	0.0	0.0
WBGene00019772	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00235265	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00201763	"WS258 
 random intergenic"	500	0.0	0.0
WBGene00021010	"WS258 
 random intergenic"	900	0.0	0.0
WBGene00001625	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00199193	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00018924	"WS258 
 random intergenic"	500	106.0	0.212
WBGene00201760	"WS258 
 random intergenic"	200	11.0	0.055
WBGene00198589	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00001165	"WS258 
 random intergenic"	700	0.0	0.0
WBGene00001579	"WS258 
 random intergenic"	12100	283.0	0.023388429752066116
WBGene00015995	"WS258 
 random intergenic"	7100	95.0	0.013380281690140845
WBGene00015994	"WS258 
 random intergenic"	400	0.0	0.0
WBGene00044457	"WS258 
 random intergenic"	1200	106.0	0.08833333333333333
WBGene00000676	"WS258 
 random intergenic"	400	0.0	0.0
WBGene00002140	"WS258 
 random intergenic"	5900	27.0	0.004576271186440678
WBGene00015993	"WS258 
 random intergenic"	500	0.0	0.0
WBGene00200054	"WS258 
 random intergenic"	400	0.0	0.0
WBGene00015497	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00019665	"WS258 
 random intergenic"	700	0.0	0.0
WBGene00019664	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00019663	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00019662	"WS258 
 random intergenic"	3000	205.0	0.06833333333333333
WBGene00044458	"WS258 
 random intergenic"	10300	21.0	0.0020388349514563107
WBGene00019661	"WS258 
 random intergenic"	500	0.0	0.0
WBGene00023038	"WS258 
 random intergenic"	500	0.0	0.0
WBGene00018256	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00021949	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00219763	"WS258 
 random intergenic"	700	76.0	0.10857142857142857
WBGene00021948	"WS258 
 random intergenic"	500	0.0	0.0
WBGene00021947	"WS258 
 random intergenic"	800	0.0	0.0
WBGene00001788	"WS258 
 random intergenic"	600	0.0	0.0
WBGene00018933	"WS258 
 random intergenic"	600	0.0	0.0
WBGene00018932	"WS258 
 random intergenic"	5900	70.0	0.011864406779661017
WBGene00018931	"WS258 
 random intergenic"	900	113.0	0.12555555555555556
WBGene00197041	"WS258 
 random intergenic"	8900	0.0	0.0
WBGene00200616	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00018930	"WS258 
 random intergenic"	7100	273.0	0.038450704225352114
WBGene00001154	"WS258 
 random intergenic"	200	116.0	0.58
WBGene00021935	"WS258 
 random intergenic"	200	19.0	0.095
WBGene00185088	"WS258 
 random intergenic"	5900	1446.0	0.24508474576271186
WBGene00199601	"WS258 
 random intergenic"	200	61.0	0.305
WBGene00044742	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00023184	"WS258 
 random intergenic"	5900	242.0	0.04101694915254237
WBGene00021941	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00044757	"WS258 
 random intergenic"	7900	0.0	0.0
WBGene00021939	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00021938	"WS258 
 random intergenic"	200	197.0	0.985
WBGene00007007	"WS258 
 random intergenic"	1100	0.0	0.0
WBGene00016649	"WS258 
 random intergenic"	600	0.0	0.0
WBGene00045301	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00016648	"WS258 
 random intergenic"	7100	0.0	0.0
WBGene00045300	"WS258 
 random intergenic"	10000	0.0	0.0
WBGene00016647	"WS258 
 random intergenic"	900	0.0	0.0
WBGene00045299	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00016646	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00045298	"WS258 
 random intergenic"	400	0.0	0.0
WBGene00019073	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00019072	"WS258 
 random intergenic"	8900	0.0	0.0
WBGene00019070	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00019069	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00004047	"WS258 
 random intergenic"	600	136.0	0.22666666666666666
WBGene00021924	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00021923	"WS258 
 random intergenic"	600	92.0	0.15333333333333332
WBGene00021922	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00021921	"WS258 
 random intergenic"	900	31.0	0.034444444444444444
WBGene00194822	"WS258 
 random intergenic"	600	344.0	0.5733333333333334
WBGene00194823	"WS258 
 random intergenic"	200	5.0	0.025
WBGene00194824	"WS258 
 random intergenic"	900	0.0	0.0
WBGene00194826	"WS258 
 random intergenic"	400	0.0	0.0
WBGene00005903	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00021920	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00196098	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00021933	"WS258 
 random intergenic"	300	66.0	0.22
WBGene00021932	"WS258 
 random intergenic"	1200	43.0	0.035833333333333335
WBGene00016637	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00003893	"WS258 
 random intergenic"	300	110.0	0.36666666666666664
WBGene00202064	"WS258 
 random intergenic"	6400	535.0	0.08359375
WBGene00016636	"WS258 
 random intergenic"	1200	0.0	0.0
WBGene00200465	"WS258 
 random intergenic"	400	0.0	0.0
WBGene00219437	"WS258 
 random intergenic"	1100	92.0	0.08363636363636363
WBGene00016796	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00022426	"WS258 
 random intergenic"	600	0.0	0.0
WBGene00022428	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00007020	"WS258 
 random intergenic"	10300	0.0	0.0
WBGene00022427	"WS258 
 random intergenic"	700	197.0	0.2814285714285714
WBGene00021123	"WS258 
 random intergenic"	1200	424.0	0.35333333333333333
WBGene00021122	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00021121	"WS258 
 random intergenic"	600	0.0	0.0
WBGene00021120	"WS258 
 random intergenic"	8100	331.0	0.0408641975308642
WBGene00009524	"WS258 
 random intergenic"	1200	65.0	0.05416666666666667
WBGene00009519	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00045003	"WS258 
 random intergenic"	1200	438.0	0.365
WBGene00009520	"WS258 
 random intergenic"	1200	81.0	0.0675
WBGene00009526	"WS258 
 random intergenic"	600	0.0	0.0
WBGene00009525	"WS258 
 random intergenic"	400	0.0	0.0
WBGene00009515	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00007476	"WS258 
 random intergenic"	400	42.0	0.105
WBGene00022425	"WS258 
 random intergenic"	200	42.0	0.21
WBGene00018778	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00018777	"WS258 
 random intergenic"	1300	56.0	0.043076923076923075
WBGene00019054	"WS258 
 random intergenic"	1000	0.0	0.0
WBGene00019053	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00004338	"WS258 
 random intergenic"	600	0.0	0.0
WBGene00166535	"WS258 
 random intergenic"	800	133.0	0.16625
WBGene00023305	"WS258 
 random intergenic"	6500	842.0	0.12953846153846155
WBGene00022423	"WS258 
 random intergenic"	8900	1153.0	0.12955056179775282
WBGene00198926	"WS258 
 random intergenic"	200	46.0	0.23
WBGene00022314	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00199927	"WS258 
 random intergenic"	900	0.0	0.0
WBGene00002180	"WS258 
 random intergenic"	10000	126.0	0.0126
WBGene00022308	"WS258 
 random intergenic"	700	0.0	0.0
WBGene00022307	"WS258 
 random intergenic"	10300	96.0	0.009320388349514564
WBGene00023393	"WS258 
 random intergenic"	7900	0.0	0.0
WBGene00220213	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00044464	"WS258 
 random intergenic"	900	55.0	0.06111111111111111
WBGene00022306	"WS258 
 random intergenic"	500	43.0	0.086
WBGene00019368	"WS258 
 random intergenic"	500	0.0	0.0
WBGene00019367	"WS258 
 random intergenic"	8900	1946.0	0.21865168539325844
WBGene00195474	"WS258 
 random intergenic"	1200	82.0	0.06833333333333333
WBGene00000681	"WS258 
 random intergenic"	400	0.0	0.0
WBGene00044073	"WS258 
 random intergenic"	700	0.0	0.0
WBGene00016425	"WS258 
 random intergenic"	900	0.0	0.0
WBGene00016424	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00021520	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00021519	"WS258 
 random intergenic"	500	0.0	0.0
WBGene00021518	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00021517	"WS258 
 random intergenic"	3500	77.0	0.022
WBGene00021516	"WS258 
 random intergenic"	300	138.0	0.46
WBGene00000416	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00021515	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00021514	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00001105	"WS258 
 random intergenic"	500	0.0	0.0
WBGene00003712	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00003682	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00003677	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00045255	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00021525	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00021513	"WS258 
 random intergenic"	400	37.0	0.0925
WBGene00004497	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00021512	"WS258 
 random intergenic"	900	29.0	0.03222222222222222
WBGene00220155	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00021511	"WS258 
 random intergenic"	1600	18.0	0.01125
WBGene00200640	"WS258 
 random intergenic"	400	0.0	0.0
WBGene00044618	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00019538	"WS258 
 random intergenic"	10300	0.0	0.0
WBGene00019537	"WS258 
 random intergenic"	600	0.0	0.0
WBGene00019536	"WS258 
 random intergenic"	900	17.0	0.01888888888888889
WBGene00019540	"WS258 
 random intergenic"	1100	44.0	0.04
WBGene00195004	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00021506	"WS258 
 random intergenic"	700	0.0	0.0
WBGene00021505	"WS258 
 random intergenic"	1200	408.0	0.34
WBGene00000682	"WS258 
 random intergenic"	300	26.0	0.08666666666666667
WBGene00021504	"WS258 
 random intergenic"	1200	190.0	0.15833333333333333
WBGene00195012	"WS258 
 random intergenic"	3500	110.0	0.03142857142857143
WBGene00000553	"WS258 
 random intergenic"	1200	30.0	0.025
WBGene00019462	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00001173	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00001186	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00001253	"WS258 
 random intergenic"	400	61.0	0.1525
WBGene00018681	"WS258 
 random intergenic"	600	21.0	0.035
WBGene00018680	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00018679	"WS258 
 random intergenic"	500	0.0	0.0
WBGene00138717	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00018678	"WS258 
 random intergenic"	1200	0.0	0.0
WBGene00006738	"WS258 
 random intergenic"	400	229.0	0.5725
WBGene00021655	"WS258 
 random intergenic"	900	0.0	0.0
WBGene00044466	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00022297	"WS258 
 random intergenic"	700	227.0	0.3242857142857143
WBGene00022302	"WS258 
 random intergenic"	700	0.0	0.0
WBGene00022300	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00022296	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00022295	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00201141	"WS258 
 random intergenic"	1600	253.0	0.158125
WBGene00044467	"WS258 
 random intergenic"	500	0.0	0.0
WBGene00019873	"WS258 
 random intergenic"	900	76.0	0.08444444444444445
WBGene00255572	"WS258 
 random intergenic"	900	64.0	0.07111111111111111
WBGene00019875	"WS258 
 random intergenic"	900	1.0	0.0011111111111111111
WBGene00023241	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00023240	"WS258 
 random intergenic"	600	323.0	0.5383333333333333
WBGene00022940	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00016025	"WS258 
 random intergenic"	1200	34.0	0.028333333333333332
WBGene00200043	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00016024	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00199050	"WS258 
 random intergenic"	7100	268.0	0.03774647887323944
WBGene00016023	"WS258 
 random intergenic"	300	54.0	0.18
WBGene00077523	"WS258 
 random intergenic"	400	0.0	0.0
WBGene00016918	"WS258 
 random intergenic"	1200	266.0	0.22166666666666668
WBGene00201637	"WS258 
 random intergenic"	1200	187.0	0.15583333333333332
WBGene00016917	"WS258 
 random intergenic"	500	0.0	0.0
WBGene00022134	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00044650	"WS258 
 random intergenic"	500	88.0	0.176
WBGene00020208	"WS258 
 random intergenic"	500	168.0	0.336
WBGene00019784	"WS258 
 random intergenic"	1400	74.0	0.05285714285714286
WBGene00019783	"WS258 
 random intergenic"	1600	717.0	0.448125
WBGene00201529	"WS258 
 random intergenic"	500	15.0	0.03
WBGene00196218	"WS258 
 random intergenic"	400	131.0	0.3275
WBGene00198288	"WS258 
 random intergenic"	400	0.0	0.0
WBGene00199490	"WS258 
 random intergenic"	700	142.0	0.20285714285714285
WBGene00201693	"WS258 
 random intergenic"	10300	56.0	0.005436893203883495
WBGene00200681	"WS258 
 random intergenic"	600	0.0	0.0
WBGene00219413	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00021415	"WS258 
 random intergenic"	200	66.0	0.33
WBGene00021423	"WS258 
 random intergenic"	300	60.0	0.2
WBGene00021421	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00168399	"WS258 
 random intergenic"	2300	0.0	0.0
WBGene00197860	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00021420	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00021419	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00219262	"WS258 
 random intergenic"	500	0.0	0.0
WBGene00200448	"WS258 
 random intergenic"	500	0.0	0.0
WBGene00016671	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00200790	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00016670	"WS258 
 random intergenic"	400	99.0	0.2475
WBGene00016669	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00016668	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00001705	"WS258 
 random intergenic"	400	154.0	0.385
WBGene00044468	"WS258 
 random intergenic"	200	198.0	0.99
WBGene00235299	"WS258 
 random intergenic"	3500	0.0	0.0
WBGene00022090	"WS258 
 random intergenic"	10300	66.0	0.006407766990291262
WBGene00022089	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00022087	"WS258 
 random intergenic"	1200	32.0	0.02666666666666667
WBGene00198527	"WS258 
 random intergenic"	300	87.0	0.29
WBGene00022086	"WS258 
 random intergenic"	700	413.0	0.59
WBGene00022085	"WS258 
 random intergenic"	3500	1840.0	0.5257142857142857
WBGene00235288	"WS258 
 random intergenic"	500	149.0	0.298
WBGene00235342	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00022083	"WS258 
 random intergenic"	1300	0.0	0.0
WBGene00235343	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00022082	"WS258 
 random intergenic"	1200	0.0	0.0
WBGene00022079	"WS258 
 random intergenic"	1100	174.0	0.15818181818181817
WBGene00235294	"WS258 
 random intergenic"	1200	269.0	0.22416666666666665
WBGene00022078	"WS258 
 random intergenic"	900	0.0	0.0
WBGene00022077	"WS258 
 random intergenic"	8900	0.0	0.0
WBGene00022101	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00174384	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00022076	"WS258 
 random intergenic"	200	150.0	0.75
WBGene00004878	"WS258 
 random intergenic"	300	42.0	0.14
WBGene00199492	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00022075	"WS258 
 random intergenic"	8900	0.0	0.0
WBGene00004367	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00202041	"WS258 
 random intergenic"	5900	0.0	0.0
WBGene00201684	"WS258 
 random intergenic"	8100	1068.0	0.13185185185185186
WBGene00023390	"WS258 
 random intergenic"	600	72.0	0.12
WBGene00195436	"WS258 
 random intergenic"	500	0.0	0.0
WBGene00022074	"WS258 
 random intergenic"	900	328.0	0.36444444444444446
WBGene00022376	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00196975	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00022375	"WS258 
 random intergenic"	300	23.0	0.07666666666666666
WBGene00023396	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00022374	"WS258 
 random intergenic"	400	0.0	0.0
WBGene00044485	"WS258 
 random intergenic"	300	45.0	0.15
WBGene00043061	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00235350	"WS258 
 random intergenic"	500	50.0	0.1
WBGene00219424	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00044486	"WS258 
 random intergenic"	900	138.0	0.15333333333333332
WBGene00169683	"WS258 
 random intergenic"	1000	90.0	0.09
WBGene00021868	"WS258 
 random intergenic"	500	0.0	0.0
WBGene00021875	"WS258 
 random intergenic"	200	90.0	0.45
WBGene00044487	"WS258 
 random intergenic"	10300	0.0	0.0
WBGene00021894	"WS258 
 random intergenic"	300	38.0	0.12666666666666668
WBGene00023180	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00044488	"WS258 
 random intergenic"	500	0.0	0.0
WBGene00235268	"WS258 
 random intergenic"	900	204.0	0.22666666666666666
WBGene00023484	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00043062	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00044489	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00044490	"WS258 
 random intergenic"	400	0.0	0.0
WBGene00021873	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00043702	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00021895	"WS258 
 random intergenic"	500	0.0	0.0
WBGene00044495	"WS258 
 random intergenic"	400	0.0	0.0
WBGene00021872	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00021871	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00235102	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00021898	"WS258 
 random intergenic"	700	0.0	0.0
WBGene00044493	"WS258 
 random intergenic"	500	96.0	0.192
WBGene00021870	"WS258 
 random intergenic"	200	83.0	0.415
WBGene00021897	"WS258 
 random intergenic"	300	18.0	0.06
WBGene00189961	"WS258 
 random intergenic"	5900	739.0	0.1252542372881356
WBGene00202412	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00197842	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00199274	"WS258 
 random intergenic"	300	80.0	0.26666666666666666
WBGene00200008	"WS258 
 random intergenic"	7100	34.0	0.004788732394366197
WBGene00201650	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00197276	"WS258 
 random intergenic"	10000	1524.0	0.1524
WBGene00021869	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00003008	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00022067	"WS258 
 random intergenic"	400	156.0	0.39
WBGene00022066	"WS258 
 random intergenic"	6400	122.0	0.0190625
WBGene00201412	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00201376	"WS258 
 random intergenic"	600	0.0	0.0
WBGene00195576	"WS258 
 random intergenic"	400	0.0	0.0
WBGene00197431	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00197636	"WS258 
 random intergenic"	300	35.0	0.11666666666666667
WBGene00020729	"WS258 
 random intergenic"	1300	0.0	0.0
WBGene00174542	"WS258 
 random intergenic"	500	0.0	0.0
WBGene00020730	"WS258 
 random intergenic"	400	26.0	0.065
WBGene00020728	"WS258 
 random intergenic"	3000	819.0	0.273
WBGene00199115	"WS258 
 random intergenic"	1100	0.0	0.0
WBGene00200723	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00022064	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00019766	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00235356	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00022059	"WS258 
 random intergenic"	10000	178.0	0.0178
WBGene00197555	"WS258 
 random intergenic"	700	125.0	0.17857142857142858
WBGene00020831	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00201407	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00196782	"WS258 
 random intergenic"	400	0.0	0.0
WBGene00021089	"WS258 
 random intergenic"	300	0.0	0.0
WBGene00021088	"WS258 
 random intergenic"	400	95.0	0.2375
WBGene00021087	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00021086	"WS258 
 random intergenic"	400	0.0	0.0
WBGene00021085	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00021084	"WS258 
 random intergenic"	500	0.0	0.0
WBGene00021083	"WS258 
 random intergenic"	200	27.0	0.135
WBGene00021082	"WS258 
 random intergenic"	10800	1627.0	0.15064814814814814
WBGene00018325	"WS258 
 random intergenic"	400	0.0	0.0
WBGene00196320	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00018324	"WS258 
 random intergenic"	3500	773.0	0.22085714285714286
WBGene00018323	"WS258 
 random intergenic"	200	0.0	0.0
WBGene00021953	"WS258 
 random intergenic"	500	46.0	0.092
WBGene00021952	"WS258 
 random intergenic"	1200	135.0	0.1125
WBGene00015248	"WS258 
 random intergenic"	8900	430.0	0.048314606741573035
