gene_id_name	strand	gene_biotype_name	overlapped_gene	overlapped_biotype	same_or_opposite_strand
WBGene00170143	+	piRNA	WBGene00165165	piRNA	opposite
WBGene00046807	+	piRNA	WBGene00168464	piRNA	opposite
WBGene00167134	+	piRNA	WBGene00046327	piRNA	opposite
WBGene00173052	+	piRNA	WBGene00050436	piRNA	opposite
WBGene00173052	+	piRNA	WBGene00045963	piRNA	opposite
WBGene00173052	+	piRNA	WBGene00050822	piRNA	opposite
WBGene00171980	+	piRNA	WBGene00172491	piRNA	opposite
WBGene00167297	+	piRNA	WBGene00049807	piRNA	opposite
WBGene00174242	+	piRNA	WBGene00049727	piRNA	opposite
WBGene00174242	+	piRNA	WBGene00047259	piRNA	opposite
WBGene00174242	+	piRNA	WBGene00046841	piRNA	opposite
WBGene00167176	+	piRNA	WBGene00172432	piRNA	opposite
WBGene00170460	+	piRNA	WBGene00172553	piRNA	opposite
WBGene00168277	+	piRNA	WBGene00174058	piRNA	opposite
WBGene00016951	+	protein_coding	WBGene00174976	piRNA	opposite
WBGene00047930	+	piRNA	WBGene00050712	piRNA	opposite
WBGene00171656	+	piRNA	WBGene00165140	piRNA	opposite
WBGene00171656	+	piRNA	WBGene00173279	piRNA	opposite
WBGene00174552	+	piRNA	WBGene00173959	piRNA	opposite
WBGene00174552	+	piRNA	WBGene00046511	piRNA	opposite
WBGene00166898	+	piRNA	WBGene00169690	piRNA	opposite
WBGene00166898	+	piRNA	WBGene00048310	piRNA	opposite
WBGene00165864	+	piRNA	WBGene00047988	piRNA	opposite
WBGene00165864	+	piRNA	WBGene00168379	piRNA	opposite
WBGene00165864	+	piRNA	WBGene00046337	piRNA	opposite
WBGene00165864	+	piRNA	WBGene00167406	piRNA	opposite
WBGene00050707	+	piRNA	WBGene00050070	piRNA	opposite
WBGene00046730	+	piRNA	WBGene00047220	piRNA	opposite
WBGene00166560	+	piRNA	WBGene00171893	piRNA	opposite
WBGene00166560	+	piRNA	WBGene00174930	piRNA	opposite
WBGene00166560	+	piRNA	WBGene00046707	piRNA	opposite
WBGene00165470	+	piRNA	WBGene00048236	piRNA	opposite
WBGene00046112	+	piRNA	WBGene00167840	piRNA	opposite
WBGene00046112	+	piRNA	WBGene00165286	piRNA	opposite
WBGene00201462	+	ncRNA	WBGene00170327	piRNA	opposite
WBGene00201462	+	ncRNA	WBGene00165086	piRNA	opposite
WBGene00201462	+	ncRNA	WBGene00168160	piRNA	opposite
WBGene00172986	+	piRNA	WBGene00168309	piRNA	opposite
WBGene00172986	+	piRNA	WBGene00165587	piRNA	opposite
WBGene00167293	+	piRNA	WBGene00165249	piRNA	opposite
WBGene00171472	+	piRNA	WBGene00045528	piRNA	opposite
WBGene00168538	+	piRNA	WBGene00050241	piRNA	opposite
WBGene00169281	+	piRNA	WBGene00171548	piRNA	opposite
WBGene00169281	+	piRNA	WBGene00166569	piRNA	opposite
WBGene00170825	+	piRNA	WBGene00047564	piRNA	opposite
WBGene00174558	+	piRNA	WBGene00169230	piRNA	opposite
WBGene00046475	+	piRNA	WBGene00171080	piRNA	opposite
WBGene00046475	+	piRNA	WBGene00168959	piRNA	opposite
WBGene00046475	+	piRNA	WBGene00171910	piRNA	opposite
WBGene00050796	+	piRNA	WBGene00047949	piRNA	opposite
WBGene00165892	+	piRNA	WBGene00172985	piRNA	opposite
WBGene00169677	+	piRNA	WBGene00167952	piRNA	opposite
WBGene00172116	+	piRNA	WBGene00173511	piRNA	opposite
WBGene00172116	+	piRNA	WBGene00174725	piRNA	opposite
WBGene00168473	+	piRNA	WBGene00165547	piRNA	opposite
WBGene00168473	+	piRNA	WBGene00171640	piRNA	opposite
WBGene00173994	+	piRNA	WBGene00172919	piRNA	opposite
WBGene00173994	+	piRNA	WBGene00173820	piRNA	opposite
WBGene00174003	+	piRNA	WBGene00047657	piRNA	opposite
WBGene00195853	+	ncRNA	WBGene00171905	piRNA	opposite
WBGene00195853	+	ncRNA	WBGene00167507	piRNA	opposite
WBGene00173190	+	piRNA	WBGene00173609	piRNA	opposite
WBGene00173190	+	piRNA	WBGene00169114	piRNA	opposite
WBGene00165747	+	piRNA	WBGene00169564	piRNA	opposite
WBGene00165747	+	piRNA	WBGene00170311	piRNA	opposite
WBGene00048160	+	piRNA	WBGene00173960	piRNA	opposite
WBGene00048160	+	piRNA	WBGene00166037	piRNA	opposite
WBGene00174004	+	piRNA	WBGene00173806	piRNA	opposite
WBGene00174004	+	piRNA	WBGene00168913	piRNA	opposite
WBGene00174004	+	piRNA	WBGene00173442	piRNA	opposite
WBGene00195654	+	ncRNA	WBGene00174978	piRNA	opposite
WBGene00170281	+	piRNA	WBGene00170184	piRNA	opposite
WBGene00171727	+	piRNA	WBGene00168159	piRNA	opposite
WBGene00168637	+	piRNA	WBGene00165782	piRNA	opposite
WBGene00168637	+	piRNA	WBGene00172320	piRNA	opposite
WBGene00016613	+	protein_coding	WBGene00171865	piRNA	opposite
WBGene00016613	+	protein_coding	WBGene00172178	piRNA	opposite
WBGene00171840	+	piRNA	WBGene00169807	piRNA	opposite
WBGene00171840	+	piRNA	WBGene00169904	piRNA	opposite
WBGene00169643	+	piRNA	WBGene00169489	piRNA	opposite
WBGene00169643	+	piRNA	WBGene00172516	piRNA	opposite
WBGene00169643	+	piRNA	WBGene00169171	piRNA	opposite
WBGene00169643	+	piRNA	WBGene00171347	piRNA	opposite
WBGene00018168	+	protein_coding	WBGene00171925	piRNA	opposite
WBGene00018168	+	protein_coding	WBGene00168848	piRNA	opposite
WBGene00018168	+	protein_coding	WBGene00173195	piRNA	opposite
WBGene00165649	+	piRNA	WBGene00170954	piRNA	opposite
WBGene00165649	+	piRNA	WBGene00168228	piRNA	opposite
WBGene00166397	+	piRNA	WBGene00173729	piRNA	opposite
WBGene00171978	+	piRNA	WBGene00174793	piRNA	opposite
WBGene00168491	+	piRNA	WBGene00165642	piRNA	opposite
WBGene00169990	+	piRNA	WBGene00166591	piRNA	opposite
WBGene00001241	+	protein_coding	WBGene00169485	piRNA	opposite
WBGene00173534	+	piRNA	WBGene00173345	piRNA	opposite
WBGene00000242	+	protein_coding	WBGene00167282	piRNA	opposite
WBGene00014689	+	pseudogene	WBGene00170703	piRNA	opposite
WBGene00014689	+	pseudogene	WBGene00165776	piRNA	opposite
WBGene00198720	+	ncRNA	WBGene00167449	piRNA	opposite
WBGene00012639	+	protein_coding	WBGene00171621	piRNA	opposite
WBGene00012874	+	protein_coding	WBGene00171209	piRNA	opposite
WBGene00012870	+	pseudogene	WBGene00169212	piRNA	opposite
