DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	chr	dot	dot2	end	gene_biotype_name	gene_id	gene_id_name	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:rRNA	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	right_int_length	source	start	strand	type	AnyGeneOverlap	sample_name	ADOG_overlap_DOG
6420373	6420373	0	False	False	2000	6418373	6418373	0	ADOG	II	.	.	6418373	ncRNA	gene_id "WBGene00195347"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00195347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	154	4739.0	WormBase	6418219	+	gene	False	N2HS_J2B_sp	False
1281484	1281484	0	False	False	2000	1279484	1279484	0	ADOG	I	.	.	1279484	ncRNA	gene_id "WBGene00199486"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00199486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	48	2617.0	WormBase	1279436	+	gene	False	N2HS_J2B_spl	False
7933708	7933708	0	False	False	1900	7931808	7931808	0	ADOG	X	.	.	7931808	protein_coding	gene_id "WBGene00006980"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00006980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	1070	13444.0	WormBase	7930738	+	gene	False	N2HS_J2B_spl	False
7789612	7789612	0	True	False	1900	7787712	7787712	0	ADOG	V	.	.	7787712	protein_coding	gene_id "WBGene00016146"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00016146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	2295	5655.0	WormBase	7785417	+	gene	False	N2HS_J2B_spl	False
8302965	8302965	0	True	False	1800	8301165	8301165	0	ADOG	IV	.	.	8301165	protein_coding	gene_id "WBGene00018070"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00018070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	410	2803.0	WormBase	8300755	+	gene	False	N2HS_J2B_sp	False
323421	323421	0	False	False	1700	321721	321721	0	ADOG	III	.	.	321721	protein_coding	gene_id "WBGene00021758"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00021758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	6261	30501.0	WormBase	315460	+	gene	False	N2HS_J2B_s	False
6116456	6116456	0	False	False	1600	6114856	6114856	0	ADOG	V	.	.	6114856	protein_coding	gene_id "WBGene00017534"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00017534	0	0	0	0	0	['WBGene00017536', 'WBGene00017537']	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	7028	1665.0	WormBase	6107828	+	gene	False	N2HS_J2B_spl	False
14612987	14612987	0	False	False	1600	14611387	14611387	0	ADOG	IV	.	.	14611387	ncRNA	gene_id "WBGene00200075"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00200075	0	0	0	0	0	0	0	0	0	['WBGene00014324']	0	0	0	0	0	0	0	0.0	0	0	0	0.0	95	3962.0	WormBase	14611292	+	gene	False	N2HS_J2B_sp	False
8481092	8481092	0	False	False	1600	8479492	8479492	0	ADOG	I	.	.	8479492	ncRNA	gene_id "WBGene00202368"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00202368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	53	1660.0	WormBase	8479439	+	gene	False	N2HS_J2B_spl	False
8890689	8890689	0	False	False	1500	8889189	8889189	0	ADOG	X	.	.	8889189	ncRNA	gene_id "WBGene00197244"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00197244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	104	3940.0	WormBase	8889085	+	gene	False	N2HS_J2B_spl	False
364338	364338	0	False	False	1400	362938	362938	0	ADOG	X	.	.	362938	protein_coding	gene_id "WBGene00045270"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00045270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	2159	1645.0	WormBase	360779	+	gene	False	N2HS_J2B_spl	False
2909256	2909256	0	False	False	1400	2907856	2907856	0	ADOG	X	.	.	2907856	ncRNA	gene_id "WBGene00200747"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00200747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	143	1680.0	WormBase	2907713	+	gene	False	N2HS_J2B_spl	False
11916958	11916958	0	False	False	1400	11915558	11915558	0	ADOG	X	.	.	11915558	protein_coding	gene_id "WBGene00013400"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00013400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	1434	1447.0	WormBase	11914124	+	gene	False	N2HS_J2B_spl	False
5814367	5814367	0	False	False	1400	5812967	5812967	0	ADOG	III	.	.	5812967	ncRNA	gene_id "WBGene00200251"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00200251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	125	1553.0	WormBase	5812842	+	gene	False	N2HS_J2B_s	False
1012785	1012785	0	False	False	1400	1011385	1011385	0	ADOG	III	.	.	1011385	protein_coding	gene_id "WBGene00021337"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00021337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	850	9569.0	WormBase	1010535	+	gene	False	N2HS_J2B_s	False
10400720	10400720	0	False	False	1400	10399320	10399320	0	ADOG	II	.	.	10399320	protein_coding	gene_id "WBGene00011664"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00011664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	2442	11969.0	WormBase	10396878	+	gene	False	N2HS_J2B_sp	False
11315595	11315595	0	True	False	1300	11314295	11314295	0	ADOG	II	.	.	11314295	ncRNA	gene_id "WBGene00197412"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00197412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	138	20213.0	WormBase	11314157	+	gene	False	N2HS_J2B_sp	False
16158278	16158278	0	False	False	1200	16157078	16157078	0	ADOG	X	.	.	16157078	ncRNA	gene_id "WBGene00201268"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00201268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	145	10679.0	WormBase	16156933	+	gene	False	N2HS_J2A_split	False
17119188	17119188	0	False	False	1200	17117988	17117988	0	ADOG	X	.	.	17117988	protein_coding	gene_id "WBGene00019574"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00019574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	329	1281.0	WormBase	17117659	+	gene	False	N2HS_J2B_spl	False
10016695	10016695	0	False	False	1200	10015495	10015495	0	ADOG	I	.	.	10015495	protein_coding	gene_id "WBGene00007274"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00007274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	948	1283.0	WormBase	10014547	+	gene	False	N2HS_J2B_spl	False
9091022	9091022	0	True	False	1200	9089822	9089822	0	ADOG	II	.	.	9089822	ncRNA	gene_id "WBGene00200843"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00200843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	98	9549.0	WormBase	9089724	+	gene	False	N2HS_J2B_sp	False
11148837	11148837	0	False	False	1100	11147737	11147737	0	ADOG	V	.	.	11147737	protein_coding	gene_id "WBGene00003771"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00003771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	401	1968.0	WormBase	11147336	+	gene	False	N2HS_J2B_spl	False
9063228	9063228	0	True	False	1100	9062128	9062128	0	ADOG	II	.	.	9062128	ncRNA	gene_id "WBGene00201871"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00201871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	146	8308.0	WormBase	9061982	+	gene	False	N2HS_J2B_sp	False
1776660	1776660	0	False	False	1100	1775560	1775560	0	ADOG	X	.	.	1775560	pseudogene	gene_id "WBGene00023357"; gene_source "WormBase"; gene_biotype "pseudogene";	WBGene00023357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	72	3828.0	WormBase	1775488	+	gene	False	N2HS_J2B_spl	False
6331281	6331281	0	False	False	1100	6330181	6330181	0	ADOG	I	.	.	6330181	protein_coding	gene_id "WBGene00194703"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00194703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	645	12050.0	WormBase	6329536	+	gene	False	N2HS_J2B_spl	False
1018280	1018280	0	False	False	1100	1017180	1017180	0	ADOG	I	.	.	1017180	protein_coding	gene_id "WBGene00005002"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00005002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	777	1655.0	WormBase	1016403	+	gene	False	N2HS_J2B_spl	False
3720868	3720868	0	False	False	1100	3719768	3719768	0	ADOG	II	.	.	3719768	protein_coding	gene_id "WBGene00016710"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00016710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	2630	1548.0	WormBase	3717138	+	gene	False	N2HS_J2B_sp	False
6331227	6331227	0	False	False	1100	6330127	6330127	0	ADOG	X	.	.	6330127	protein_coding	gene_id "WBGene00000742"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00000742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	967	1493.0	WormBase	6329160	+	gene	False	N2HS_J2B_spl	False
10333639	10333639	0	True	False	1100	10332539	10332539	0	ADOG	V	.	.	10332539	ncRNA	gene_id "WBGene00200131"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00200131	0	0	0	['WBGene00200772']	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	246	6961.0	WormBase	10332293	+	gene	False	N2HS_J2B_spl	False
8780896	8780896	0	False	False	1100	8779796	8779796	0	ADOG	V	.	.	8779796	ncRNA	gene_id "WBGene00199663"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00199663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	192	3373.0	WormBase	8779604	+	gene	False	N2HS_J2B_spl	False
4850938	4850938	0	True	False	1100	4849838	4849838	0	ADOG	V	.	.	4849838	protein_coding	gene_id "WBGene00016506"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00016506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	2185	1634.0	WormBase	4847653	+	gene	False	N2HS_J2B_spl	False
943608	943608	0	False	False	1000	942608	942608	0	ADOG	X	.	.	942608	protein_coding	gene_id "WBGene00018779"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00018779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	4092	8174.0	WormBase	938516	+	gene	False	N2HS_J2B_spl	False
8136955	8136955	0	False	False	1000	8135955	8135955	0	ADOG	I	.	.	8135955	snoRNA	gene_id "WBGene00220106"; gene_source "WormBase"; gene_biotype "snoRNA";	WBGene00220106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	115	11445.0	WormBase	8135840	+	gene	False	N2HS_J2B_spl	False
9064687	9064687	0	False	False	1000	9063687	9063687	0	ADOG	IV	.	.	9063687	lincRNA	gene_id "WBGene00219626"; gene_source "WormBase"; gene_biotype "lincRNA";	WBGene00219626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	2908	6323.0	WormBase	9060779	+	gene	False	N2HS_J2B_sp	False
13415465	13415465	0	False	False	1000	13414465	13414465	0	ADOG	I	.	.	13414465	pseudogene	gene_id "WBGene00077561"; gene_source "WormBase"; gene_biotype "pseudogene";	WBGene00077561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	192	3993.0	WormBase	13414273	+	gene	False	N2HS_J2B_spl	False
4376323	4376323	0	False	False	1000	4375323	4375323	0	ADOG	III	.	.	4375323	pseudogene	gene_id "WBGene00045188"; gene_source "WormBase"; gene_biotype "pseudogene";	WBGene00045188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	2144	1180.0	WormBase	4373179	+	gene	False	N2HS_J2B_s	False
9794234	9794234	0	False	False	1000	9793234	9793234	0	ADOG	V	.	.	9793234	protein_coding	gene_id "WBGene00009773"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00009773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	1667	3628.0	WormBase	9791567	+	gene	False	N2HS_J2B_spl	False
8890673	8890673	0	True	False	1000	8889673	8889673	0	ADOG	II	.	.	8889673	protein_coding	gene_id "WBGene00011580"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00011580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	4772	2034.0	WormBase	8884901	+	gene	False	N2HS_J2B_sp	False
10255188	10255188	0	False	False	900	10254288	10254288	0	ADOG	X	.	.	10254288	ncRNA	gene_id "WBGene00202291"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00202291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	137	19404.0	WormBase	10254151	+	gene	False	N2HS_J2B_spl	False
6339845	6339845	0	False	False	900	6338945	6338945	0	ADOG	X	.	.	6338945	piRNA	gene_id "WBGene00166028"; gene_source "WormBase"; gene_biotype "piRNA";	WBGene00166028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	20	2890.0	WormBase	6338925	+	gene	False	N2HS_J2B_spl	False
12553275	12553275	0	False	False	900	12552375	12552375	0	ADOG	I	.	.	12552375	protein_coding	gene_id "WBGene00012216"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00012216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	838	4789.0	WormBase	12551537	+	gene	False	N2HS_J2B_spl	False
5982824	5982824	0	False	False	900	5981924	5981924	0	ADOG	X	.	.	5981924	ncRNA	gene_id "WBGene00196632"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00196632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	118	3051.0	WormBase	5981806	+	gene	False	N2HS_J2B_spl	False
12504955	12504955	0	False	False	900	12504055	12504055	0	ADOG	IV	.	.	12504055	protein_coding	gene_id "WBGene00005681"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00005681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	1799	1642.0	WormBase	12502256	+	gene	False	N2HS_J2B_sp	False
7748165	7748165	0	False	False	900	7747265	7747265	0	ADOG	V	.	.	7747265	ncRNA	gene_id "WBGene00202339"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00202339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	149	1598.0	WormBase	7747116	+	gene	False	N2HS_J2B_spl	False
10341871	10341871	0	False	False	900	10340971	10340971	0	ADOG	V	.	.	10340971	protein_coding	gene_id "WBGene00010625"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00010625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	1471	1084.0	WormBase	10339500	+	gene	False	N2HS_J2B_spl	False
759984	759984	0	False	False	900	759084	759084	0	ADOG	IV	.	.	759084	protein_coding	gene_id "WBGene00021947"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00021947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	2363	1526.0	WormBase	756721	+	gene	False	N2HS_J2A_split	False
9148426	9148426	0	False	False	900	9147526	9147526	0	ADOG	X	.	.	9147526	protein_coding	gene_id "WBGene00015262"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00015262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	1352	3168.0	WormBase	9146174	+	gene	False	N2HS_J2B_spl	False
5250720	5250720	0	False	False	900	5249820	5249820	0	ADOG	IV	.	.	5249820	protein_coding	gene_id "WBGene00021997"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00021997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	392	3067.0	WormBase	5249428	+	gene	False	N2HS_J2B_sp	False
5778801	5778801	0	False	False	900	5777901	5777901	0	ADOG	V	.	.	5777901	pseudogene	gene_id "WBGene00235319"; gene_source "WormBase"; gene_biotype "pseudogene";	WBGene00235319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	472	2253.0	WormBase	5777429	+	gene	False	N2HS_J2B_spl	False
5743880	5743880	0	False	False	900	5742980	5742980	0	ADOG	IV	.	.	5742980	protein_coding	gene_id "WBGene00016665"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00016665	0	0	0	0	['WBGene00172243']	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	1635	1356.0	WormBase	5741345	+	gene	False	N2HS_J2B_sp	False
9543330	9543330	0	False	False	900	9542430	9542430	0	ADOG	X	.	.	9542430	protein_coding	gene_id "WBGene00003828"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00003828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	2525	1240.0	WormBase	9539905	+	gene	False	N2HS_J2B_spl	False
16264753	16264753	0	False	False	800	16263953	16263953	0	ADOG	V	.	.	16263953	protein_coding	gene_id "WBGene00003717"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00003717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	2306	7583.0	WormBase	16261647	+	gene	False	N2HS_J2B_spl	False
7048554	7048554	0	False	False	800	7047754	7047754	0	ADOG	X	.	.	7047754	ncRNA	gene_id "WBGene00201712"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00201712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	59	2823.0	WormBase	7047695	+	gene	False	N2HS_J2B_spl	False
8936017	8936017	0	False	False	800	8935217	8935217	0	ADOG	V	.	.	8935217	ncRNA	gene_id "WBGene00199855"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00199855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	141	1142.0	WormBase	8935076	+	gene	False	N2HS_J2A_split	False
588050	588050	0	False	False	800	587250	587250	0	ADOG	V	.	.	587250	protein_coding	gene_id "WBGene00019450"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00019450	0	0	0	0	['WBGene00165423']	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	1402	885.0	WormBase	585848	+	gene	False	N2HS_J2B_spl	False
16933913	16933913	0	False	False	800	16933113	16933113	0	ADOG	IV	.	.	16933113	pseudogene	gene_id "WBGene00013788"; gene_source "WormBase"; gene_biotype "pseudogene";	WBGene00013788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	1123	4769.0	WormBase	16931990	+	gene	False	N2HS_J2B_sp	False
9884567	9884567	0	False	False	800	9883767	9883767	0	ADOG	I	.	.	9883767	tRNA	gene_id "WBGene00014533"; gene_source "WormBase"; gene_biotype "tRNA";	WBGene00014533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	71	944.0	WormBase	9883696	+	gene	False	N2HS_J2B_spl	False
3512012	3512012	0	False	False	800	3511212	3511212	0	ADOG	II	.	.	3511212	ncRNA	gene_id "WBGene00198510"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00198510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	56	829.0	WormBase	3511156	+	gene	False	N2HS_J2B_sp	False
13570830	13570830	0	False	False	800	13570030	13570030	0	ADOG	V	.	.	13570030	protein_coding	gene_id "WBGene00000250"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00000250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	1180	2007.0	WormBase	13568850	+	gene	False	N2HS_J2B_spl	False
9465525	9465525	0	False	False	800	9464725	9464725	0	ADOG	X	.	.	9464725	protein_coding	gene_id "WBGene00014144"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00014144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	1369	2993.0	WormBase	9463356	+	gene	False	N2HS_J2B_spl	False
10049526	10049526	0	True	False	800	10048726	10048726	0	ADOG	V	.	.	10048726	protein_coding	gene_id "WBGene00010177"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00010177	0	0	0	['WBGene00199742', 'WBGene00198348', 'WBGene00197228', 'WBGene00197215']	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	11386	3429.0	WormBase	10037340	+	gene	False	N2HS_J2B_spl	False
