DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	chr	dot	dot2	end	gene_biotype_name	gene_id	gene_id_name	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:rRNA	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	right_int_length	source	start	strand	type	AnyGeneOverlap	sample_name
2330895	2330895		False	False	700	2330195	2330195		ADOG	I	.	.	2332652	protein_coding	gene_id "WBGene00021472"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00021472	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	3566.0	1757		WormBase	2330895	-	gene	False	N2HS_J2B_spl
2571782	2571782		False	False	500	2571282	2571282		ADOG	I	.	.	2576020	protein_coding	gene_id "WBGene00000006"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00000006	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	20192.0	4238		WormBase	2571782	-	gene	False	N2HS_J2B_spl
2605283	2605283		False	False	1100	2604183	2604183		ADOG	I	.	.	2605605	ncRNA	gene_id "WBGene00201331"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00201331	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	9989.0	322		WormBase	2605283	-	gene	False	N2HS_J2B_spl
2703263	2703263		False	False	300	2702963	2702963		ADOG	I	.	.	2703458	ncRNA	gene_id "WBGene00200310"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00200310	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2425.0	195		WormBase	2703263	-	gene	False	N2HS_J2B_spl
2798175	2798175		True	False	900	2797275	2797275		ADOG	I	.	.	2800878	protein_coding	gene_id "WBGene00020985"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00020985	0	0	0	['WBGene00201190']	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	7832.0	2703		WormBase	2798175	-	gene	False	N2HS_J2B_spl
3917911	3917911		False	False	200	3917711	3917711		ADOG	I	.	.	3920172	protein_coding	gene_id "WBGene00020627"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00020627	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2453.0	2261		WormBase	3917911	-	gene	False	N2HS_J2B_spl
4153957	4153957		False	False	500	4153457	4153457		ADOG	I	.	.	4154550	protein_coding	gene_id "WBGene00020033"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00020033	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2196.0	593		WormBase	4153957	-	gene	False	N2HS_J2B_spl
4428467	4428467		False	False	400	4428067	4428067		ADOG	I	.	.	4444342	protein_coding	gene_id "WBGene00016562"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00016562	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	15246.0	15875		WormBase	4428467	-	gene	False	N2HS_J2B_spl
4578695	4578695		False	False	900	4577795	4577795		ADOG	I	.	.	4579740	protein_coding	gene_id "WBGene00044421"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00044421	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1491.0	1045		WormBase	4578695	-	gene	False	N2HS_J2B_spl
5014351	5014351		False	False	200	5014151	5014151		ADOG	I	.	.	5016260	protein_coding	gene_id "WBGene00018791"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00018791	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	8294.0	1909		WormBase	5014351	-	gene	False	N2HS_J2B_spl
5018770	5018770		False	False	300	5018470	5018470		ADOG	I	.	.	5020166	protein_coding	gene_id "WBGene00003934"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00003934	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2510.0	1396		WormBase	5018770	-	gene	False	N2HS_J2B_spl
5396269	5396269		False	False	1100	5395169	5395169		ADOG	I	.	.	5396503	protein_coding	gene_id "WBGene00016043"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00016043	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	7349.0	234		WormBase	5396269	-	gene	False	N2HS_J2B_spl
5433907	5433907		False	False	200	5433707	5433707		ADOG	I	.	.	5443026	protein_coding	gene_id "WBGene00017858"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00017858	0	0	0	0	0	['WBGene00017851']	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	853.0	9119		WormBase	5433907	-	gene	False	N2HS_J2B_spl
5455730	5455730		False	False	200	5455530	5455530		ADOG	I	.	.	5459550	protein_coding	gene_id "WBGene00020262"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00020262	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2252.0	3820		WormBase	5455730	-	gene	False	N2HS_J2B_spl
5460531	5460531		False	False	500	5460031	5460031		ADOG	I	.	.	5460551	piRNA	gene_id "WBGene00173290"; gene_source "WormBase"; gene_biotype "piRNA";	WBGene00173290	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	981.0	20		WormBase	5460531	-	gene	False	N2HS_J2B_spl
5542630	5542630		False	False	700	5541930	5541930		ADOG	I	.	.	5543334	protein_coding	gene_id "WBGene00019083"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00019083	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	8920.0	704		WormBase	5542630	-	gene	False	N2HS_J2B_spl
5822841	5822841		False	False	1600	5821241	5821241		ADOG	I	.	.	5826148	protein_coding	gene_id "WBGene00016333"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00016333	0	0	0	0	0	0	0	0.0	0	['WBGene00219845']	0	0	0	0	0	0	0	0	0	0	0	1707.0	3307		WormBase	5822841	-	gene	False	N2HS_J2B_spl
5951136	5951136		False	False	200	5950936	5950936		ADOG	I	.	.	5951742	protein_coding	gene_id "WBGene00015031"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00015031	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1688.0	606		WormBase	5951136	-	gene	False	N2HS_J2B_spl
6053785	6053785		False	False	400	6053385	6053385		ADOG	I	.	.	6055821	protein_coding	gene_id "WBGene00016156"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00016156	0	0	0	0	0	0	0	0.0	0	0	0	0	0	['WBGene00219261']	0	0	0	0	0	0	0	2549.0	2036		WormBase	6053785	-	gene	False	N2HS_J2B_spl
6068526	6068526		False	False	300	6068226	6068226		ADOG	I	.	.	6070122	protein_coding	gene_id "WBGene00022749"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00022749	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	486.0	1596		WormBase	6068526	-	gene	False	N2HS_J2B_spl
6271866	6271866		False	False	300	6271566	6271566		ADOG	I	.	.	6273780	protein_coding	gene_id "WBGene00015688"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00015688	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	325.0	1914		WormBase	6271866	-	gene	False	N2HS_J2B_spl
6490716	6490716		False	False	1500	6489216	6489216		ADOG	I	.	.	6492727	protein_coding	gene_id "WBGene00000937"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00000937	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1686.0	2011		WormBase	6490716	-	gene	False	N2HS_J2B_spl
6686724	6686724		False	False	300	6686424	6686424		ADOG	I	.	.	6686776	ncRNA	gene_id "WBGene00199148"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00199148	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	12884.0	52		WormBase	6686724	-	gene	False	N2HS_J2B_spl
6687349	6687349		False	False	200	6687149	6687149		ADOG	I	.	.	6691662	protein_coding	gene_id "WBGene00020712"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00020712	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	573.0	4313		WormBase	6687349	-	gene	False	N2HS_J2B_spl
6897755	6897755		False	False	300	6897455	6897455		ADOG	I	.	.	6900619	protein_coding	gene_id "WBGene00016743"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00016743	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	9538.0	2864		WormBase	6897755	-	gene	False	N2HS_J2B_spl
6900947	6900947		False	False	200	6900747	6900747		ADOG	I	.	.	6913579	protein_coding	gene_id "WBGene00004879"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00004879	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	328.0	12632		WormBase	6900947	-	gene	False	N2HS_J2B_spl
7002870	7002870		False	False	200	7002670	7002670		ADOG	I	.	.	7003481	pseudogene	gene_id "WBGene00010371"; gene_source "WormBase"; gene_biotype "pseudogene";	WBGene00010371	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	3164.0	611		WormBase	7002870	-	gene	False	N2HS_J2B_spl
7050042	7050042		False	False	500	7049542	7049542		ADOG	I	.	.	7051712	pseudogene	gene_id "WBGene00044764"; gene_source "WormBase"; gene_biotype "pseudogene";	WBGene00044764	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	9331.0	1670		WormBase	7050042	-	gene	False	N2HS_J2B_spl
7075918	7075918		False	False	300	7075618	7075618		ADOG	I	.	.	7079566	protein_coding	gene_id "WBGene00002198"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00002198	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1185.0	3648		WormBase	7075918	-	gene	False	N2HS_J2B_spl
7484159	7484159		False	False	200	7483959	7483959		ADOG	I	.	.	7486302	protein_coding	gene_id "WBGene00012138"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00012138	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	7213.0	2143		WormBase	7484159	-	gene	False	N2HS_J2B_spl
7486577	7486577		False	False	200	7486377	7486377		ADOG	I	.	.	7490174	protein_coding	gene_id "WBGene00012139"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00012139	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.0	3597		WormBase	7486577	-	gene	False	N2HS_J2B_spl
8138868	8138868		False	False	1000	8137868	8137868		ADOG	I	.	.	8138888	piRNA	gene_id "WBGene00167759"; gene_source "WormBase"; gene_biotype "piRNA";	WBGene00167759	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1592.0	20		WormBase	8138868	-	gene	False	N2HS_J2B_spl
8623017	8623017		False	False	200	8622817	8622817		ADOG	I	.	.	8631184	protein_coding	gene_id "WBGene00001414"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00001414	0	0	0	['WBGene00197738', 'WBGene00199884']	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	6203.0	8167		WormBase	8623017	-	gene	False	N2HS_J2B_spl
8767019	8767019		False	False	1200	8765819	8765819		ADOG	I	.	.	8768042	protein_coding	gene_id "WBGene00001960"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00001960	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	7231.0	1023		WormBase	8767019	-	gene	False	N2HS_J2B_spl
8828048	8828048		True	False	300	8827748	8827748		ADOG	I	.	.	8838719	protein_coding	gene_id "WBGene00009460"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00009460	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1378.0	10671		WormBase	8828048	-	gene	False	N2HS_J2B_spl
9087743	9087743		False	False	1300	9086443	9086443		ADOG	I	.	.	9087883	ncRNA	gene_id "WBGene00197971"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00197971	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1895.0	140		WormBase	9087743	-	gene	False	N2HS_J2B_spl
9332534	9332534		True	False	500	9332034	9332034		ADOG	I	.	.	9332649	ncRNA	gene_id "WBGene00219811"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00219811	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	3829.0	115		WormBase	9332534	-	gene	False	N2HS_J2B_spl
9334812	9334812		False	False	300	9334512	9334512		ADOG	I	.	.	9342496	protein_coding	gene_id "WBGene00003026"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00003026	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1779.0	7684		WormBase	9334812	-	gene	False	N2HS_J2B_spl
9543729	9543729		False	False	800	9542929	9542929		ADOG	I	.	.	9543951	ncRNA	gene_id "WBGene00195719"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00195719	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2763.0	222		WormBase	9543729	-	gene	False	N2HS_J2B_spl
9563843	9563843		True	False	300	9563543	9563543		ADOG	I	.	.	9563927	tRNA	gene_id "WBGene00014281"; gene_source "WormBase"; gene_biotype "tRNA";	WBGene00014281	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	7825.0	84		WormBase	9563843	-	gene	False	N2HS_J2B_spl
9605751	9605751		False	False	200	9605551	9605551		ADOG	I	.	.	9605844	ncRNA	gene_id "WBGene00199280"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00199280	0	0	0	0	0	0	0	0.0	0	0	['WBGene00014424']	0	0	0	0	0	0	0	0	0	0	4736.0	93		WormBase	9605751	-	gene	False	N2HS_J2B_spl
9710093	9710093		False	False	800	9709293	9709293		ADOG	I	.	.	9710767	protein_coding	gene_id "WBGene00007303"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00007303	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	10532.0	674		WormBase	9710093	-	gene	False	N2HS_J2B_spl
9736636	9736636		True	False	300	9736336	9736336		ADOG	I	.	.	9736785	ncRNA	gene_id "WBGene00198047"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00198047	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2339.0	149		WormBase	9736636	-	gene	False	N2HS_J2B_spl
9762403	9762403		False	False	200	9762203	9762203		ADOG	I	.	.	9767873	protein_coding	gene_id "WBGene00009158"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00009158	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1616.0	5470		WormBase	9762403	-	gene	False	N2HS_J2B_spl
9768836	9768836		False	False	200	9768636	9768636		ADOG	I	.	.	9771068	protein_coding	gene_id "WBGene00009160"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00009160	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	963.0	2232		WormBase	9768836	-	gene	False	N2HS_J2B_spl
9829827	9829827		False	False	5600	9824227	9824227		ADOG	I	.	.	9830599	protein_coding	gene_id "WBGene00013449"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00013449	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	6379.0	772		WormBase	9829827	-	gene	False	N2HS_J2B_spl
9893698	9893698		True	False	200	9893498	9893498		ADOG	I	.	.	9895596	protein_coding	gene_id "WBGene00000640"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00000640	0	0	0	['WBGene00201926', 'WBGene00199039']	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1475.0	1898		WormBase	9893698	-	gene	False	N2HS_J2B_spl
10011505	10011505		False	False	200	10011305	10011305		ADOG	I	.	.	10011836	ncRNA	gene_id "WBGene00200507"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00200507	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	10046.0	331		WormBase	10011505	-	gene	False	N2HS_J2B_spl
10244352	10244352		False	False	800	10243552	10243552		ADOG	I	.	.	10244462	ncRNA	gene_id "WBGene00201869"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00201869	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	6670.0	110		WormBase	10244352	-	gene	False	N2HS_J2B_spl
10264314	10264314		False	False	200	10264114	10264114		ADOG	I	.	.	10279234	protein_coding	gene_id "WBGene00013859"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00013859	0	0	0	['WBGene00198011']	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2064.0	14920		WormBase	10264314	-	gene	False	N2HS_J2B_spl
10319669	10319669		False	False	1900	10317769	10317769		ADOG	I	.	.	10321493	protein_coding	gene_id "WBGene00013715"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00013715	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	8078.0	1824		WormBase	10319669	-	gene	False	N2HS_J2B_spl
10418234	10418234		False	False	1800	10416434	10416434		ADOG	I	.	.	10421858	protein_coding	gene_id "WBGene00009113"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00009113	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	10649.0	3624		WormBase	10418234	-	gene	False	N2HS_J2B_spl
10750030	10750030		False	False	1700	10748330	10748330		ADOG	I	.	.	10750154	ncRNA	gene_id "WBGene00197757"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00197757	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	5585.0	124		WormBase	10750030	-	gene	False	N2HS_J2B_spl
10850433	10850433		False	False	300	10850133	10850133		ADOG	I	.	.	10851233	protein_coding	gene_id "WBGene00021384"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00021384	0	0	0	['WBGene00199987']	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	37510.0	800		WormBase	10850433	-	gene	False	N2HS_J2B_spl
10924240	10924240		True	False	200	10924040	10924040		ADOG	I	.	.	10925753	protein_coding	gene_id "WBGene00000780"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00000780	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	296.0	1513		WormBase	10924240	-	gene	False	N2HS_J2B_spl
11339787	11339787		False	False	300	11339487	11339487		ADOG	I	.	.	11341521	protein_coding	gene_id "WBGene00077770"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00077770	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	951.0	1734		WormBase	11339787	-	gene	False	N2HS_J2B_spl
11400612	11400612		False	False	200	11400412	11400412		ADOG	I	.	.	11416427	protein_coding	gene_id "WBGene00001215"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00001215	0	0	0	['WBGene00198208']	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	3952.0	15815		WormBase	11400612	-	gene	False	N2HS_J2B_spl
11473218	11473218		False	False	400	11472818	11472818		ADOG	I	.	.	11475677	protein_coding	gene_id "WBGene00003703"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00003703	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2185.0	2459		WormBase	11473218	-	gene	False	N2HS_J2B_spl
11498450	11498450		False	False	400	11498050	11498050		ADOG	I	.	.	11498715	protein_coding	gene_id "WBGene00086563"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00086563	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2205.0	265		WormBase	11498450	-	gene	False	N2HS_J2B_spl
11572121	11572121		False	False	200	11571921	11571921		ADOG	I	.	.	11577488	protein_coding	gene_id "WBGene00008856"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00008856	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	943.0	5367		WormBase	11572121	-	gene	False	N2HS_J2B_spl
11694722	11694722		False	False	3100	11691622	11691622		ADOG	I	.	.	11694997	protein_coding	gene_id "WBGene00011934"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00011934	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	3892.0	275		WormBase	11694722	-	gene	False	N2HS_J2B_spl
11731058	11731058		False	False	400	11730658	11730658		ADOG	I	.	.	11733478	pseudogene	gene_id "WBGene00077785"; gene_source "WormBase"; gene_biotype "pseudogene";	WBGene00077785	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	4732.0	2420		WormBase	11731058	-	gene	False	N2HS_J2B_spl
11741603	11741603		False	False	500	11741103	11741103		ADOG	I	.	.	11743951	protein_coding	gene_id "WBGene00009412"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00009412	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	841.0	2348		WormBase	11741603	-	gene	False	N2HS_J2B_spl
11800433	11800433		False	False	200	11800233	11800233		ADOG	I	.	.	11804991	protein_coding	gene_id "WBGene00011385"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00011385	0	0	0	['WBGene00200957']	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	['WBGene00014498']	2486.0	4558		WormBase	11800433	-	gene	False	N2HS_J2B_spl
11827549	11827549		False	False	300	11827249	11827249		ADOG	I	.	.	11828619	protein_coding	gene_id "WBGene00011390"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00011390	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1762.0	1070		WormBase	11827549	-	gene	False	N2HS_J2B_spl
