GeneID	Length	BAMS.N2WT_INP_.bam	BAMS.OK803.INP__.bam	BAMS.N2.J2.1_.bam	BAMS.N2.J2.2_.bam	BAMS.N2.J2.3_.bam	BAMS.OK803.J2.1_.bam	BAMS.OK803.J2.2_.bam	BAMS.OK803.J2.3_.bam
WBGene00195964	118	0	0	0	0	0	0	0	0
WBGene00197598	138	2	1	0	1	0	0	0	0
WBGene00197815	122	0	0	0	0	0	0	0	0
WBGene00018925	2504	520	604	213	212	201	122	84	62
WBGene00018926	1948	113	41	32	35	18	10	6	7
WBGene00189987	4017	7	2	2	1	3	0	2	0
WBGene00015996	3456	71	4	12	10	9	4	4	1
WBGene00015997	698	10	9	1	1	0	0	1	0
WBGene00015998	2247	3	3	1	3	0	0	0	1
WBGene00015999	653	2	2	1	1	0	1	0	0
WBGene00199072	105	0	0	0	0	2	0	0	0
WBGene00200850	74	1	0	0	1	0	0	0	0
WBGene00194995	186	2331	3310	317	281	245	148	121	105
WBGene00019658	1292	82	56	19	9	13	6	1	2
WBGene00004427	1141	7685	6469	3111	2843	2680	2376	1586	1050
WBGene00044723	1594	2	10	1	4	1	1	0	0
WBGene00019659	1847	1	6	2	0	1	1	2	0
WBGene00019660	1848	6	8	2	5	1	2	2	0
WBGene00195864	90	0	0	0	0	0	0	0	0
WBGene00235287	10028	18	58	2	11	2	1	0	12
WBGene00021950	8959	165	206	114	117	121	93	67	33
WBGene00044460	1527	7	5	6	6	5	4	3	0
WBGene00044459	7716	89	138	114	107	107	76	58	36
WBGene00021951	2538	2	0	1	4	1	0	0	0
WBGene00197624	95	0	3	1	1	0	0	0	0
WBGene00196878	300	0	1	0	0	0	0	0	0
WBGene00194844	1938	11	5	1	2	3	1	2	0
WBGene00018928	4507	95	136	38	20	22	37	20	19
WBGene00018929	2349	20	25	19	13	8	5	7	2
WBGene00199691	95	0	0	0	0	1	0	0	0
WBGene00004824	8093	314	527	226	189	181	142	123	75
WBGene00018935	1058	384	463	92	70	70	86	56	48
WBGene00018934	813	353	428	82	63	65	51	33	27
WBGene00235283	605	0	3	0	1	1	0	0	1
WBGene00021936	17516	904	1352	1175	1053	1174	642	575	384
WBGene00220183	426	3	9	18	9	15	3	6	2
WBGene00202216	295	2	2	10	12	8	6	4	4
WBGene00021942	1538	28	41	11	8	9	12	6	2
WBGene00021943	7094	479	600	470	386	401	263	249	188
WBGene00201199	87	0	1	0	0	0	0	0	0
WBGene00021945	5512	419	543	183	159	153	117	62	56
WBGene00023183	78	7270	6077	4182	3736	4105	1613	951	671
WBGene00196995	70	0	0	0	0	0	0	0	0
WBGene00196058	53	0	0	0	1	0	0	0	0
WBGene00196404	91	0	0	0	1	2	0	0	0
WBGene00019067	5208	15	11	9	13	5	0	5	2
WBGene00019068	5637	195	258	82	77	76	85	63	40
WBGene00043705	6117	199	278	552	448	594	216	245	195
WBGene00021925	2465	60	65	58	40	39	20	14	10
WBGene00021926	3652	453	566	158	162	137	150	85	57
WBGene00194825	63	0	0	0	0	0	0	0	0
WBGene00021927	2238	25	20	16	16	13	8	9	6
WBGene00219762	1988	0	3	5	1	3	0	1	2
WBGene00021928	2338	24	25	13	15	6	7	4	3
WBGene00219399	2079	30	18	14	16	16	17	9	2
WBGene00021929	2271	834	973	318	281	272	248	177	126
WBGene00021930	1291	408	605	109	91	74	83	65	34
WBGene00021931	8831	31	12	11	15	12	7	2	1
WBGene00000816	9551	585	746	342	325	290	261	203	161
WBGene00021934	6826	2536	2892	1136	895	1004	813	625	426
WBGene00044462	1069	8	5	1	3	2	1	0	0
WBGene00005905	3359	3	0	3	1	1	0	1	0
WBGene00005904	3698	9	2	2	4	2	1	0	0
WBGene00016638	3651	3235	4758	1007	853	869	1150	870	564
WBGene00016639	7984	3	9	5	12	3	1	4	1
WBGene00199664	112	0	0	0	0	0	0	0	0
WBGene00023256	73	4	0	1	0	0	0	0	0
WBGene00016797	12348	38	50	20	20	17	9	7	3
WBGene00016798	848	1	1	0	0	0	0	0	0
WBGene00198147	57	0	0	0	0	0	0	0	0
WBGene00198533	107	0	0	0	0	1	0	0	0
WBGene00197287	75	0	0	0	0	0	0	0	0
WBGene00196875	53	0	0	0	0	0	0	0	0
WBGene00202019	59	0	0	0	0	0	0	0	0
WBGene00001104	2320	90	125	32	25	35	21	15	14
WBGene00023163	510	5	3	0	0	3	3	0	0
WBGene00001103	848	29	27	7	12	12	0	0	0
WBGene00044463	1955	4	13	2	5	5	5	2	3
WBGene00009521	6981	1031	1094	591	496	497	340	298	185
WBGene00044908	2071	13	3	2	1	2	0	2	0
WBGene00009522	1098	16	36	16	17	14	10	11	6
WBGene00009523	1488	20	22	27	20	16	7	3	2
WBGene00009518	2349	75	98	26	24	18	26	18	16
WBGene00009517	2596	11	5	9	4	3	2	3	0
WBGene00045037	313	1	1	0	0	0	0	0	0
WBGene00018776	12431	2671	2511	1386	1323	1102	949	703	470
WBGene00000678	1670	155	82	35	43	30	13	7	7
WBGene00023304	73	1	0	0	0	0	0	0	0
WBGene00000679	1410	10	1	6	6	0	0	0	0
WBGene00200943	57	0	0	0	0	0	0	0	0
WBGene00199889	115	0	2	0	0	0	0	0	0
WBGene00019052	1195	2	1	1	0	0	0	0	0
WBGene00219265	110	3	0	0	0	0	0	0	0
WBGene00023397	73	6	0	0	0	0	0	0	0
WBGene00023202	72	94	17	1	0	0	0	0	0
WBGene00022309	1460	66	55	8	5	6	7	4	3
WBGene00022310	9062	1076	1339	655	598	541	448	293	182
WBGene00022311	1968	13	16	3	5	3	2	1	0
WBGene00022312	1406	15	15	9	7	7	2	4	1
WBGene00235266	1495	8	10	7	3	1	2	1	2
WBGene00235267	1327	24	30	13	5	15	8	2	0
WBGene00000546	3768	64	40	29	26	22	7	14	4
WBGene00000547	10718	1300	1514	658	687	524	461	332	239
WBGene00000680	921	10054	9713	1229	1145	940	1136	767	554
WBGene00022313	13211	67	33	49	43	42	11	19	6
WBGene00199030	46	0	0	0	0	0	0	0	0
WBGene00003806	5370	536	753	229	246	199	192	191	118
WBGene00198503	225	0	0	0	0	0	0	0	0
WBGene00197920	300	0	0	0	0	2	0	0	0
WBGene00044719	1118	25	24	5	10	8	12	5	0
WBGene00019369	3356	8	12	1	1	2	2	7	0
WBGene00019370	9178	187	26	74	83	52	13	10	12
WBGene00201161	150	0	1	0	0	0	0	0	0
WBGene00016427	20897	352	345	231	200	184	146	101	52
WBGene00003794	27904	3541	4775	3728	3320	3348	2045	1861	1238
WBGene00021521	1870	13	28	12	16	16	8	5	4
WBGene00199574	62	0	0	0	0	0	0	0	0
WBGene00219752	209	0	0	0	0	0	0	0	0
WBGene00021522	7337	520	673	594	533	528	329	326	208
WBGene00003297	21	1	0	3	2	4	0	0	0
WBGene00220154	356	11	20	19	12	22	14	12	13
WBGene00021524	5440	10	7	6	14	15	2	2	0
WBGene00197111	150	0	0	0	0	0	0	0	0
WBGene00003947	942	914	803	369	333	351	276	239	158
WBGene00044293	945	5	1	1	0	0	0	0	1
WBGene00021507	10447	1409	1761	1964	2025	1845	1193	1175	928
WBGene00021508	4667	252	377	166	159	140	150	95	59
WBGene00021509	9378	83	104	165	141	131	65	54	43
WBGene00021510	6286	145	178	221	223	218	111	101	63
WBGene00198094	148	5	3	2	4	4	0	0	0
WBGene00021410	1957	63	94	36	34	42	32	19	13
WBGene00004913	10063	20	33	36	23	26	12	14	8
WBGene00000683	2943	114	58	26	25	25	15	13	8
WBGene00198204	55	0	1	0	0	0	0	0	0
WBGene00201394	149	1	5	0	2	0	1	0	0
WBGene00198086	59	3	0	0	0	0	0	0	0
WBGene00195510	198	1	0	0	1	0	0	0	0
WBGene00196527	117	0	2	0	0	0	0	1	0
WBGene00022298	2244	36	13	17	14	10	10	3	2
WBGene00022301	23961	1771	2075	1837	1774	1640	940	791	569
WBGene00022303	1005	9	2	2	2	0	0	0	0
WBGene00019874	1234	2	0	1	1	0	0	0	0
WBGene00202224	150	0	0	0	0	0	0	0	0
WBGene00044649	7962	16	9	16	33	34	8	12	8
WBGene00219423	2654	27	33	95	101	98	26	30	18
WBGene00000487	7550	11	2	1	5	6	0	2	2
WBGene00016027	1529	98	163	42	28	36	21	21	19
WBGene00001729	2708	7	2	1	2	3	2	0	1
WBGene00235274	2381	17	8	5	4	12	0	5	0
WBGene00016920	2626	28	15	4	5	4	4	3	6
WBGene00001557	8513	14	8	10	9	7	2	1	3
WBGene00219665	580	1	0	0	0	1	0	0	0
WBGene00016919	7375	39	51	71	72	88	37	31	26
WBGene00195956	78	0	0	0	0	0	0	0	0
WBGene00202203	82	0	0	1	0	0	0	0	0
WBGene00235277	226	1	10	2	2	2	0	0	0
WBGene00202285	54	0	0	0	0	0	0	0	0
WBGene00019786	10701	320	557	359	337	358	184	161	82
WBGene00019787	11314	478	753	282	253	240	209	165	104
WBGene00002990	24488	459	444	488	468	471	290	284	187
WBGene00199100	65	0	0	0	0	0	0	0	0
WBGene00021416	2095	8	4	3	3	3	0	2	4
WBGene00006920	6749	2302	2570	728	639	597	580	427	312
WBGene00006912	1402	1911	1390	2410	2040	2478	979	898	586
WBGene00198080	99	1	0	0	1	0	0	0	1
WBGene00165356	21	0	0	0	0	0	0	0	0
WBGene00021417	2515	46	15	5	8	4	2	2	2
WBGene00021418	817	85	92	47	47	19	32	20	23
WBGene00021425	15076	736	865	567	467	427	297	213	146
WBGene00021427	481	559	466	153	178	139	125	114	87
WBGene00197069	149	13	11	0	1	1	0	1	0
WBGene00200383	63	0	0	0	0	0	0	0	0
WBGene00199427	63	0	0	0	0	0	0	0	0
WBGene00021428	3164	18	29	1	12	9	1	1	0
WBGene00021430	12896	104573	193701	3827	3974	3064	8560	8918	4890
WBGene00197721	58	0	0	0	0	0	0	0	0
WBGene00195361	53	0	0	0	0	0	0	0	0
WBGene00022092	662	518	622	138	132	120	120	102	65
WBGene00197723	76	0	0	0	0	0	0	0	0
WBGene00022093	3287	70	75	32	23	22	14	13	5
WBGene00175009	21	0	0	0	0	0	0	0	0
WBGene00022094	1772	3	3	3	1	1	2	1	0
WBGene00235341	419	3	0	2	2	2	0	3	0
WBGene00022095	292	6	1	0	0	0	0	0	0
WBGene00165490	21	0	0	0	1	0	0	0	0
WBGene00022096	2548	42	29	33	47	44	14	11	8
WBGene00022097	2652	1	1	0	2	0	0	1	0
WBGene00022099	630	241	170	75	101	60	57	36	29
WBGene00003595	2140	26	24	8	24	15	10	10	4
WBGene00003161	4890	782	806	474	407	403	246	244	137
WBGene00022100	13620	11065	20853	1232	1159	1061	884	474	351
WBGene00195990	221	1	0	0	0	3	1	2	0
WBGene00022377	1918	10	12	8	2	8	5	6	1
WBGene00235346	392	237	241	600	423	577	307	319	266
WBGene00235348	472	106	216	186	145	195	114	75	63
WBGene00044651	8711	1205	1281	916	839	737	534	430	306
WBGene00022378	15031	1517	1286	880	786	708	522	442	265
WBGene00006705	2539	236	262	97	82	79	69	53	47
WBGene00022382	1433	307	273	68	89	57	71	44	46
WBGene00050885	1097	67	74	31	34	18	27	18	20
WBGene00220216	61	7	3	35	57	28	6	7	6
WBGene00022379	2668	78	94	93	121	110	58	51	48
WBGene00022380	3174	740	592	244	234	185	169	148	106
WBGene00022381	5536	748	669	209	212	222	182	146	95
WBGene00198581	69	0	0	0	0	0	0	0	0
WBGene00021876	6072	759	776	764	661	660	422	394	261
WBGene00021877	5612	375	334	283	297	246	152	133	83
WBGene00045397	1513	44	54	47	39	35	25	31	14
WBGene00199591	92	0	0	0	0	0	0	0	0
WBGene00023182	72	0	32	0	0	0	0	0	0
WBGene00201830	87	0	2	0	0	0	0	1	0
WBGene00021878	5166	64	23	47	45	44	17	15	6
WBGene00171446	21	0	0	0	0	0	0	0	0
WBGene00044491	1211	15	13	4	3	7	3	1	1
WBGene00021879	2060	145	209	86	58	74	67	56	37
WBGene00021880	784	18	4	3	9	1	3	1	0
WBGene00044492	2603	29	8	8	11	5	4	2	1
WBGene00021881	9237	54	54	46	48	40	21	4	6
WBGene00021882	18400	1934	992	1385	1241	1275	606	602	445
WBGene00195623	202	0	0	0	0	0	1	1	1
WBGene00021883	936	481	621	139	132	146	119	105	73
WBGene00021884	912	67	80	15	14	11	20	10	3
WBGene00021885	3671	30	19	10	10	11	7	7	5
WBGene00021886	12381	1124	1078	993	861	762	434	320	243
WBGene00021887	2426	184	227	129	109	105	96	77	53
WBGene00006708	3101	316	411	271	270	242	208	147	100
WBGene00021888	907	754	1135	300	269	210	275	184	157
WBGene00021889	1873	8	4	1	3	1	1	1	2
WBGene00002243	14097	85	115	48	57	50	28	20	19
WBGene00195988	52	0	0	0	0	2	0	0	0
WBGene00196817	104	1	0	0	0	2	0	0	0
WBGene00021890	9470	1173	1120	1577	1430	1477	791	720	486
WBGene00200823	149	1	1	0	6	5	0	3	1
WBGene00021891	609	6	1	7	9	9	5	5	4
WBGene00219425	8352	475	456	453	454	417	307	244	145
WBGene00021892	2783	10	17	32	21	24	14	6	6
WBGene00200607	268	1	0	0	0	1	0	2	0
WBGene00021893	5540	75	89	37	31	37	19	14	9
WBGene00022069	17525	23360	26936	20369	18990	16112	12121	8371	5856
WBGene00235353	603	27	33	65	58	59	27	24	23
WBGene00022070	843	9	10	1	3	3	2	1	1
WBGene00022071	1367	12	3	5	8	4	0	0	0
WBGene00022072	2029	421	217	79	105	91	45	36	28
WBGene00235279	6174	8717	7	259	265	153	3	2	2
WBGene00022073	9458	131	178	143	127	111	68	64	43
WBGene00198247	150	0	0	0	0	0	0	0	0
WBGene00003153	29991	6715	8722	6599	6081	5753	3967	3340	2264
WBGene00201211	150	0	0	0	0	0	0	0	1
WBGene00022061	2665	16	10	8	7	8	3	5	1
WBGene00022063	2566	23	29	13	12	16	6	10	3
WBGene00022062	5483	9	15	9	10	4	2	4	2
WBGene00219764	2249	2	3	1	0	4	0	0	0
WBGene00004240	6024	107	150	49	47	37	37	27	12
WBGene00201731	79	0	1	3	0	2	0	1	0
WBGene00022060	1281	45	24	26	24	23	14	11	3
WBGene00003363	95	0	0	0	1	0	0	0	0
WBGene00020832	1522	3	3	2	1	4	0	0	0
WBGene00044469	1274	42	78	21	21	16	21	32	13
WBGene00020833	3871	47	74	44	32	45	25	24	8
WBGene00198565	111	0	0	0	2	0	0	0	0
WBGene00001548	6453	39	31	33	38	18	8	4	5
WBGene00021090	900	1	0	4	2	1	0	0	0
WBGene00018326	2165	37	36	8	11	7	7	4	6
WBGene00018327	966	45	47	15	13	15	8	5	5
WBGene00018328	2827	62	125	35	41	32	36	22	18
WBGene00001999	1941	3965	3594	1855	1511	1355	1439	1134	855
WBGene00018329	1162	4	1	1	1	1	1	0	0
WBGene00018330	7509	672	621	392	352	315	256	195	142
WBGene00195284	90	0	0	0	0	0	0	0	0
WBGene00015249	4744	479	594	214	190	215	166	115	83
WBGene00015250	3822	463	685	188	180	189	192	106	93
WBGene00015251	1199	191	297	100	75	85	75	43	34
WBGene00015252	2038	2	0	1	1	2	0	0	0
WBGene00001119	2543	36	44	12	13	13	13	8	5
WBGene00015416	2795	10	5	2	1	0	1	1	0
WBGene00198367	203	5	1	1	0	0	0	0	0
WBGene00195067	401	0	1	0	1	0	0	0	0
WBGene00219646	2161	3	3	3	4	0	1	0	0
WBGene00015417	616	1	0	0	0	0	0	0	2
WBGene00017281	1899	18	19	12	10	10	8	4	6
WBGene00023302	1493	2	3	2	2	0	0	0	3
WBGene00219706	366	1	0	2	0	0	0	0	0
WBGene00019050	1221	1	3	0	1	1	0	0	0
WBGene00023481	1841	0	0	1	1	0	0	0	0
WBGene00023303	903	0	1	1	3	1	0	0	0
WBGene00023475	1579	1	1	0	0	0	0	1	0
WBGene00015656	1620	5	0	0	0	4	0	0	0
WBGene00023474	1850	3	0	0	0	2	0	0	0
WBGene00023476	454	1	1	3	0	0	0	0	0
WBGene00044470	1145	2	1	1	0	2	0	0	0
WBGene00023234	75	0	0	0	0	0	0	0	0
WBGene00000424	3200	464	721	221	186	175	167	175	107
WBGene00015658	4527	637	925	378	336	317	301	226	153
WBGene00197241	91	3	0	0	0	1	0	0	0
WBGene00015038	3973	23	42	5	7	8	5	5	3
WBGene00003889	6342	357	42	28	51	38	10	5	1
WBGene00235357	727	11	13	10	7	3	6	2	1
WBGene00021376	1940	139	136	73	75	54	57	29	18
WBGene00006383	9302	749	1039	961	871	771	547	489	358
WBGene00021377	4593	405	453	164	157	114	131	101	54
WBGene00021378	644	227	207	34	41	41	28	31	21
WBGene00021379	668	13	18	0	1	1	0	2	2
WBGene00021380	1667	5	2	6	4	1	1	0	0
WBGene00021381	2917	58	42	39	19	24	9	12	8
WBGene00022610	3855	558	604	270	218	187	158	102	79
WBGene00000481	10764	82	95	69	48	68	44	45	13
WBGene00006756	6439	53	60	48	41	55	34	38	12
WBGene00197099	139	1	1	0	0	0	0	0	0
WBGene00195049	912	1	0	0	0	0	0	0	0
WBGene00016987	3519	284	442	188	184	154	111	131	55
WBGene00021362	9827	162	114	90	74	63	38	46	27
WBGene00198320	132	1	0	0	0	1	0	0	0
WBGene00006334	72	3	2	2	5	1	0	0	0
WBGene00003129	3329	287	339	65	54	52	47	38	27
WBGene00021363	7273	1237	1427	699	637	583	395	310	220
WBGene00021364	851	3	4	1	0	6	0	0	0
WBGene00195010	587	3	3	2	0	1	0	1	0
WBGene00197370	52	1	0	0	0	0	0	0	0
WBGene00021367	7009	422	534	275	249	225	180	149	95
WBGene00021366	2576	316	312	130	97	89	83	62	47
WBGene00021370	3073	132	201	73	55	54	52	48	31
WBGene00021371	1353	47	71	37	60	29	17	21	4
WBGene00021372	2892	138	175	36	55	26	32	22	16
WBGene00021373	2808	9	8	4	5	2	0	0	0
WBGene00006869	5635	204	126	95	79	74	46	25	20
WBGene00003884	4156	169	131	130	188	87	38	33	25
WBGene00019725	1563	337	499	240	193	183	161	155	98
WBGene00219715	1325	26	38	20	16	23	17	8	4
WBGene00044690	488	24	31	9	13	12	8	10	5
WBGene00019726	11459	1354	1255	802	663	638	475	367	281
WBGene00000287	5620	38	30	25	13	8	3	4	2
WBGene00200095	142	0	0	0	0	0	0	0	0
WBGene00165382	21	0	0	0	0	0	0	0	0
WBGene00196154	266	2	0	1	0	0	1	0	0
WBGene00202376	241	0	1	0	0	0	0	0	0
WBGene00196185	215	5	2	0	1	0	1	0	0
WBGene00000009	2914	22	37	11	7	7	3	2	5
WBGene00018145	2588	1102	877	307	300	263	242	153	110
WBGene00018146	2963	207	163	105	91	89	59	46	36
WBGene00018148	2641	10	1	7	5	11	5	1	0
WBGene00044292	373	0	0	0	1	1	0	0	0
WBGene00044473	381	1	0	0	0	2	0	0	0
WBGene00235359	336	6	2	1	1	1	0	0	1
WBGene00235285	399	1	2	0	1	1	0	0	0
WBGene00021580	1444	0	5	0	0	0	2	1	2
WBGene00168377	21	0	1	0	0	0	0	0	0
WBGene00021579	2276	76	27	12	27	23	8	5	4
WBGene00005430	1587	1	2	1	0	1	0	0	0
WBGene00018549	591	1	1	0	0	0	0	0	0
WBGene00044691	731	1	2	3	1	0	0	0	0
WBGene00235115	535	1	0	0	0	0	0	0	0
WBGene00018550	583	0	0	0	1	0	0	0	0
WBGene00219377	574	4	0	2	4	1	0	1	0
WBGene00018551	555	11	0	1	1	2	0	1	0
WBGene00020929	2372	22	25	9	10	10	8	7	4
WBGene00020930	13329	1628	1425	1099	988	900	600	518	433
WBGene00003955	1512	1665	1825	1671	1448	1485	1001	662	484
WBGene00006951	1591	38	48	17	19	18	14	8	4
WBGene00020981	1658	158	237	97	83	87	77	48	52
WBGene00219741	1793	7	11	2	4	0	1	1	2
WBGene00020982	1107	9	1	3	0	1	0	0	0
WBGene00020983	1392	3	4	1	2	0	0	0	2
WBGene00016437	1283	9	10	7	3	5	0	0	1
WBGene00195006	776	2	4	1	2	1	0	0	0
WBGene00016435	607	566	271	79	54	74	36	26	17
WBGene00023249	73	1	0	0	0	0	0	0	0
WBGene00201546	71	0	0	0	0	0	0	0	0
WBGene00044477	1944	4	2	3	7	2	0	0	0
WBGene00235365	164	1	5	1	0	0	0	1	0
WBGene00235364	159	0	1	2	0	0	1	0	0
WBGene00235366	111	0	0	1	0	0	0	0	0
WBGene00018645	940	18	49	8	13	3	13	12	5
WBGene00018646	1825	9	4	0	3	1	0	2	5
WBGene00018647	2233	17	14	6	12	7	8	8	4
WBGene00018648	4129	36	37	13	21	13	15	12	5
WBGene00235367	356	2	1	0	0	0	1	3	0
WBGene00018649	720	2	4	0	1	0	0	1	0
WBGene00018650	715	2	4	0	4	0	0	0	0
WBGene00235368	679	19	5	0	3	0	0	0	0
WBGene00018651	749	0	0	1	2	0	0	0	0
WBGene00018652	1286	12	6	1	6	10	0	2	0
WBGene00023288	1030	4	2	0	2	0	1	0	0
WBGene00195048	794	0	0	1	0	0	0	0	0
WBGene00019534	650	1	2	1	3	2	0	0	0
WBGene00019441	3293	505	558	218	200	183	147	112	95
WBGene00044478	523	25	20	6	14	11	5	4	4
WBGene00003938	4875	8	2	1	1	2	0	0	1
WBGene00235371	813	0	0	0	0	0	0	0	0
WBGene00044093	958	1	1	1	1	0	0	0	0
WBGene00044092	2090	8	7	2	4	1	0	0	0
WBGene00017935	1160	1	3	1	0	0	1	0	0
WBGene00017936	2667	67	55	23	18	10	13	20	3
WBGene00219684	236	1	0	0	0	0	0	0	0
WBGene00170053	21	0	0	0	0	0	0	0	0
WBGene00219689	542	1	3	4	3	1	0	0	2
WBGene00174173	21	0	0	0	0	0	0	0	0
WBGene00219688	381	7	2	1	1	3	4	0	0
WBGene00000611	1063	70	28	34	26	27	27	10	9
WBGene00018086	665	0	4	2	1	1	0	0	0
WBGene00219497	655	0	1	0	0	0	0	0	0
WBGene00165376	21	0	0	0	0	0	0	0	0
WBGene00003668	3535	47	73	31	21	22	13	9	8
WBGene00017487	5296	310	397	157	125	113	126	118	45
WBGene00171091	21	0	0	0	0	0	0	0	0
WBGene00005715	3030	7	5	3	0	2	1	0	1
WBGene00017488	515	6	1	1	0	1	1	0	0
WBGene00017489	5464	53	38	26	24	19	11	10	11
WBGene00166460	21	0	0	0	0	0	0	0	0
WBGene00165247	21	0	0	0	0	0	0	0	0
WBGene00166994	21	0	0	0	0	0	0	0	0
WBGene00170400	21	0	0	0	0	0	0	0	0
WBGene00168459	21	1	0	0	0	0	0	0	0
WBGene00020973	2681	22	16	23	16	14	11	9	8
WBGene00020977	4202	11	17	7	9	7	2	5	0
WBGene00020978	4362	35	25	66	74	75	21	23	13
WBGene00004419	1515	96473	96175	15667	15163	12672	17441	12485	8059
WBGene00021283	1147	15	13	15	18	14	3	1	3
WBGene00021284	522	9	7	7	3	3	4	2	4
WBGene00021285	234	2	1	0	2	1	0	0	0
WBGene00006228	2070	2	2	1	0	0	0	0	0
WBGene00019951	1493	9	8	9	6	2	0	2	2
WBGene00169107	21	0	1	0	0	0	2	0	0
WBGene00019952	1505	10	10	11	7	8	4	1	1
WBGene00019956	1362	36	43	18	20	21	8	9	7
WBGene00019953	3478	2886	2851	1558	1532	1253	1018	892	597
WBGene00197297	225	0	0	0	0	0	0	0	0
WBGene00196245	70	0	1	0	0	0	0	0	0
WBGene00019954	165	3	0	1	1	1	0	0	0
WBGene00201396	61	0	0	0	0	0	0	0	0
WBGene00019718	1883	42	12	14	11	15	8	8	0
WBGene00196280	122	3	1	1	2	0	0	1	0
WBGene00019719	8555	1417	1610	1203	1111	1096	740	711	454
WBGene00019720	3072	55	67	26	19	25	29	24	15
WBGene00196454	102	0	0	0	0	0	0	0	0
WBGene00022675	17697	178	215	143	124	137	78	53	46
WBGene00022677	2822	183	360	113	108	99	82	73	34
WBGene00195011	285	2	2	0	0	2	0	0	1
WBGene00022678	1424	1163	1280	649	595	571	429	368	217
WBGene00022679	2126	299	207	124	137	116	67	44	33
WBGene00201238	137	0	1	1	0	0	0	0	0
WBGene00022680	4863	116	46	52	47	48	22	15	10
WBGene00199956	121	2	0	0	0	0	0	0	0
WBGene00235278	1407	6	1	1	1	1	0	0	0
WBGene00022683	1653	40	65	21	26	19	16	14	15
WBGene00044480	1900	1	3	1	2	0	0	0	0
WBGene00197195	141	2	0	1	0	1	0	0	0
WBGene00220238	215	4789	4195	15339	13659	14900	8730	7543	4504
WBGene00198405	149	0	2	0	0	0	0	0	1
WBGene00044481	4150	108	137	43	31	38	33	35	28
WBGene00195735	150	0	0	0	2	0	0	0	0
WBGene00017902	1426	23	17	10	9	10	2	1	0
WBGene00196195	265	1	0	0	2	1	0	0	1
WBGene00195393	118	0	0	0	1	0	0	0	0
WBGene00196259	150	3	0	0	0	2	0	0	0
